item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target
23a,Spanish,Fernandez,ambi,sg,1,0,la pieza,del computadora,pieza,computadora,Enrique había inspeccionado la pieza del computadora que MASKTOKEN encima del escritorio..,Enrique había inspeccionado la pieza del computadora que,$ES_SG
23a,Spanish,Fernandez,low,sg,1,0,las piezas,del computadora,piezas,computadora,Enrique había inspeccionado las piezas del computadora que MASKTOKEN encima del escritorio..,Enrique había inspeccionado las piezas del computadora que,$ES_SG
23a,Spanish,Fernandez,high,sg,1,0,la pieza,de las computadoras,pieza,computadoras,Enrique había inspeccionado la pieza de las computadoras que MASKTOKEN encima del escritorio..,Enrique había inspeccionado la pieza de las computadoras que,$ES_SG
23a,Spanish,Fernandez,ambi,pl,1,0,las piezas,de las computadoras,piezas,computadoras,Enrique había inspeccionado las piezas de las computadoras que MASKTOKEN encima del escritorio..,Enrique había inspeccionado las piezas de las computadoras que,$ES_PL
23a,Spanish,Fernandez,low,pl,1,0,la pieza,de las computadoras,pieza,computadoras,Enrique había inspeccionado la pieza de las computadoras que MASKTOKEN encima del escritorio..,Enrique había inspeccionado la pieza de las computadoras que,$ES_PL
23a,Spanish,Fernandez,high,pl,1,0,las piezas,del computadora,piezas,computadora,Enrique había inspeccionado las piezas del computadora que MASKTOKEN encima del escritorio..,Enrique había inspeccionado las piezas del computadora que,$ES_PL
24a,Spanish,Fernandez,ambi,sg,0,0,el pasillo,del apartamento,pasillo,apartamento,Susana admiró el pasillo del apartamento que MASKTOKEN cerca del parque.,Susana admiró el pasillo del apartamento que,$ES_SG
24a,Spanish,Fernandez,low,sg,0,0,los pasillos,del apartamento,pasillos,apartamento,Susana admiró los pasillos del apartamento que MASKTOKEN cerca del parque.,Susana admiró los pasillos del apartamento que,$ES_SG
24a,Spanish,Fernandez,high,sg,0,0,el pasillo,de los apartamentos,pasillo,apartamentos,Susana admiró el pasillo de los apartamentos que MASKTOKEN cerca del parque.,Susana admiró el pasillo de los apartamentos que,$ES_SG
24a,Spanish,Fernandez,ambi,pl,0,0,los pasillos,de los apartamentos,pasillos,apartamentos,Susana admiró los pasillos de los apartamentos que MASKTOKEN cerca del parque.,Susana admiró los pasillos de los apartamentos que,$ES_PL
24a,Spanish,Fernandez,low,pl,0,0,el pasillo,de los apartamentos,pasillo,apartamentos,Susana admiró el pasillo de los apartamentos que MASKTOKEN cerca del parque.,Susana admiró el pasillo de los apartamentos que,$ES_PL
24a,Spanish,Fernandez,high,pl,0,0,los pasillos,del apartamento,pasillos,apartamento,Susana admiró los pasillos del apartamento que MASKTOKEN cerca del parque.,Susana admiró los pasillos del apartamento que,$ES_PL
1,Spanish,Cuetos_Mitchell,ambi,sg,0,0,el libro,de la chica,libro,chica,Pedro miraba el libro de la chica que MASKTOKEN en el salón.,Pedro miraba el libro de la chica que,$ES_SG
1,Spanish,Cuetos_Mitchell,low,sg,0,0,los libros,de la chica,libros,chica,Pedro miraba los libros de la chica que MASKTOKEN en el salón.,Pedro miraba los libros de la chica que,$ES_SG
1,Spanish,Cuetos_Mitchell,high,sg,0,0,el libro,de las chicas,libro,chicas,Pedro miraba el libro de las chicas que MASKTOKEN en el salón.,Pedro miraba el libro de las chicas que,$ES_SG
1,Spanish,Cuetos_Mitchell,ambi,pl,0,0,los libros,de las chicas,libros,chicas,Pedro miraba los libros de las chicas que MASKTOKEN en el salón.,Pedro miraba los libros de las chicas que,$ES_PL
1,Spanish,Cuetos_Mitchell,low,pl,0,0,el libro,de las chicas,libro,chicas,Pedro miraba el libro de las chicas que MASKTOKEN en el salón.,Pedro miraba el libro de las chicas que,$ES_PL
1,Spanish,Cuetos_Mitchell,high,pl,0,0,los libros,de la chica,libros,chica,Pedro miraba los libros de la chica que MASKTOKEN en el salón.,Pedro miraba los libros de la chica que,$ES_PL
2,Spanish,Cuetos_Mitchell,ambi,sg,0,0,el criado,de la actriz,criado,actriz,Alguien disparó contra el criado de la actriz que MASKTOKEN en el balcón.,Alguien disparó contra el criado de la actriz que,$ES_SG
2,Spanish,Cuetos_Mitchell,low,sg,0,0,los criados,de la actriz,criados,actriz,Alguien disparó contra los criados de la actriz que MASKTOKEN en el balcón.,Alguien disparó contra los criados de la actriz que,$ES_SG
2,Spanish,Cuetos_Mitchell,high,sg,0,0,el criado,de las actrices,criado,actrices,Alguien disparó contra el criado de las actrices que MASKTOKEN en el balcón.,Alguien disparó contra el criado de las actrices que,$ES_SG
2,Spanish,Cuetos_Mitchell,ambi,pl,0,0,los criados,de las actrices,criados,actrices,Alguien disparó contra los criados de las actrices que MASKTOKEN en el balcón.,Alguien disparó contra los criados de las actrices que,$ES_PL
2,Spanish,Cuetos_Mitchell,low,pl,0,0,el criado,de las actrices,criado,actrices,Alguien disparó contra el criado de las actrices que MASKTOKEN en el balcón.,Alguien disparó contra el criado de las actrices que,$ES_PL
2,Spanish,Cuetos_Mitchell,high,pl,0,0,los criados,de la actriz,criados,actriz,Alguien disparó contra los criados de la actriz que MASKTOKEN en el balcón.,Alguien disparó contra los criados de la actriz que,$ES_PL
3,Spanish,Cuetos_Mitchell,ambi,sg,0,0,al amigo,de la maestra,amigo,maestra,Juan conoció al amigo de la maestra que MASKTOKEN en Alemania.,Juan conoció al amigo de la maestra que,$ES_SG
3,Spanish,Cuetos_Mitchell,low,sg,0,0,a los amigos,de la maestra,amigos,maestra,Juan conoció a los amigos de la maestra que MASKTOKEN en Alemania.,Juan conoció a los amigos de la maestra que,$ES_SG
3,Spanish,Cuetos_Mitchell,high,sg,0,0,al amigo,de las maestras,amigo,maestras,Juan conoció al amigo de las maestras que MASKTOKEN en Alemania.,Juan conoció al amigo de las maestras que,$ES_SG
3,Spanish,Cuetos_Mitchell,ambi,pl,0,0,a los amigos,de las maestras,amigos,maestras,Juan conoció a los amigos de las maestras que MASKTOKEN en Alemania.,Juan conoció a los amigos de las maestras que,$ES_PL
3,Spanish,Cuetos_Mitchell,low,pl,0,0,al amigo,de las maestras,amigo,maestras,Juan conoció al amigo de las maestras que MASKTOKEN en Alemania.,Juan conoció al amigo de las maestras que,$ES_PL
3,Spanish,Cuetos_Mitchell,high,pl,0,0,a los amigos,de la maestra,amigos,maestra,Juan conoció a los amigos de la maestra que MASKTOKEN en Alemania.,Juan conoció a los amigos de la maestra que,$ES_PL
4,Spanish,Cuetos_Mitchell,ambi,sg,0,0,la maleta,del turista,maleta,turista,Un ladrón espiaba la maleta del turista que MASKTOKEN junto al buzón.,Un ladrón espiaba la maleta del turista que,$ES_SG
4,Spanish,Cuetos_Mitchell,low,sg,0,0,las maletas,del turista,maletas,turista,Un ladrón espiaba las maletas del turista que MASKTOKEN junto al buzón.,Un ladrón espiaba las maletas del turista que,$ES_SG
4,Spanish,Cuetos_Mitchell,high,sg,0,0,la maleta,de los turistas,maleta,turistas,Un ladrón espiaba la maleta de los turistas que MASKTOKEN junto al buzón.,Un ladrón espiaba la maleta de los turistas que,$ES_SG
4,Spanish,Cuetos_Mitchell,ambi,pl,0,0,las maletas,de los turistas,maletas,turistas,Un ladrón espiaba las maletas de los turistas que MASKTOKEN junto al buzón.,Un ladrón espiaba las maletas de los turistas que,$ES_PL
4,Spanish,Cuetos_Mitchell,low,pl,0,0,la maleta,de los turistas,maleta,turistas,Un ladrón espiaba la maleta de los turistas que MASKTOKEN junto al buzón.,Un ladrón espiaba la maleta de los turistas que,$ES_PL
4,Spanish,Cuetos_Mitchell,high,pl,0,0,las maletas,del turista,maletas,turista,Un ladrón espiaba las maletas del turista que MASKTOKEN junto al buzón.,Un ladrón espiaba las maletas del turista que,$ES_PL
5,Spanish,Cuetos_Mitchell,ambi,sg,1,0,el caballo,del campesino,caballo,campesino,El turista fotografió el caballo del campesino que MASKTOKEN junto a la charca.,El turista fotografió el caballo del campesino que,$ES_SG
5,Spanish,Cuetos_Mitchell,low,sg,1,0,los caballos,del campesino,caballos,campesino,El turista fotografió los caballos del campesino que MASKTOKEN junto a la charca.,El turista fotografió los caballos del campesino que,$ES_SG
5,Spanish,Cuetos_Mitchell,high,sg,1,0,el caballo,de los campesinos,caballo,campesinos,El turista fotografió el caballo de los campesinos que MASKTOKEN junto a la charca.,El turista fotografió el caballo de los campesinos que,$ES_SG
5,Spanish,Cuetos_Mitchell,ambi,pl,1,0,los caballos,de los campesinos,caballos,campesinos,El turista fotografió los caballos de los campesinos que MASKTOKEN junto a la charca.,El turista fotografió los caballos de los campesinos que,$ES_PL
5,Spanish,Cuetos_Mitchell,low,pl,1,0,el caballo,de los campesinos,caballo,campesinos,El turista fotografió el caballo de los campesinos que MASKTOKEN junto a la charca.,El turista fotografió el caballo de los campesinos que,$ES_PL
5,Spanish,Cuetos_Mitchell,high,pl,1,0,los caballos,del campesino,caballos,campesino,El turista fotografió los caballos del campesino que MASKTOKEN junto a la charca.,El turista fotografió los caballos del campesino que,$ES_PL
6,Spanish,Cuetos_Mitchell,ambi,sg,0,1,a la hermana,del trabajador,hermana,trabajador,La policía detuvo a la hermana del trabajador que MASKTOKEN en Melilla.,La policía detuvo a la hermana del trabajador que,$ES_SG
6,Spanish,Cuetos_Mitchell,low,sg,0,1,a las hermanas,del trabajador,hermanas,trabajador,La policía detuvo a las hermanas del trabajador que MASKTOKEN en Melilla.,La policía detuvo a las hermanas del trabajador que,$ES_SG
6,Spanish,Cuetos_Mitchell,high,sg,0,1,a la hermana,de los trabajadores,hermana,trabajadores,La policía detuvo a la hermana de los trabajadores que MASKTOKEN en Melilla.,La policía detuvo a la hermana de los trabajadores que,$ES_SG
6,Spanish,Cuetos_Mitchell,ambi,pl,0,1,a las hermanas,de los trabajadores,hermanas,trabajadores,La policía detuvo a las hermanas de los trabajadores que MASKTOKEN en Melilla.,La policía detuvo a las hermanas de los trabajadores que,$ES_PL
6,Spanish,Cuetos_Mitchell,low,pl,0,1,a la hermana,de los trabajadores,hermana,trabajadores,La policía detuvo a la hermana de los trabajadores que MASKTOKEN en Melilla.,La policía detuvo a la hermana de los trabajadores que,$ES_PL
6,Spanish,Cuetos_Mitchell,high,pl,0,1,a las hermanas,del trabajador,hermanas,trabajador,La policía detuvo a las hermanas del trabajador que MASKTOKEN en Melilla.,La policía detuvo a las hermanas del trabajador que,$ES_PL
7,Spanish,Cuetos_Mitchell,ambi,sg,1,0,la medicina,del paciente,medicina,paciente,La enfermera apartó la medicina del paciente que MASKTOKEN junto a la ventana.,La enfermera apartó la medicina del paciente que,$ES_SG
7,Spanish,Cuetos_Mitchell,low,sg,1,0,las medicinas,del paciente,medicinas,paciente,La enfermera apartó las medicinas del paciente que MASKTOKEN junto a la ventana.,La enfermera apartó las medicinas del paciente que,$ES_SG
7,Spanish,Cuetos_Mitchell,high,sg,1,0,la medicina,de los pacientes,medicina,pacientes,La enfermera apartó la medicina de los pacientes que MASKTOKEN junto a la ventana.,La enfermera apartó la medicina de los pacientes que,$ES_SG
7,Spanish,Cuetos_Mitchell,ambi,pl,1,0,las medicinas,de los pacientes,medicinas,pacientes,La enfermera apartó las medicinas de los pacientes que MASKTOKEN junto a la ventana.,La enfermera apartó las medicinas de los pacientes que,$ES_PL
7,Spanish,Cuetos_Mitchell,low,pl,1,0,la medicina,de los pacientes,medicina,pacientes,La enfermera apartó la medicina de los pacientes que MASKTOKEN junto a la ventana.,La enfermera apartó la medicina de los pacientes que,$ES_PL
7,Spanish,Cuetos_Mitchell,high,pl,1,0,las medicinas,del paciente,medicinas,paciente,La enfermera apartó las medicinas del paciente que MASKTOKEN junto a la ventana.,La enfermera apartó las medicinas del paciente que,$ES_PL
8,Spanish,Cuetos_Mitchell,ambi,sg,1,1,la relativa,del granjero,relativa,granjero,Andrés estuvo hablando con la relativa del granjero que MASKTOKEN en Brasil.,Andrés estuvo hablando con la relativa del granjero que,$ES_SG
8,Spanish,Cuetos_Mitchell,low,sg,1,1,las relativas,del granjero,relativas,granjero,Andrés estuvo hablando con las relativas del granjero que MASKTOKEN en Brasil.,Andrés estuvo hablando con las relativas del granjero que,$ES_SG
8,Spanish,Cuetos_Mitchell,high,sg,1,1,la relativa,de los granjeros,relativa,granjeros,Andrés estuvo hablando con la relativa de los granjeros que MASKTOKEN en Brasil.,Andrés estuvo hablando con la relativa de los granjeros que,$ES_SG
8,Spanish,Cuetos_Mitchell,ambi,pl,1,1,las relativas,de los granjeros,relativas,granjeros,Andrés estuvo hablando con las relativas de los granjeros que MASKTOKEN en Brasil.,Andrés estuvo hablando con las relativas de los granjeros que,$ES_PL
8,Spanish,Cuetos_Mitchell,low,pl,1,1,la relativa,de los granjeros,relativa,granjeros,Andrés estuvo hablando con la relativa de los granjeros que MASKTOKEN en Brasil.,Andrés estuvo hablando con la relativa de los granjeros que,$ES_PL
8,Spanish,Cuetos_Mitchell,high,pl,1,1,las relativas,del granjero,relativas,granjero,Andrés estuvo hablando con las relativas del granjero que MASKTOKEN en Brasil.,Andrés estuvo hablando con las relativas del granjero que,$ES_PL
9,Spanish,Cuetos_Mitchell,ambi,sg,0,1,el zapato,del invitado,zapato,invitado,La sirvienta contemplaba el zapato del invitado que MASKTOKEN junto a la chimenea.,La sirvienta contemplaba el zapato del invitado que,$ES_SG
9,Spanish,Cuetos_Mitchell,low,sg,0,1,los zapatos,del invitado,zapatos,invitado,La sirvienta contemplaba los zapatos del invitado que MASKTOKEN junto a la chimenea.,La sirvienta contemplaba los zapatos del invitado que,$ES_SG
9,Spanish,Cuetos_Mitchell,high,sg,0,1,el zapato,de los invitados,zapato,invitados,La sirvienta contemplaba el zapato de los invitados que MASKTOKEN junto a la chimenea.,La sirvienta contemplaba el zapato de los invitados que,$ES_SG
9,Spanish,Cuetos_Mitchell,ambi,pl,0,1,los zapatos,de los invitados,zapatos,invitados,La sirvienta contemplaba los zapatos de los invitados que MASKTOKEN junto a la chimenea.,La sirvienta contemplaba los zapatos de los invitados que,$ES_PL
9,Spanish,Cuetos_Mitchell,low,pl,0,1,el zapato,de los invitados,zapato,invitados,La sirvienta contemplaba el zapato de los invitados que MASKTOKEN junto a la chimenea.,La sirvienta contemplaba el zapato de los invitados que,$ES_PL
9,Spanish,Cuetos_Mitchell,high,pl,0,1,los zapatos,del invitado,zapatos,invitado,La sirvienta contemplaba los zapatos del invitado que MASKTOKEN junto a la chimenea.,La sirvienta contemplaba los zapatos del invitado que,$ES_PL
10,Spanish,Cuetos_Mitchell,ambi,sg,0,0,la amiga,del concejal,amiga,concejal,Ayer me encontré con la amiga del concejal que MASKTOKEN en Australia.,Ayer me encontré con la amiga del concejal que,$ES_SG
10,Spanish,Cuetos_Mitchell,low,sg,0,0,las amigas,del concejal,amigas,concejal,Ayer me encontré con las amigas del concejal que MASKTOKEN en Australia.,Ayer me encontré con las amigas del concejal que,$ES_SG
10,Spanish,Cuetos_Mitchell,high,sg,0,0,la amiga,de los concejales,amiga,concejales,Ayer me encontré con la amiga de los concejales que MASKTOKEN en Australia.,Ayer me encontré con la amiga de los concejales que,$ES_SG
10,Spanish,Cuetos_Mitchell,ambi,pl,0,0,las amigas,de los concejales,amigas,concejales,Ayer me encontré con las amigas de los concejales que MASKTOKEN en Australia.,Ayer me encontré con las amigas de los concejales que,$ES_PL
10,Spanish,Cuetos_Mitchell,low,pl,0,0,la amiga,de los concejales,amiga,concejales,Ayer me encontré con la amiga de los concejales que MASKTOKEN en Australia.,Ayer me encontré con la amiga de los concejales que,$ES_PL
10,Spanish,Cuetos_Mitchell,high,pl,0,0,las amigas,del concejal,amigas,concejal,Ayer me encontré con las amigas del concejal que MASKTOKEN en Australia.,Ayer me encontré con las amigas del concejal que,$ES_PL
11,Spanish,Cuetos_Mitchell,ambi,sg,0,1,al caballo,del viajero,caballo,viajero,El alguacil encerró al caballo del viajero que MASKTOKEN junto al puente.,El alguacil encerró al caballo del viajero que,$ES_SG
11,Spanish,Cuetos_Mitchell,low,sg,0,1,a los caballos,del viajero,caballos,viajero,El alguacil encerró a los caballos del viajero que MASKTOKEN junto al puente.,El alguacil encerró a los caballos del viajero que,$ES_SG
11,Spanish,Cuetos_Mitchell,high,sg,0,1,al caballo,de los viajeros,caballo,viajeros,El alguacil encerró al caballo de los viajeros que MASKTOKEN junto al puente.,El alguacil encerró al caballo de los viajeros que,$ES_SG
11,Spanish,Cuetos_Mitchell,ambi,pl,0,1,a los caballos,de los viajeros,caballos,viajeros,El alguacil encerró a los caballos de los viajeros que MASKTOKEN junto al puente.,El alguacil encerró a los caballos de los viajeros que,$ES_PL
11,Spanish,Cuetos_Mitchell,low,pl,0,1,al caballo,de los viajeros,caballo,viajeros,El alguacil encerró al caballo de los viajeros que MASKTOKEN junto al puente.,El alguacil encerró al caballo de los viajeros que,$ES_PL
11,Spanish,Cuetos_Mitchell,high,pl,0,1,a los caballos,del viajero,caballos,viajero,El alguacil encerró a los caballos del viajero que MASKTOKEN junto al puente.,El alguacil encerró a los caballos del viajero que,$ES_PL
12,Spanish,Cuetos_Mitchell,ambi,sg,0,1,el juguete,del chico,juguete,chico,La anciana observaba el juguete del chico que MASKTOKEN encima de la cama.,La anciana observaba el juguete del chico que,$ES_SG
12,Spanish,Cuetos_Mitchell,low,sg,0,1,los juguetes,del chico,juguetes,chico,La anciana observaba los juguetes del chico que MASKTOKEN encima de la cama.,La anciana observaba los juguetes del chico que,$ES_SG
12,Spanish,Cuetos_Mitchell,high,sg,0,1,el juguete,de los chicos,juguete,chicos,La anciana observaba el juguete de los chicos que MASKTOKEN encima de la cama.,La anciana observaba el juguete de los chicos que,$ES_SG
12,Spanish,Cuetos_Mitchell,ambi,pl,0,1,los juguetes,de los chicos,juguetes,chicos,La anciana observaba los juguetes de los chicos que MASKTOKEN encima de la cama.,La anciana observaba los juguetes de los chicos que,$ES_PL
12,Spanish,Cuetos_Mitchell,low,pl,0,1,el juguete,de los chicos,juguete,chicos,La anciana observaba el juguete de los chicos que MASKTOKEN encima de la cama.,La anciana observaba el juguete de los chicos que,$ES_PL
12,Spanish,Cuetos_Mitchell,high,pl,0,1,los juguetes,del chico,juguetes,chico,La anciana observaba los juguetes del chico que MASKTOKEN encima de la cama.,La anciana observaba los juguetes del chico que,$ES_PL
13,Spanish,Cuetos_Mitchell,ambi,sg,0,1,a la hija,del comandante,hija,comandante,El periodista entrevistó a la hija del comandante que MASKTOKEN el accidente.,El periodista entrevistó a la hija del comandante que,$ES_SG
13,Spanish,Cuetos_Mitchell,low,sg,0,1,a las hijas,del comandante,hijas,comandante,El periodista entrevistó a las hijas del comandante que MASKTOKEN el accidente.,El periodista entrevistó a las hijas del comandante que,$ES_SG
13,Spanish,Cuetos_Mitchell,high,sg,0,1,a la hija,de los comandantes,hija,comandantes,El periodista entrevistó a la hija de los comandantes que MASKTOKEN el accidente.,El periodista entrevistó a la hija de los comandantes que,$ES_SG
13,Spanish,Cuetos_Mitchell,ambi,pl,0,1,a las hijas,de los comandantes,hijas,comandantes,El periodista entrevistó a las hijas de los comandantes que MASKTOKEN el accidente.,El periodista entrevistó a las hijas de los comandantes que,$ES_PL
13,Spanish,Cuetos_Mitchell,low,pl,0,1,a la hija,de los comandantes,hija,comandantes,El periodista entrevistó a la hija de los comandantes que MASKTOKEN el accidente.,El periodista entrevistó a la hija de los comandantes que,$ES_PL
13,Spanish,Cuetos_Mitchell,high,pl,0,1,a las hijas,del comandante,hijas,comandante,El periodista entrevistó a las hijas del comandante que MASKTOKEN el accidente.,El periodista entrevistó a las hijas del comandante que,$ES_PL
14,Spanish,Cuetos_Mitchell,ambi,sg,1,1,la maleta,del viajero,maleta,viajero,El campesino contemplaba la maleta del viajero que MASKTOKEN bajo un árbol.,El campesino contemplaba la maleta del viajero que,$ES_SG
14,Spanish,Cuetos_Mitchell,low,sg,1,1,las maletas,del viajero,maletas,viajero,El campesino contemplaba las maletas del viajero que MASKTOKEN bajo un árbol.,El campesino contemplaba las maletas del viajero que,$ES_SG
14,Spanish,Cuetos_Mitchell,high,sg,1,1,la maleta,de los viajeros,maleta,viajeros,El campesino contemplaba la maleta de los viajeros que MASKTOKEN bajo un árbol.,El campesino contemplaba la maleta de los viajeros que,$ES_SG
14,Spanish,Cuetos_Mitchell,ambi,pl,1,1,las maletas,de los viajeros,maletas,viajeros,El campesino contemplaba las maletas de los viajeros que MASKTOKEN bajo un árbol.,El campesino contemplaba las maletas de los viajeros que,$ES_PL
14,Spanish,Cuetos_Mitchell,low,pl,1,1,la maleta,de los viajeros,maleta,viajeros,El campesino contemplaba la maleta de los viajeros que MASKTOKEN bajo un árbol.,El campesino contemplaba la maleta de los viajeros que,$ES_PL
14,Spanish,Cuetos_Mitchell,high,pl,1,1,las maletas,del viajero,maletas,viajero,El campesino contemplaba las maletas del viajero que MASKTOKEN bajo un árbol.,El campesino contemplaba las maletas del viajero que,$ES_PL
15,Spanish,Cuetos_Mitchell,ambi,sg,0,0,la caja,del soldado,caja,soldado,La gente observaba la caja del soldado que MASKTOKEN en el andén.,La gente observaba la caja del soldado que,$ES_SG
15,Spanish,Cuetos_Mitchell,low,sg,0,0,las cajas,del soldado,cajas,soldado,La gente observaba las cajas del soldado que MASKTOKEN en el andén.,La gente observaba las cajas del soldado que,$ES_SG
15,Spanish,Cuetos_Mitchell,high,sg,0,0,la caja,de los soldados,caja,soldados,La gente observaba la caja de los soldados que MASKTOKEN en el andén.,La gente observaba la caja de los soldados que,$ES_SG
15,Spanish,Cuetos_Mitchell,ambi,pl,0,0,las cajas,de los soldados,cajas,soldados,La gente observaba las cajas de los soldados que MASKTOKEN en el andén.,La gente observaba las cajas de los soldados que,$ES_PL
15,Spanish,Cuetos_Mitchell,low,pl,0,0,la caja,de los soldados,caja,soldados,La gente observaba la caja de los soldados que MASKTOKEN en el andén.,La gente observaba la caja de los soldados que,$ES_PL
15,Spanish,Cuetos_Mitchell,high,pl,0,0,las cajas,del soldado,cajas,soldado,La gente observaba las cajas del soldado que MASKTOKEN en el andén.,La gente observaba las cajas del soldado que,$ES_PL
16,Spanish,Cuetos_Mitchell,ambi,sg,0,1,al perro,del vendedor,perro,vendedor,Luis atropelló al perro del vendedor que viene a MASKTOKEN barrio.,Luis atropelló al perro del vendedor que viene a,$ES_SG
16,Spanish,Cuetos_Mitchell,low,sg,0,1,a los perros,del vendedor,perros,vendedor,Luis atropelló a los perros del vendedor que viene a MASKTOKEN barrio.,Luis atropelló a los perros del vendedor que viene a,$ES_SG
16,Spanish,Cuetos_Mitchell,high,sg,0,1,al perro,de los vendedores,perro,vendedores,Luis atropelló al perro de los vendedores que viene a MASKTOKEN barrio.,Luis atropelló al perro de los vendedores que viene a,$ES_SG
16,Spanish,Cuetos_Mitchell,ambi,pl,0,1,a los perros,de los vendedores,perros,vendedores,Luis atropelló a los perros de los vendedores que viene a MASKTOKEN barrio.,Luis atropelló a los perros de los vendedores que viene a,$ES_PL
16,Spanish,Cuetos_Mitchell,low,pl,0,1,al perro,de los vendedores,perro,vendedores,Luis atropelló al perro de los vendedores que viene a MASKTOKEN barrio.,Luis atropelló al perro de los vendedores que viene a,$ES_PL
16,Spanish,Cuetos_Mitchell,high,pl,0,1,a los perros,del vendedor,perros,vendedor,Luis atropelló a los perros del vendedor que viene a MASKTOKEN barrio.,Luis atropelló a los perros del vendedor que viene a,$ES_PL
17,Spanish,Cuetos_Mitchell,ambi,sg,1,1,la prima,del obrero,prima,obrero,Andrés cenó ayer con la prima del obrero que MASKTOKEN en partido comunista.,Andrés cenó ayer con la prima del obrero que,$ES_SG
17,Spanish,Cuetos_Mitchell,low,sg,1,1,las primas,del obrero,primas,obrero,Andrés cenó ayer con las primas del obrero que MASKTOKEN en partido comunista.,Andrés cenó ayer con las primas del obrero que,$ES_SG
17,Spanish,Cuetos_Mitchell,high,sg,1,1,la prima,de los obreros,prima,obreros,Andrés cenó ayer con la prima de los obreros que MASKTOKEN en partido comunista.,Andrés cenó ayer con la prima de los obreros que,$ES_SG
17,Spanish,Cuetos_Mitchell,ambi,pl,1,1,las primas,de los obreros,primas,obreros,Andrés cenó ayer con las primas de los obreros que MASKTOKEN en partido comunista.,Andrés cenó ayer con las primas de los obreros que,$ES_PL
17,Spanish,Cuetos_Mitchell,low,pl,1,1,la prima,de los obreros,prima,obreros,Andrés cenó ayer con la prima de los obreros que MASKTOKEN en partido comunista.,Andrés cenó ayer con la prima de los obreros que,$ES_PL
17,Spanish,Cuetos_Mitchell,high,pl,1,1,las primas,del obrero,primas,obrero,Andrés cenó ayer con las primas del obrero que MASKTOKEN en partido comunista.,Andrés cenó ayer con las primas del obrero que,$ES_PL
18,Spanish,Cuetos_Mitchell,ambi,sg,0,0,al gato,de la francesa,gato,francesa,Jorge acariciaba al gato de la francesa que MASKTOKEN en la fuente.,Jorge acariciaba al gato de la francesa que,$ES_SG
18,Spanish,Cuetos_Mitchell,low,sg,0,0,a los gatos,de la francesa,gatos,francesa,Jorge acariciaba a los gatos de la francesa que MASKTOKEN en la fuente.,Jorge acariciaba a los gatos de la francesa que,$ES_SG
18,Spanish,Cuetos_Mitchell,high,sg,0,0,al gato,de las francesas,gato,francesas,Jorge acariciaba al gato de las francesas que MASKTOKEN en la fuente.,Jorge acariciaba al gato de las francesas que,$ES_SG
18,Spanish,Cuetos_Mitchell,ambi,pl,0,0,a los gatos,de las francesas,gatos,francesas,Jorge acariciaba a los gatos de las francesas que MASKTOKEN en la fuente.,Jorge acariciaba a los gatos de las francesas que,$ES_PL
18,Spanish,Cuetos_Mitchell,low,pl,0,0,al gato,de las francesas,gato,francesas,Jorge acariciaba al gato de las francesas que MASKTOKEN en la fuente.,Jorge acariciaba al gato de las francesas que,$ES_PL
18,Spanish,Cuetos_Mitchell,high,pl,0,0,a los gatos,de la francesa,gatos,francesa,Jorge acariciaba a los gatos de la francesa que MASKTOKEN en la fuente.,Jorge acariciaba a los gatos de la francesa que,$ES_PL
19,Spanish,Cuetos_Mitchell,ambi,sg,0,0,al hermano,del cura,hermano,cura,Marta saludó al hermano del cura que MASKTOKEN en el colegio.,Marta saludó al hermano del cura que,$ES_SG
19,Spanish,Cuetos_Mitchell,low,sg,0,0,a los hermanos,del cura,hermanos,cura,Marta saludó a los hermanos del cura que MASKTOKEN en el colegio.,Marta saludó a los hermanos del cura que,$ES_SG
19,Spanish,Cuetos_Mitchell,high,sg,0,0,al hermano,de los curas,hermano,curas,Marta saludó al hermano de los curas que MASKTOKEN en el colegio.,Marta saludó al hermano de los curas que,$ES_SG
19,Spanish,Cuetos_Mitchell,ambi,pl,0,0,a los hermanos,de los curas,hermanos,curas,Marta saludó a los hermanos de los curas que MASKTOKEN en el colegio.,Marta saludó a los hermanos de los curas que,$ES_PL
19,Spanish,Cuetos_Mitchell,low,pl,0,0,al hermano,de los curas,hermano,curas,Marta saludó al hermano de los curas que MASKTOKEN en el colegio.,Marta saludó al hermano de los curas que,$ES_PL
19,Spanish,Cuetos_Mitchell,high,pl,0,0,a los hermanos,del cura,hermanos,cura,Marta saludó a los hermanos del cura que MASKTOKEN en el colegio.,Marta saludó a los hermanos del cura que,$ES_PL
20,Spanish,Cuetos_Mitchell,ambi,sg,0,0,la maleta,del estudiante,maleta,estudiante,El detective fotografió la maleta del estudiante que MASKTOKEN en la terraza.,El detective fotografió la maleta del estudiante que,$ES_SG
20,Spanish,Cuetos_Mitchell,low,sg,0,0,las maletas,del estudiante,maletas,estudiante,El detective fotografió las maletas del estudiante que MASKTOKEN en la terraza.,El detective fotografió las maletas del estudiante que,$ES_SG
20,Spanish,Cuetos_Mitchell,high,sg,0,0,la maleta,de los estudiantes,maleta,estudiantes,El detective fotografió la maleta de los estudiantes que MASKTOKEN en la terraza.,El detective fotografió la maleta de los estudiantes que,$ES_SG
