item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,model,prob
24,English,Cuetos_Mitchell,low,pl,0,0,the son,of the doctors,son,doctors,This afternoon I saw the son of the doctors who MASKTOKEN at our home.,This afternoon I saw the son of the doctors who,$PL,This afternoon I saw the son of the doctors who MASKTOKEN at our home.,wikitext-103_LSTM_400_7-d0.2.pt,0.1732332115537347
24,English,Cuetos_Mitchell,high,pl,0,0,the sons,of the doctor,sons,doctor,This afternoon I saw the sons of the doctor who MASKTOKEN at our home.,This afternoon I saw the sons of the doctor who,$PL,This afternoon I saw the sons of the doctor who MASKTOKEN at our home.,wikitext-103_LSTM_400_7-d0.2.pt,0.0831438889326108
1a,English,Fernandez,low,sg,1,0,the relatives,of the teacher,relatives,teacher,Andrew had dinner yesterday with the relatives of the teacher that MASKTOKEN divorced.,Andrew had dinner yesterday with the relatives of the teacher that,$SG,Andrew had dinner yesterday with the relatives of the teacher that MASKTOKEN divorced.,wikitext-103_LSTM_400_8-d0.2.pt,0.0654901227310977
1a,English,Fernandez,high,sg,1,0,the relative,of the teachers,relative,teachers,Andrew had dinner yesterday with the relative of the teachers that MASKTOKEN divorced.,Andrew had dinner yesterday with the relative of the teachers that,$SG,Andrew had dinner yesterday with the relative of the teachers that MASKTOKEN divorced.,wikitext-103_LSTM_400_8-d0.2.pt,0.0219103648328218
1a,English,Fernandez,low,pl,1,0,the relative,of the teachers,relative,teachers,Andrew had dinner yesterday with the relative of the teachers that MASKTOKEN divorced.,Andrew had dinner yesterday with the relative of the teachers that,$PL,Andrew had dinner yesterday with the relative of the teachers that MASKTOKEN divorced.,wikitext-103_LSTM_400_8-d0.2.pt,0.1122728430130877
1a,English,Fernandez,high,pl,1,0,the relatives,of the teacher,relatives,teacher,Andrew had dinner yesterday with the relatives of the teacher that MASKTOKEN divorced.,Andrew had dinner yesterday with the relatives of the teacher that,$PL,Andrew had dinner yesterday with the relatives of the teacher that MASKTOKEN divorced.,wikitext-103_LSTM_400_8-d0.2.pt,0.049007154989038
2a,English,Fernandez,low,sg,0,1,the coaches,of the athlete,coaches,athlete,The journalist interviewed the coaches of the athlete that MASKTOKEN sick.,The journalist interviewed the coaches of the athlete that,$SG,The journalist interviewed the coaches of the athlete that MASKTOKEN sick.,wikitext-103_LSTM_400_8-d0.2.pt,0.0664752291317718
2a,English,Fernandez,high,sg,0,1,the coach,of the athletes,coach,athletes,The journalist interviewed the coach of the athletes that MASKTOKEN sick.,The journalist interviewed the coach of the athletes that,$SG,The journalist interviewed the coach of the athletes that MASKTOKEN sick.,wikitext-103_LSTM_400_8-d0.2.pt,0.0240576204735347
2a,English,Fernandez,low,pl,0,1,the coach,of the athletes,coach,athletes,The journalist interviewed the coach of the athletes that MASKTOKEN sick.,The journalist interviewed the coach of the athletes that,$PL,The journalist interviewed the coach of the athletes that MASKTOKEN sick.,wikitext-103_LSTM_400_8-d0.2.pt,0.102910737180343
2a,English,Fernandez,high,pl,0,1,the coaches,of the athlete,coaches,athlete,The journalist interviewed the coaches of the athlete that MASKTOKEN sick.,The journalist interviewed the coaches of the athlete that,$PL,The journalist interviewed the coaches of the athlete that MASKTOKEN sick.,wikitext-103_LSTM_400_8-d0.2.pt,0.048563113487912
3a,English,Fernandez,low,sg,0,1,the secretaries,of the clerk,secretaries,clerk,The personnel manager was observing the secretaries of the clerk that MASKTOKEN studying.,The personnel manager was observing the secretaries of the clerk that,$SG,The personnel manager was observing the secretaries of the clerk that MASKTOKEN studying.,wikitext-103_LSTM_400_8-d0.2.pt,0.0784968254247324
3a,English,Fernandez,high,sg,0,1,the secretary,of the clerks,secretary,clerks,The personnel manager was observing the secretary of the clerks that MASKTOKEN studying.,The personnel manager was observing the secretary of the clerks that,$SG,The personnel manager was observing the secretary of the clerks that MASKTOKEN studying.,wikitext-103_LSTM_400_8-d0.2.pt,0.0309975184170983
3a,English,Fernandez,low,pl,0,1,the secretary,of the clerks,secretary,clerks,The personnel manager was observing the secretary of the clerks that MASKTOKEN studying.,The personnel manager was observing the secretary of the clerks that,$PL,The personnel manager was observing the secretary of the clerks that MASKTOKEN studying.,wikitext-103_LSTM_400_8-d0.2.pt,0.1036527854038844
3a,English,Fernandez,high,pl,0,1,the secretaries,of the clerk,secretaries,clerk,The personnel manager was observing the secretaries of the clerk that MASKTOKEN studying.,The personnel manager was observing the secretaries of the clerk that,$PL,The personnel manager was observing the secretaries of the clerk that MASKTOKEN studying.,wikitext-103_LSTM_400_8-d0.2.pt,0.0581776330157399
4a,English,Fernandez,low,sg,0,0,the secretaries,of the lawyer,secretaries,lawyer,Julia had spoken to the secretaries of the lawyer that MASKTOKEN on vacation.,Julia had spoken to the secretaries of the lawyer that,$SG,Julia had spoken to the secretaries of the lawyer that MASKTOKEN on vacation.,wikitext-103_LSTM_400_8-d0.2.pt,0.034539272492907
4a,English,Fernandez,high,sg,0,0,the secretary,of the lawyers,secretary,lawyers,Julia had spoken to the secretary of the lawyers that MASKTOKEN on vacation.,Julia had spoken to the secretary of the lawyers that,$SG,Julia had spoken to the secretary of the lawyers that MASKTOKEN on vacation.,wikitext-103_LSTM_400_8-d0.2.pt,0.0205832259592724
4a,English,Fernandez,low,pl,0,0,the secretary,of the lawyers,secretary,lawyers,Julia had spoken to the secretary of the lawyers that MASKTOKEN on vacation.,Julia had spoken to the secretary of the lawyers that,$PL,Julia had spoken to the secretary of the lawyers that MASKTOKEN on vacation.,wikitext-103_LSTM_400_8-d0.2.pt,0.0680290280287101
4a,English,Fernandez,high,pl,0,0,the secretaries,of the lawyer,secretaries,lawyer,Julia had spoken to the secretaries of the lawyer that MASKTOKEN on vacation.,Julia had spoken to the secretaries of the lawyer that,$PL,Julia had spoken to the secretaries of the lawyer that MASKTOKEN on vacation.,wikitext-103_LSTM_400_8-d0.2.pt,0.0247515457532969
5a,English,Fernandez,low,sg,1,0,the assistants,of the detective,assistants,detective,My friend met the assistants of the detective that MASKTOKEN fired.,My friend met the assistants of the detective that,$SG,My friend met the assistants of the detective that MASKTOKEN fired.,wikitext-103_LSTM_400_8-d0.2.pt,0.1389695843583567
5a,English,Fernandez,high,sg,1,0,the assistant,of the detectives,assistant,detectives,My friend met the assistant of the detectives that MASKTOKEN fired.,My friend met the assistant of the detectives that,$SG,My friend met the assistant of the detectives that MASKTOKEN fired.,wikitext-103_LSTM_400_8-d0.2.pt,0.0226256151973061
5a,English,Fernandez,low,pl,1,0,the assistant,of the detectives,assistant,detectives,My friend met the assistant of the detectives that MASKTOKEN fired.,My friend met the assistant of the detectives that,$PL,My friend met the assistant of the detectives that MASKTOKEN fired.,wikitext-103_LSTM_400_8-d0.2.pt,0.0833784167411195
5a,English,Fernandez,high,pl,1,0,the assistants,of the detective,assistants,detective,My friend met the assistants of the detective that MASKTOKEN fired.,My friend met the assistants of the detective that,$PL,My friend met the assistants of the detective that MASKTOKEN fired.,wikitext-103_LSTM_400_8-d0.2.pt,0.0872087024097325
6a,English,Fernandez,low,sg,1,0,the employees,of the ambassador,employees,ambassador,Charlie met the employees of the ambassador that MASKTOKEN eating.,Charlie met the employees of the ambassador that,$SG,Charlie met the employees of the ambassador that MASKTOKEN eating.,wikitext-103_LSTM_400_8-d0.2.pt,0.0621372977067409
6a,English,Fernandez,high,sg,1,0,the employee,of the ambassadors,employee,ambassadors,Charlie met the employee of the ambassadors that MASKTOKEN eating.,Charlie met the employee of the ambassadors that,$SG,Charlie met the employee of the ambassadors that MASKTOKEN eating.,wikitext-103_LSTM_400_8-d0.2.pt,0.03418541294557
6a,English,Fernandez,low,pl,1,0,the employee,of the ambassadors,employee,ambassadors,Charlie met the employee of the ambassadors that MASKTOKEN eating.,Charlie met the employee of the ambassadors that,$PL,Charlie met the employee of the ambassadors that MASKTOKEN eating.,wikitext-103_LSTM_400_8-d0.2.pt,0.1105944531230349
6a,English,Fernandez,high,pl,1,0,the employees,of the ambassador,employees,ambassador,Charlie met the employees of the ambassador that MASKTOKEN eating.,Charlie met the employees of the ambassador that,$PL,Charlie met the employees of the ambassador that MASKTOKEN eating.,wikitext-103_LSTM_400_8-d0.2.pt,0.0477853362493903
7a,English,Fernandez,low,sg,0,0,the reviews,of the poem,reviews,poem,Roxanne read the reviews of the poem that MASKTOKEN unfinished.,Roxanne read the reviews of the poem that,$SG,Roxanne read the reviews of the poem that MASKTOKEN unfinished.,wikitext-103_LSTM_400_8-d0.2.pt,0.1730797489224169
7a,English,Fernandez,high,sg,0,0,the review,of the poems,review,poems,Roxanne read the review of the poems that MASKTOKEN unfinished.,Roxanne read the review of the poems that,$SG,Roxanne read the review of the poems that MASKTOKEN unfinished.,wikitext-103_LSTM_400_8-d0.2.pt,0.0467541388707872
7a,English,Fernandez,low,pl,0,0,the review,of the poems,review,poems,Roxanne read the review of the poems that MASKTOKEN unfinished.,Roxanne read the review of the poems that,$PL,Roxanne read the review of the poems that MASKTOKEN unfinished.,wikitext-103_LSTM_400_8-d0.2.pt,0.1560658951768632
7a,English,Fernandez,high,pl,0,0,the reviews,of the poem,reviews,poem,Roxanne read the reviews of the poem that MASKTOKEN unfinished.,Roxanne read the reviews of the poem that,$PL,Roxanne read the reviews of the poem that MASKTOKEN unfinished.,wikitext-103_LSTM_400_8-d0.2.pt,0.0457473512730448
8a,English,Fernandez,low,sg,0,0,the pipes,of the sink,pipes,sink,The plumber adjusted the pipes of the sink that MASKTOKEN cracked.,The plumber adjusted the pipes of the sink that,$SG,The plumber adjusted the pipes of the sink that MASKTOKEN cracked.,wikitext-103_LSTM_400_8-d0.2.pt,0.2025258838797405
8a,English,Fernandez,high,sg,0,0,the pipe,of the sinks,pipe,sinks,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,The plumber adjusted the pipe of the sinks that,$SG,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,wikitext-103_LSTM_400_8-d0.2.pt,0.0595437254481461
8a,English,Fernandez,low,pl,0,0,the pipe,of the sinks,pipe,sinks,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,The plumber adjusted the pipe of the sinks that,$PL,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,wikitext-103_LSTM_400_8-d0.2.pt,0.114211794968053
8a,English,Fernandez,high,pl,0,0,the pipes,of the sink,pipes,sink,The plumber adjusted the pipes of the sink that MASKTOKEN cracked.,The plumber adjusted the pipes of the sink that,$PL,The plumber adjusted the pipes of the sink that MASKTOKEN cracked.,wikitext-103_LSTM_400_8-d0.2.pt,0.0700087252800436
9a,English,Fernandez,low,sg,0,1,the wires,of the speaker,wires,speaker,Mary replaced the wires of the speaker that MASKTOKEN damaged.,Mary replaced the wires of the speaker that,$SG,Mary replaced the wires of the speaker that MASKTOKEN damaged.,wikitext-103_LSTM_400_8-d0.2.pt,0.0911288789503643
9a,English,Fernandez,high,sg,0,1,the wire,of the speakers,wire,speakers,Mary replaced the wire of the speakers that MASKTOKEN damaged.,Mary replaced the wire of the speakers that,$SG,Mary replaced the wire of the speakers that MASKTOKEN damaged.,wikitext-103_LSTM_400_8-d0.2.pt,0.0284242990540164
9a,English,Fernandez,low,pl,0,1,the wire,of the speakers,wire,speakers,Mary replaced the wire of the speakers that MASKTOKEN damaged.,Mary replaced the wire of the speakers that,$PL,Mary replaced the wire of the speakers that MASKTOKEN damaged.,wikitext-103_LSTM_400_8-d0.2.pt,0.1536719692942334
9a,English,Fernandez,high,pl,0,1,the wires,of the speaker,wires,speaker,Mary replaced the wires of the speaker that MASKTOKEN damaged.,Mary replaced the wires of the speaker that,$PL,Mary replaced the wires of the speaker that MASKTOKEN damaged.,wikitext-103_LSTM_400_8-d0.2.pt,0.0664799188342684
10a,English,Fernandez,low,sg,0,0,the recordings,of the song,recordings,song,My brother liked listening to the recordings of the song that MASKTOKEN banned.,My brother liked listening to the recordings of the song that,$SG,My brother liked listening to the recordings of the song that MASKTOKEN banned.,wikitext-103_LSTM_400_8-d0.2.pt,0.2000537214412379
10a,English,Fernandez,high,sg,0,0,the recording,of the songs,recording,songs,My brother liked listening to the recording of the songs that MASKTOKEN banned.,My brother liked listening to the recording of the songs that,$SG,My brother liked listening to the recording of the songs that MASKTOKEN banned.,wikitext-103_LSTM_400_8-d0.2.pt,0.0633353178961506
10a,English,Fernandez,low,pl,0,0,the recording,of the songs,recording,songs,My brother liked listening to the recording of the songs that MASKTOKEN banned.,My brother liked listening to the recording of the songs that,$PL,My brother liked listening to the recording of the songs that MASKTOKEN banned.,wikitext-103_LSTM_400_8-d0.2.pt,0.1902922941863547
10a,English,Fernandez,high,pl,0,0,the recordings,of the song,recordings,song,My brother liked listening to the recordings of the song that MASKTOKEN banned.,My brother liked listening to the recordings of the song that,$PL,My brother liked listening to the recordings of the song that MASKTOKEN banned.,wikitext-103_LSTM_400_8-d0.2.pt,0.067918928127419
11a,English,Fernandez,low,sg,1,1,the covers,of the pot,covers,pot,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,The chef couldn’t find the covers of the pot that,$SG,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,wikitext-103_LSTM_400_8-d0.2.pt,0.2514801827382911
11a,English,Fernandez,high,sg,1,1,the cover,of the pots,cover,pots,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,The chef couldn’t find the cover of the pots that,$SG,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,wikitext-103_LSTM_400_8-d0.2.pt,0.0684935675133395
11a,English,Fernandez,low,pl,1,1,the cover,of the pots,cover,pots,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,The chef couldn’t find the cover of the pots that,$PL,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,wikitext-103_LSTM_400_8-d0.2.pt,0.321420986039941
11a,English,Fernandez,high,pl,1,1,the covers,of the pot,covers,pot,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,The chef couldn’t find the covers of the pot that,$PL,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,wikitext-103_LSTM_400_8-d0.2.pt,0.1589043039032454
12a,English,Fernandez,low,sg,0,1,the keys,of the car,keys,car,The thief took the keys of the car that MASKTOKEN outside.,The thief took the keys of the car that,$SG,The thief took the keys of the car that MASKTOKEN outside.,wikitext-103_LSTM_400_8-d0.2.pt,0.1819771414132329
12a,English,Fernandez,high,sg,0,1,the key,of the cars,key,cars,The thief took the key of the cars that MASKTOKEN outside.,The thief took the key of the cars that,$SG,The thief took the key of the cars that MASKTOKEN outside.,wikitext-103_LSTM_400_8-d0.2.pt,0.0380273866120788
12a,English,Fernandez,low,pl,0,1,the key,of the cars,key,cars,The thief took the key of the cars that MASKTOKEN outside.,The thief took the key of the cars that,$PL,The thief took the key of the cars that MASKTOKEN outside.,wikitext-103_LSTM_400_8-d0.2.pt,0.1793008847297894
12a,English,Fernandez,high,pl,0,1,the keys,of the car,keys,car,The thief took the keys of the car that MASKTOKEN outside.,The thief took the keys of the car that,$PL,The thief took the keys of the car that MASKTOKEN outside.,wikitext-103_LSTM_400_8-d0.2.pt,0.0592991294156242
13a,English,Fernandez,low,sg,0,0,the daughters,of the hostage,daughters,hostage,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,The journalist was unable to interview the daughters of the hostage that,$SG,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,wikitext-103_LSTM_400_8-d0.2.pt,0.0478722964776618
13a,English,Fernandez,high,sg,0,0,the daughter,of the hostages,daughter,hostages,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,The journalist was unable to interview the daughter of the hostages that,$SG,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,wikitext-103_LSTM_400_8-d0.2.pt,0.0226978920057936
13a,English,Fernandez,low,pl,0,0,the daughter,of the hostages,daughter,hostages,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,The journalist was unable to interview the daughter of the hostages that,$PL,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,wikitext-103_LSTM_400_8-d0.2.pt,0.1186171030917915
13a,English,Fernandez,high,pl,0,0,the daughters,of the hostage,daughters,hostage,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,The journalist was unable to interview the daughters of the hostage that,$PL,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,wikitext-103_LSTM_400_8-d0.2.pt,0.0599599621158191
14a,English,Fernandez,low,sg,0,0,the teachers,of the student,teachers,student,Patricia saw the teachers of the student that MASKTOKEN in class.,Patricia saw the teachers of the student that,$SG,Patricia saw the teachers of the student that MASKTOKEN in class.,wikitext-103_LSTM_400_8-d0.2.pt,0.1092849301379317
14a,English,Fernandez,high,sg,0,0,the teacher,of the students,teacher,students,Patricia saw the teacher of the students that MASKTOKEN in class.,Patricia saw the teacher of the students that,$SG,Patricia saw the teacher of the students that MASKTOKEN in class.,wikitext-103_LSTM_400_8-d0.2.pt,0.0252147169913428
14a,English,Fernandez,low,pl,0,0,the teacher,of the students,teacher,students,Patricia saw the teacher of the students that MASKTOKEN in class.,Patricia saw the teacher of the students that,$PL,Patricia saw the teacher of the students that MASKTOKEN in class.,wikitext-103_LSTM_400_8-d0.2.pt,0.1569720591570949
14a,English,Fernandez,high,pl,0,0,the teachers,of the student,teachers,student,Patricia saw the teachers of the student that MASKTOKEN in class.,Patricia saw the teachers of the student that,$PL,Patricia saw the teachers of the student that MASKTOKEN in class.,wikitext-103_LSTM_400_8-d0.2.pt,0.1103151659461403
15a,English,Fernandez,low,sg,0,0,the managers,of the assistant,managers,assistant,Linda wrote to the managers of the assistant that MASKTOKEN late.,Linda wrote to the managers of the assistant that,$SG,Linda wrote to the managers of the assistant that MASKTOKEN late.,wikitext-103_LSTM_400_8-d0.2.pt,0.1253715067432459
15a,English,Fernandez,high,sg,0,0,the manager,of the assistants,manager,assistants,Linda wrote to the manager of the assistants that MASKTOKEN late.,Linda wrote to the manager of the assistants that,$SG,Linda wrote to the manager of the assistants that MASKTOKEN late.,wikitext-103_LSTM_400_8-d0.2.pt,0.0089363500584376
15a,English,Fernandez,low,pl,0,0,the manager,of the assistants,manager,assistants,Linda wrote to the manager of the assistants that MASKTOKEN late.,Linda wrote to the manager of the assistants that,$PL,Linda wrote to the manager of the assistants that MASKTOKEN late.,wikitext-103_LSTM_400_8-d0.2.pt,0.0263203336177859
15a,English,Fernandez,high,pl,0,0,the managers,of the assistant,managers,assistant,Linda wrote to the managers of the assistant that MASKTOKEN late.,Linda wrote to the managers of the assistant that,$PL,Linda wrote to the managers of the assistant that MASKTOKEN late.,wikitext-103_LSTM_400_8-d0.2.pt,0.0381274089626337
16a,English,Fernandez,low,sg,0,0,the guides,of the tourist,guides,tourist,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,The hotel director didn’t want to see the guides of the tourist that,$SG,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,wikitext-103_LSTM_400_8-d0.2.pt,0.1810468107037941
16a,English,Fernandez,high,sg,0,0,the guide,of the tourists,guide,tourists,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,The hotel director didn’t want to see the guide of the tourists that,$SG,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,wikitext-103_LSTM_400_8-d0.2.pt,0.0513205566101149
16a,English,Fernandez,low,pl,0,0,the guide,of the tourists,guide,tourists,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,The hotel director didn’t want to see the guide of the tourists that,$PL,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,wikitext-103_LSTM_400_8-d0.2.pt,0.1931642556847563
16a,English,Fernandez,high,pl,0,0,the guides,of the tourist,guides,tourist,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,The hotel director didn’t want to see the guides of the tourist that,$PL,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,wikitext-103_LSTM_400_8-d0.2.pt,0.141963723893145
17a,English,Fernandez,low,sg,0,0,the clients,of the lawyer,clients,lawyer,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,The receptionist greeted the clients of the lawyer that,$SG,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,wikitext-103_LSTM_400_8-d0.2.pt,0.090660259895257
17a,English,Fernandez,high,sg,0,0,the client,of the lawyers,client,lawyers,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,The receptionist greeted the client of the lawyers that,$SG,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,wikitext-103_LSTM_400_8-d0.2.pt,0.0241474496695266
17a,English,Fernandez,low,pl,0,0,the client,of the lawyers,client,lawyers,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,The receptionist greeted the client of the lawyers that,$PL,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,wikitext-103_LSTM_400_8-d0.2.pt,0.1082883201796551
17a,English,Fernandez,high,pl,0,0,the clients,of the lawyer,clients,lawyer,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,The receptionist greeted the clients of the lawyer that,$PL,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,wikitext-103_LSTM_400_8-d0.2.pt,0.054174904095019
18a,English,Fernandez,low,sg,1,0,the guards,of the ambassador,guards,ambassador,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,Nobody noticed the guards of the ambassador that,$SG,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,wikitext-103_LSTM_400_8-d0.2.pt,0.0804918621171637
18a,English,Fernandez,high,sg,1,0,the guard,of the ambassadors,guard,ambassadors,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,Nobody noticed the guard of the ambassadors that,$SG,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,wikitext-103_LSTM_400_8-d0.2.pt,0.0402634992477395
18a,English,Fernandez,low,pl,1,0,the guard,of the ambassadors,guard,ambassadors,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,Nobody noticed the guard of the ambassadors that,$PL,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,wikitext-103_LSTM_400_8-d0.2.pt,0.1916533447503674
18a,English,Fernandez,high,pl,1,0,the guards,of the ambassador,guards,ambassador,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,Nobody noticed the guards of the ambassador that,$PL,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,wikitext-103_LSTM_400_8-d0.2.pt,0.0762842872859863
19a,English,Fernandez,low,sg,0,0,the sons,of the delegate,sons,delegate,Ivana met the sons of the delegate that MASKTOKEN smoking.,Ivana met the sons of the delegate that,$SG,Ivana met the sons of the delegate that MASKTOKEN smoking.,wikitext-103_LSTM_400_8-d0.2.pt,0.0744249090784014
19a,English,Fernandez,high,sg,0,0,the son,of the delegates,son,delegates,Ivana met the son of the delegates that MASKTOKEN smoking.,Ivana met the son of the delegates that,$SG,Ivana met the son of the delegates that MASKTOKEN smoking.,wikitext-103_LSTM_400_8-d0.2.pt,0.0362597502042199
19a,English,Fernandez,low,pl,0,0,the son,of the delegates,son,delegates,Ivana met the son of the delegates that MASKTOKEN smoking.,Ivana met the son of the delegates that,$PL,Ivana met the son of the delegates that MASKTOKEN smoking.,wikitext-103_LSTM_400_8-d0.2.pt,0.1164425831439963
19a,English,Fernandez,high,pl,0,0,the sons,of the delegate,sons,delegate,Ivana met the sons of the delegate that MASKTOKEN smoking.,Ivana met the sons of the delegate that,$PL,Ivana met the sons of the delegate that MASKTOKEN smoking.,wikitext-103_LSTM_400_8-d0.2.pt,0.0486611540327555
20a,English,Fernandez,low,sg,1,0,the replacements,of the pen,replacements,pen,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,Lisa couldn’t find the replacements of the pen that,$SG,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,wikitext-103_LSTM_400_8-d0.2.pt,0.2191318257781596
20a,English,Fernandez,high,sg,1,0,the replacement,of the pens,replacement,pens,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,Lisa couldn’t find the replacement of the pens that,$SG,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,wikitext-103_LSTM_400_8-d0.2.pt,0.0635566719996147
20a,English,Fernandez,low,pl,1,0,the replacement,of the pens,replacement,pens,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,Lisa couldn’t find the replacement of the pens that,$PL,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,wikitext-103_LSTM_400_8-d0.2.pt,0.2819382696783989
20a,English,Fernandez,high,pl,1,0,the replacements,of the pen,replacements,pen,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,Lisa couldn’t find the replacements of the pen that,$PL,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,wikitext-103_LSTM_400_8-d0.2.pt,0.1471180499372728
21a,English,Fernandez,low,sg,0,0,the revisions,of the manuscript,revisions,manuscript,The student read the revisions of the manuscript that MASKTOKEN on the test.,The student read the revisions of the manuscript that,$SG,The student read the revisions of the manuscript that MASKTOKEN on the test.,wikitext-103_LSTM_400_8-d0.2.pt,0.2032722103928321
21a,English,Fernandez,high,sg,0,0,the revision,of the manuscripts,revision,manuscripts,The student read the revision of the manuscripts that MASKTOKEN on the test.,The student read the revision of the manuscripts that,$SG,The student read the revision of the manuscripts that MASKTOKEN on the test.,wikitext-103_LSTM_400_8-d0.2.pt,0.0441595777518966
21a,English,Fernandez,low,pl,0,0,the revision,of the manuscripts,revision,manuscripts,The student read the revision of the manuscripts that MASKTOKEN on the test.,The student read the revision of the manuscripts that,$PL,The student read the revision of the manuscripts that MASKTOKEN on the test.,wikitext-103_LSTM_400_8-d0.2.pt,0.186149473152609
21a,English,Fernandez,high,pl,0,0,the revisions,of the manuscript,revisions,manuscript,The student read the revisions of the manuscript that MASKTOKEN on the test.,The student read the revisions of the manuscript that,$PL,The student read the revisions of the manuscript that MASKTOKEN on the test.,wikitext-103_LSTM_400_8-d0.2.pt,0.0656678604050569
22a,English,Fernandez,low,sg,0,0,the panels,of the box,panels,box,The archaeologists finally found the panels of the box that MASKTOKEN broken.,The archaeologists finally found the panels of the box that,$SG,The archaeologists finally found the panels of the box that MASKTOKEN broken.,wikitext-103_LSTM_400_8-d0.2.pt,0.0773756157976137
22a,English,Fernandez,high,sg,0,0,the panel,of the boxes,panel,boxes,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,The archaeologists finally found the panel of the boxes that,$SG,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,wikitext-103_LSTM_400_8-d0.2.pt,0.0201231790218763
22a,English,Fernandez,low,pl,0,0,the panel,of the boxes,panel,boxes,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,The archaeologists finally found the panel of the boxes that,$PL,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,wikitext-103_LSTM_400_8-d0.2.pt,0.241435916185388
22a,English,Fernandez,high,pl,0,0,the panels,of the box,panels,box,The archaeologists finally found the panels of the box that MASKTOKEN broken.,The archaeologists finally found the panels of the box that,$PL,The archaeologists finally found the panels of the box that MASKTOKEN broken.,wikitext-103_LSTM_400_8-d0.2.pt,0.1298046996931177
23a,English,Fernandez,low,sg,0,0,the printers,of the computer,printers,computer,Harry had inspected the printers of the computer that MASKTOKEN stolen.,Harry had inspected the printers of the computer that,$SG,Harry had inspected the printers of the computer that MASKTOKEN stolen.,wikitext-103_LSTM_400_8-d0.2.pt,0.1324318249975284
23a,English,Fernandez,high,sg,0,0,the printer,of the computers,printer,computers,Harry had inspected the printer of the computers that MASKTOKEN stolen.,Harry had inspected the printer of the computers that,$SG,Harry had inspected the printer of the computers that MASKTOKEN stolen.,wikitext-103_LSTM_400_8-d0.2.pt,0.0501332678214385
