item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/dccuchile/bert-base-spanish-wwm-uncased_prob,/data/mrm8488/RuPERTa-base_prob
15a,Spanish,Fernandez,ambi,pl,1,0,a los directores,de los asistentes,directores,asistentes,Linda escribió a los directores de los asistentes que MASKTOKEN en la universidad.,Linda escribió a los directores de los asistentes que,$ES_PL,Linda escribió a los directores de los asistentes que MASKTOKEN en la universidad.,0.4881377858296574,0.5893939989551953
15a,Spanish,Fernandez,low,pl,1,0,al director,de los asistentes,director,asistentes,Linda escribió al director de los asistentes que MASKTOKEN en la universidad.,Linda escribió al director de los asistentes que,$ES_PL,Linda escribió al director de los asistentes que MASKTOKEN en la universidad.,0.5613763941147596,0.621585211476642
15a,Spanish,Fernandez,high,pl,1,0,a los directores,del asistente,directores,asistente,Linda escribió a los directores del asistente que MASKTOKEN en la universidad.,Linda escribió a los directores del asistente que,$ES_PL,Linda escribió a los directores del asistente que MASKTOKEN en la universidad.,0.3494324544798957,0.5708592757612152
16a,Spanish,Fernandez,ambi,sg,1,0,al conductor,del turista,conductor,turista,El director del hotel no quiso ver al conductor del turista que MASKTOKEN en recepción..,El director del hotel no quiso ver al conductor del turista que,$ES_SG,El director del hotel no quiso ver al conductor del turista que MASKTOKEN en recepción..,0.9126493276170056,0.5218966809372318
16a,Spanish,Fernandez,low,sg,1,0,a los conductores,del turista,conductores,turista,El director del hotel no quiso ver a los conductores del turista que MASKTOKEN en recepción..,El director del hotel no quiso ver a los conductores del turista que,$ES_SG,El director del hotel no quiso ver a los conductores del turista que MASKTOKEN en recepción..,0.7978307477846656,0.052033399063361685
16a,Spanish,Fernandez,high,sg,1,0,al conductor,de los turistas,conductor,turistas,El director del hotel no quiso ver al conductor de los turistas que MASKTOKEN en recepción..,El director del hotel no quiso ver al conductor de los turistas que,$ES_SG,El director del hotel no quiso ver al conductor de los turistas que MASKTOKEN en recepción..,0.03649821036879619,0.06675382359631854
16a,Spanish,Fernandez,ambi,pl,1,0,a los conductores,de los turistas,conductores,turistas,El director del hotel no quiso ver a los conductores de los turistas que MASKTOKEN en recepción..,El director del hotel no quiso ver a los conductores de los turistas que,$ES_PL,El director del hotel no quiso ver a los conductores de los turistas que MASKTOKEN en recepción..,1.066091994583882,0.36471764919770067
16a,Spanish,Fernandez,low,pl,1,0,al conductor,de los turistas,conductor,turistas,El director del hotel no quiso ver al conductor de los turistas que MASKTOKEN en recepción..,El director del hotel no quiso ver al conductor de los turistas que,$ES_PL,El director del hotel no quiso ver al conductor de los turistas que MASKTOKEN en recepción..,1.0229787637216887,0.5088014120973838
16a,Spanish,Fernandez,high,pl,1,0,a los conductores,del turista,conductores,turista,El director del hotel no quiso ver a los conductores del turista que MASKTOKEN en recepción..,El director del hotel no quiso ver a los conductores del turista que,$ES_PL,El director del hotel no quiso ver a los conductores del turista que MASKTOKEN en recepción..,0.09492107764589797,0.3761337451275182
17a,Spanish,Fernandez,ambi,sg,0,0,al cliente,del abogado,cliente,abogado,La recepcionista saludó al cliente del abogado que MASKTOKEN en la sala de conferencias.,La recepcionista saludó al cliente del abogado que,$ES_SG,La recepcionista saludó al cliente del abogado que MASKTOKEN en la sala de conferencias.,0.3007689236705904,0.48264809804547326
17a,Spanish,Fernandez,low,sg,0,0,a los clientes,del abogado,clientes,abogado,La recepcionista saludó a los clientes del abogado que MASKTOKEN en la sala de conferencias.,La recepcionista saludó a los clientes del abogado que,$ES_SG,La recepcionista saludó a los clientes del abogado que MASKTOKEN en la sala de conferencias.,0.047009820707688554,0.013320637549789183
17a,Spanish,Fernandez,high,sg,0,0,al cliente,de los abogados,cliente,abogados,La recepcionista saludó al cliente de los abogados que MASKTOKEN en la sala de conferencias.,La recepcionista saludó al cliente de los abogados que,$ES_SG,La recepcionista saludó al cliente de los abogados que MASKTOKEN en la sala de conferencias.,0.06791591103856742,0.12784962570782454
17a,Spanish,Fernandez,ambi,pl,0,0,a los clientes,de los abogados,clientes,abogados,La recepcionista saludó a los clientes de los abogados que MASKTOKEN en la sala de conferencias.,La recepcionista saludó a los clientes de los abogados que,$ES_PL,La recepcionista saludó a los clientes de los abogados que MASKTOKEN en la sala de conferencias.,0.5045234442384583,0.5747889133872022
17a,Spanish,Fernandez,low,pl,0,0,al cliente,de los abogados,cliente,abogados,La recepcionista saludó al cliente de los abogados que MASKTOKEN en la sala de conferencias.,La recepcionista saludó al cliente de los abogados que,$ES_PL,La recepcionista saludó al cliente de los abogados que MASKTOKEN en la sala de conferencias.,0.3316137446744758,0.44084949077817726
17a,Spanish,Fernandez,high,pl,0,0,a los clientes,del abogado,clientes,abogado,La recepcionista saludó a los clientes del abogado que MASKTOKEN en la sala de conferencias.,La recepcionista saludó a los clientes del abogado que,$ES_PL,La recepcionista saludó a los clientes del abogado que MASKTOKEN en la sala de conferencias.,0.34371819898671596,0.6068414645572346
18a,Spanish,Fernandez,ambi,sg,1,0,al guarda,del embajador,guarda,embajador,Nadie vio al guarda del embajador que MASKTOKEN en la fiesta.,Nadie vio al guarda del embajador que,$ES_SG,Nadie vio al guarda del embajador que MASKTOKEN en la fiesta.,0.8296597787113655,0.5424598753410237
18a,Spanish,Fernandez,low,sg,1,0,a los guardas,del embajador,guardas,embajador,Nadie vio a los guardas del embajador que MASKTOKEN en la fiesta.,Nadie vio a los guardas del embajador que,$ES_SG,Nadie vio a los guardas del embajador que MASKTOKEN en la fiesta.,0.042340753035529255,0.040082202524132526
18a,Spanish,Fernandez,high,sg,1,0,al guarda,de los embajadores,guarda,embajadores,Nadie vio al guarda de los embajadores que MASKTOKEN en la fiesta.,Nadie vio al guarda de los embajadores que,$ES_SG,Nadie vio al guarda de los embajadores que MASKTOKEN en la fiesta.,0.6712801528209615,0.4747756414215587
18a,Spanish,Fernandez,ambi,pl,1,0,a los guardas,de los embajadores,guardas,embajadores,Nadie vio a los guardas de los embajadores que MASKTOKEN en la fiesta.,Nadie vio a los guardas de los embajadores que,$ES_PL,Nadie vio a los guardas de los embajadores que MASKTOKEN en la fiesta.,0.7869875852126974,0.6361020625262235
18a,Spanish,Fernandez,low,pl,1,0,al guarda,de los embajadores,guarda,embajadores,Nadie vio al guarda de los embajadores que MASKTOKEN en la fiesta.,Nadie vio al guarda de los embajadores que,$ES_PL,Nadie vio al guarda de los embajadores que MASKTOKEN en la fiesta.,0.058499703955309346,0.09089547972820355
18a,Spanish,Fernandez,high,pl,1,0,a los guardas,del embajador,guardas,embajador,Nadie vio a los guardas del embajador que MASKTOKEN en la fiesta.,Nadie vio a los guardas del embajador que,$ES_PL,Nadie vio a los guardas del embajador que MASKTOKEN en la fiesta.,0.6139170461501999,0.597181988031835
19a,Spanish,Fernandez,ambi,sg,0,0,al hijo,del delegado,hijo,delegado,Ivana conoció al hijo del delegado que MASKTOKEN en el salón.,Ivana conoció al hijo del delegado que,$ES_SG,Ivana conoció al hijo del delegado que MASKTOKEN en el salón.,0.4972726480209744,0.4225953757162131
19a,Spanish,Fernandez,low,sg,0,0,a los hijos,del delegado,hijos,delegado,Ivana conoció a los hijos del delegado que MASKTOKEN en el salón.,Ivana conoció a los hijos del delegado que,$ES_SG,Ivana conoció a los hijos del delegado que MASKTOKEN en el salón.,0.44479816826176943,0.05442942135459106
19a,Spanish,Fernandez,high,sg,0,0,al hijo,de los delegados,hijo,delegados,Ivana conoció al hijo de los delegados que MASKTOKEN en el salón.,Ivana conoció al hijo de los delegados que,$ES_SG,Ivana conoció al hijo de los delegados que MASKTOKEN en el salón.,0.012129325886720832,0.012337666539515624
19a,Spanish,Fernandez,ambi,pl,0,0,a los hijos,de los delegados,hijos,delegados,Ivana conoció a los hijos de los delegados que MASKTOKEN en el salón.,Ivana conoció a los hijos de los delegados que,$ES_PL,Ivana conoció a los hijos de los delegados que MASKTOKEN en el salón.,0.5220546765716989,0.6461564065619712
19a,Spanish,Fernandez,low,pl,0,0,al hijo,de los delegados,hijo,delegados,Ivana conoció al hijo de los delegados que MASKTOKEN en el salón.,Ivana conoció al hijo de los delegados que,$ES_PL,Ivana conoció al hijo de los delegados que MASKTOKEN en el salón.,0.5379126708224398,0.6391208086478777
19a,Spanish,Fernandez,high,pl,0,0,a los hijos,del delegado,hijos,delegado,Ivana conoció a los hijos del delegado que MASKTOKEN en el salón.,Ivana conoció a los hijos del delegado que,$ES_PL,Ivana conoció a los hijos del delegado que MASKTOKEN en el salón.,0.07292678192510138,0.5259191089748896
20a,Spanish,Fernandez,ambi,sg,1,1,el componente,de la pluma,componente,pluma,Lisa no pudo encontrar el componente de la pluma que MASKTOKEN de oferta.,Lisa no pudo encontrar el componente de la pluma que,$ES_SG,Lisa no pudo encontrar el componente de la pluma que MASKTOKEN de oferta.,0.6794462762533016,0.7123185835100685
20a,Spanish,Fernandez,low,sg,1,1,los componentes,de la pluma,componentes,pluma,Lisa no pudo encontrar los componentes de la pluma que MASKTOKEN de oferta.,Lisa no pudo encontrar los componentes de la pluma que,$ES_SG,Lisa no pudo encontrar los componentes de la pluma que MASKTOKEN de oferta.,0.47793107138701885,0.08027056243210495
20a,Spanish,Fernandez,high,sg,1,1,el componente,de las plumas,componente,plumas,Lisa no pudo encontrar el componente de las plumas que MASKTOKEN de oferta.,Lisa no pudo encontrar el componente de las plumas que,$ES_SG,Lisa no pudo encontrar el componente de las plumas que MASKTOKEN de oferta.,0.3279548284878757,0.03250966302241309
20a,Spanish,Fernandez,ambi,pl,1,1,los componentes,de las plumas,componentes,plumas,Lisa no pudo encontrar los componentes de las plumas que MASKTOKEN de oferta.,Lisa no pudo encontrar los componentes de las plumas que,$ES_PL,Lisa no pudo encontrar los componentes de las plumas que MASKTOKEN de oferta.,0.8484541208300911,0.7752680526095759
20a,Spanish,Fernandez,low,pl,1,1,el componente,de las plumas,componente,plumas,Lisa no pudo encontrar el componente de las plumas que MASKTOKEN de oferta.,Lisa no pudo encontrar el componente de las plumas que,$ES_PL,Lisa no pudo encontrar el componente de las plumas que MASKTOKEN de oferta.,0.5850345694190331,0.7207575093976715
20a,Spanish,Fernandez,high,pl,1,1,los componentes,de la pluma,componentes,pluma,Lisa no pudo encontrar los componentes de la pluma que MASKTOKEN de oferta.,Lisa no pudo encontrar los componentes de la pluma que,$ES_PL,Lisa no pudo encontrar los componentes de la pluma que MASKTOKEN de oferta.,0.2821264618905559,0.6508627638315829
21a,Spanish,Fernandez,ambi,sg,1,0,el relato,del manuscrito,relato,manuscrito,El estudiante leyó el relato del manuscrito que MASKTOKEN en el examen.,El estudiante leyó el relato del manuscrito que,$ES_SG,El estudiante leyó el relato del manuscrito que MASKTOKEN en el examen.,0.673710333842358,0.7034410888434763
21a,Spanish,Fernandez,low,sg,1,0,los relatos,del manuscrito,relatos,manuscrito,El estudiante leyó los relatos del manuscrito que MASKTOKEN en el examen.,El estudiante leyó los relatos del manuscrito que,$ES_SG,El estudiante leyó los relatos del manuscrito que MASKTOKEN en el examen.,0.6361337816106882,0.27980783124687036
21a,Spanish,Fernandez,high,sg,1,0,el relato,de los manuscritos,relato,manuscritos,El estudiante leyó el relato de los manuscritos que MASKTOKEN en el examen.,El estudiante leyó el relato de los manuscritos que,$ES_SG,El estudiante leyó el relato de los manuscritos que MASKTOKEN en el examen.,0.1459171332820386,0.14997859908284283
21a,Spanish,Fernandez,ambi,pl,1,0,los relatos,de los manuscritos,relatos,manuscritos,El estudiante leyó los relatos de los manuscritos que MASKTOKEN en el examen.,El estudiante leyó los relatos de los manuscritos que,$ES_PL,El estudiante leyó los relatos de los manuscritos que MASKTOKEN en el examen.,0.570058742154405,0.3916271059192624
21a,Spanish,Fernandez,low,pl,1,0,el relato,de los manuscritos,relato,manuscritos,El estudiante leyó el relato de los manuscritos que MASKTOKEN en el examen.,El estudiante leyó el relato de los manuscritos que,$ES_PL,El estudiante leyó el relato de los manuscritos que MASKTOKEN en el examen.,0.5500928284491824,0.5016985235011191
21a,Spanish,Fernandez,high,pl,1,0,los relatos,del manuscrito,relatos,manuscrito,El estudiante leyó los relatos del manuscrito que MASKTOKEN en el examen.,El estudiante leyó los relatos del manuscrito que,$ES_PL,El estudiante leyó los relatos del manuscrito que MASKTOKEN en el examen.,0.08906126137532944,0.35714535901128386
22a,Spanish,Fernandez,ambi,sg,0,1,el panel,de la caja,panel,caja,Los arqueólogos finalmente encontraron el panel de la caja que MASKTOKEN en el poema.,Los arqueólogos finalmente encontraron el panel de la caja que,$ES_SG,Los arqueólogos finalmente encontraron el panel de la caja que MASKTOKEN en el poema.,0.9205537471357372,0.3706604714492343
22a,Spanish,Fernandez,low,sg,0,1,los paneles,de la caja,paneles,caja,Los arqueólogos finalmente encontraron los paneles de la caja que MASKTOKEN en el poema.,Los arqueólogos finalmente encontraron los paneles de la caja que,$ES_SG,Los arqueólogos finalmente encontraron los paneles de la caja que MASKTOKEN en el poema.,0.8031304352833009,0.044810673950028246
22a,Spanish,Fernandez,high,sg,0,1,el panel,de las cajas,panel,cajas,Los arqueólogos finalmente encontraron el panel de las cajas que MASKTOKEN en el poema.,Los arqueólogos finalmente encontraron el panel de las cajas que,$ES_SG,Los arqueólogos finalmente encontraron el panel de las cajas que MASKTOKEN en el poema.,0.05254296759679089,0.1339554036070112
22a,Spanish,Fernandez,ambi,pl,0,1,los paneles,de las cajas,paneles,cajas,Los arqueólogos finalmente encontraron los paneles de las cajas que MASKTOKEN en el poema.,Los arqueólogos finalmente encontraron los paneles de las cajas que,$ES_PL,Los arqueólogos finalmente encontraron los paneles de las cajas que MASKTOKEN en el poema.,0.919682439707799,0.5020386033926343
22a,Spanish,Fernandez,low,pl,0,1,el panel,de las cajas,panel,cajas,Los arqueólogos finalmente encontraron el panel de las cajas que MASKTOKEN en el poema.,Los arqueólogos finalmente encontraron el panel de las cajas que,$ES_PL,Los arqueólogos finalmente encontraron el panel de las cajas que MASKTOKEN en el poema.,0.891065523566116,0.34555239300911467
22a,Spanish,Fernandez,high,pl,0,1,los paneles,de la caja,paneles,caja,Los arqueólogos finalmente encontraron los paneles de la caja que MASKTOKEN en el poema.,Los arqueólogos finalmente encontraron los paneles de la caja que,$ES_PL,Los arqueólogos finalmente encontraron los paneles de la caja que MASKTOKEN en el poema.,0.13755253180157145,0.46745698561312565
23a,Spanish,Fernandez,ambi,sg,1,0,la pieza,del computadora,pieza,computadora,Enrique había inspeccionado la pieza del computadora que MASKTOKEN encima del escritorio..,Enrique había inspeccionado la pieza del computadora que,$ES_SG,Enrique había inspeccionado la pieza del computadora que MASKTOKEN encima del escritorio..,0.40974173483231,0.5482629671910217
23a,Spanish,Fernandez,low,sg,1,0,las piezas,del computadora,piezas,computadora,Enrique había inspeccionado las piezas del computadora que MASKTOKEN encima del escritorio..,Enrique había inspeccionado las piezas del computadora que,$ES_SG,Enrique había inspeccionado las piezas del computadora que MASKTOKEN encima del escritorio..,0.3502797193015894,0.025997328072325132
23a,Spanish,Fernandez,high,sg,1,0,la pieza,de las computadoras,pieza,computadoras,Enrique había inspeccionado la pieza de las computadoras que MASKTOKEN encima del escritorio..,Enrique había inspeccionado la pieza de las computadoras que,$ES_SG,Enrique había inspeccionado la pieza de las computadoras que MASKTOKEN encima del escritorio..,0.36588405225730547,0.2716977452400329
23a,Spanish,Fernandez,ambi,pl,1,0,las piezas,de las computadoras,piezas,computadoras,Enrique había inspeccionado las piezas de las computadoras que MASKTOKEN encima del escritorio..,Enrique había inspeccionado las piezas de las computadoras que,$ES_PL,Enrique había inspeccionado las piezas de las computadoras que MASKTOKEN encima del escritorio..,0.10798349411903119,0.769250109122666
23a,Spanish,Fernandez,low,pl,1,0,la pieza,de las computadoras,pieza,computadoras,Enrique había inspeccionado la pieza de las computadoras que MASKTOKEN encima del escritorio..,Enrique había inspeccionado la pieza de las computadoras que,$ES_PL,Enrique había inspeccionado la pieza de las computadoras que MASKTOKEN encima del escritorio..,0.03576614263332312,0.39660081421726545
23a,Spanish,Fernandez,high,pl,1,0,las piezas,del computadora,piezas,computadora,Enrique había inspeccionado las piezas del computadora que MASKTOKEN encima del escritorio..,Enrique había inspeccionado las piezas del computadora que,$ES_PL,Enrique había inspeccionado las piezas del computadora que MASKTOKEN encima del escritorio..,0.052953410909016396,0.755518043999075
24a,Spanish,Fernandez,ambi,sg,0,0,el pasillo,del apartamento,pasillo,apartamento,Susana admiró el pasillo del apartamento que MASKTOKEN cerca del parque.,Susana admiró el pasillo del apartamento que,$ES_SG,Susana admiró el pasillo del apartamento que MASKTOKEN cerca del parque.,0.5353275118929179,0.6333467855990307
24a,Spanish,Fernandez,low,sg,0,0,los pasillos,del apartamento,pasillos,apartamento,Susana admiró los pasillos del apartamento que MASKTOKEN cerca del parque.,Susana admiró los pasillos del apartamento que,$ES_SG,Susana admiró los pasillos del apartamento que MASKTOKEN cerca del parque.,0.4622269063803892,0.038192976167234605
24a,Spanish,Fernandez,high,sg,0,0,el pasillo,de los apartamentos,pasillo,apartamentos,Susana admiró el pasillo de los apartamentos que MASKTOKEN cerca del parque.,Susana admiró el pasillo de los apartamentos que,$ES_SG,Susana admiró el pasillo de los apartamentos que MASKTOKEN cerca del parque.,0.08190716897158845,0.0625187607518427
24a,Spanish,Fernandez,ambi,pl,0,0,los pasillos,de los apartamentos,pasillos,apartamentos,Susana admiró los pasillos de los apartamentos que MASKTOKEN cerca del parque.,Susana admiró los pasillos de los apartamentos que,$ES_PL,Susana admiró los pasillos de los apartamentos que MASKTOKEN cerca del parque.,0.3963708897048055,0.6483967909339938
24a,Spanish,Fernandez,low,pl,0,0,el pasillo,de los apartamentos,pasillo,apartamentos,Susana admiró el pasillo de los apartamentos que MASKTOKEN cerca del parque.,Susana admiró el pasillo de los apartamentos que,$ES_PL,Susana admiró el pasillo de los apartamentos que MASKTOKEN cerca del parque.,0.38221697559967005,0.5600417599305274
24a,Spanish,Fernandez,high,pl,0,0,los pasillos,del apartamento,pasillos,apartamento,Susana admiró los pasillos del apartamento que MASKTOKEN cerca del parque.,Susana admiró los pasillos del apartamento que,$ES_PL,Susana admiró los pasillos del apartamento que MASKTOKEN cerca del parque.,0.01807333454342147,0.6163387772419924
1,Spanish,Cuetos_Mitchell,ambi,sg,0,0,el libro,de la chica,libro,chica,Pedro miraba el libro de la chica que MASKTOKEN en el salón.,Pedro miraba el libro de la chica que,$ES_SG,Pedro miraba el libro de la chica que MASKTOKEN en el salón.,0.6239995662581292,0.3742243072358349
1,Spanish,Cuetos_Mitchell,low,sg,0,0,los libros,de la chica,libros,chica,Pedro miraba los libros de la chica que MASKTOKEN en el salón.,Pedro miraba los libros de la chica que,$ES_SG,Pedro miraba los libros de la chica que MASKTOKEN en el salón.,0.6340990644318769,0.19645336296083826
1,Spanish,Cuetos_Mitchell,high,sg,0,0,el libro,de las chicas,libro,chicas,Pedro miraba el libro de las chicas que MASKTOKEN en el salón.,Pedro miraba el libro de las chicas que,$ES_SG,Pedro miraba el libro de las chicas que MASKTOKEN en el salón.,0.061553176269114385,0.25216253189724114
1,Spanish,Cuetos_Mitchell,ambi,pl,0,0,los libros,de las chicas,libros,chicas,Pedro miraba los libros de las chicas que MASKTOKEN en el salón.,Pedro miraba los libros de las chicas que,$ES_PL,Pedro miraba los libros de las chicas que MASKTOKEN en el salón.,0.497194555083986,0.3810140064117178
1,Spanish,Cuetos_Mitchell,low,pl,0,0,el libro,de las chicas,libro,chicas,Pedro miraba el libro de las chicas que MASKTOKEN en el salón.,Pedro miraba el libro de las chicas que,$ES_PL,Pedro miraba el libro de las chicas que MASKTOKEN en el salón.,0.44831311662029827,0.05038120227180798
1,Spanish,Cuetos_Mitchell,high,pl,0,0,los libros,de la chica,libros,chica,Pedro miraba los libros de la chica que MASKTOKEN en el salón.,Pedro miraba los libros de la chica que,$ES_PL,Pedro miraba los libros de la chica que MASKTOKEN en el salón.,0.024414701194876348,0.18324801143928937
2,Spanish,Cuetos_Mitchell,ambi,sg,0,0,el criado,de la actriz,criado,actriz,Alguien disparó contra el criado de la actriz que MASKTOKEN en el balcón.,Alguien disparó contra el criado de la actriz que,$ES_SG,Alguien disparó contra el criado de la actriz que MASKTOKEN en el balcón.,0.6072822466306746,0.5437163470526087
2,Spanish,Cuetos_Mitchell,low,sg,0,0,los criados,de la actriz,criados,actriz,Alguien disparó contra los criados de la actriz que MASKTOKEN en el balcón.,Alguien disparó contra los criados de la actriz que,$ES_SG,Alguien disparó contra los criados de la actriz que MASKTOKEN en el balcón.,0.5186665104206014,0.015886365444245598
2,Spanish,Cuetos_Mitchell,high,sg,0,0,el criado,de las actrices,criado,actrices,Alguien disparó contra el criado de las actrices que MASKTOKEN en el balcón.,Alguien disparó contra el criado de las actrices que,$ES_SG,Alguien disparó contra el criado de las actrices que MASKTOKEN en el balcón.,0.06385860986541836,0.012606609189115048
2,Spanish,Cuetos_Mitchell,ambi,pl,0,0,los criados,de las actrices,criados,actrices,Alguien disparó contra los criados de las actrices que MASKTOKEN en el balcón.,Alguien disparó contra los criados de las actrices que,$ES_PL,Alguien disparó contra los criados de las actrices que MASKTOKEN en el balcón.,0.9072330369895809,0.5791277390316196
2,Spanish,Cuetos_Mitchell,low,pl,0,0,el criado,de las actrices,criado,actrices,Alguien disparó contra el criado de las actrices que MASKTOKEN en el balcón.,Alguien disparó contra el criado de las actrices que,$ES_PL,Alguien disparó contra el criado de las actrices que MASKTOKEN en el balcón.,0.782495071723531,0.615393717509054
2,Spanish,Cuetos_Mitchell,high,pl,0,0,los criados,de la actriz,criados,actriz,Alguien disparó contra los criados de la actriz que MASKTOKEN en el balcón.,Alguien disparó contra los criados de la actriz que,$ES_PL,Alguien disparó contra los criados de la actriz que MASKTOKEN en el balcón.,0.11391477353581081,0.661497036390486
3,Spanish,Cuetos_Mitchell,ambi,sg,0,0,al amigo,de la maestra,amigo,maestra,Juan conoció al amigo de la maestra que MASKTOKEN en Alemania.,Juan conoció al amigo de la maestra que,$ES_SG,Juan conoció al amigo de la maestra que MASKTOKEN en Alemania.,0.6295886449518981,0.32342643264802007
3,Spanish,Cuetos_Mitchell,low,sg,0,0,a los amigos,de la maestra,amigos,maestra,Juan conoció a los amigos de la maestra que MASKTOKEN en Alemania.,Juan conoció a los amigos de la maestra que,$ES_SG,Juan conoció a los amigos de la maestra que MASKTOKEN en Alemania.,0.5713494305184827,0.10512726850197396
3,Spanish,Cuetos_Mitchell,high,sg,0,0,al amigo,de las maestras,amigo,maestras,Juan conoció al amigo de las maestras que MASKTOKEN en Alemania.,Juan conoció al amigo de las maestras que,$ES_SG,Juan conoció al amigo de las maestras que MASKTOKEN en Alemania.,0.11755803198093018,0.0366224878824184
3,Spanish,Cuetos_Mitchell,ambi,pl,0,0,a los amigos,de las maestras,amigos,maestras,Juan conoció a los amigos de las maestras que MASKTOKEN en Alemania.,Juan conoció a los amigos de las maestras que,$ES_PL,Juan conoció a los amigos de las maestras que MASKTOKEN en Alemania.,0.5383718082519451,0.4991455575533763
3,Spanish,Cuetos_Mitchell,low,pl,0,0,al amigo,de las maestras,amigo,maestras,Juan conoció al amigo de las maestras que MASKTOKEN en Alemania.,Juan conoció al amigo de las maestras que,$ES_PL,Juan conoció al amigo de las maestras que MASKTOKEN en Alemania.,0.4336254348456734,0.472076602086247
3,Spanish,Cuetos_Mitchell,high,pl,0,0,a los amigos,de la maestra,amigos,maestra,Juan conoció a los amigos de la maestra que MASKTOKEN en Alemania.,Juan conoció a los amigos de la maestra que,$ES_PL,Juan conoció a los amigos de la maestra que MASKTOKEN en Alemania.,0.04790659564645705,0.3816396043625616
4,Spanish,Cuetos_Mitchell,ambi,sg,0,0,la maleta,del turista,maleta,turista,Un ladrón espiaba la maleta del turista que MASKTOKEN junto al buzón.,Un ladrón espiaba la maleta del turista que,$ES_SG,Un ladrón espiaba la maleta del turista que MASKTOKEN junto al buzón.,0.45083588638561345,0.47690790300096
4,Spanish,Cuetos_Mitchell,low,sg,0,0,las maletas,del turista,maletas,turista,Un ladrón espiaba las maletas del turista que MASKTOKEN junto al buzón.,Un ladrón espiaba las maletas del turista que,$ES_SG,Un ladrón espiaba las maletas del turista que MASKTOKEN junto al buzón.,0.21971984748768825,0.11307569975685716
4,Spanish,Cuetos_Mitchell,high,sg,0,0,la maleta,de los turistas,maleta,turistas,Un ladrón espiaba la maleta de los turistas que MASKTOKEN junto al buzón.,Un ladrón espiaba la maleta de los turistas que,$ES_SG,Un ladrón espiaba la maleta de los turistas que MASKTOKEN junto al buzón.,0.00393208243867911,0.015921169458253726
4,Spanish,Cuetos_Mitchell,ambi,pl,0,0,las maletas,de los turistas,maletas,turistas,Un ladrón espiaba las maletas de los turistas que MASKTOKEN junto al buzón.,Un ladrón espiaba las maletas de los turistas que,$ES_PL,Un ladrón espiaba las maletas de los turistas que MASKTOKEN junto al buzón.,0.21817153451250637,0.7193452386216865
4,Spanish,Cuetos_Mitchell,low,pl,0,0,la maleta,de los turistas,maleta,turistas,Un ladrón espiaba la maleta de los turistas que MASKTOKEN junto al buzón.,Un ladrón espiaba la maleta de los turistas que,$ES_PL,Un ladrón espiaba la maleta de los turistas que MASKTOKEN junto al buzón.,0.2939558119808181,0.7087009361506809
4,Spanish,Cuetos_Mitchell,high,pl,0,0,las maletas,del turista,maletas,turista,Un ladrón espiaba las maletas del turista que MASKTOKEN junto al buzón.,Un ladrón espiaba las maletas del turista que,$ES_PL,Un ladrón espiaba las maletas del turista que MASKTOKEN junto al buzón.,0.005824260076495336,0.4669340222089531
5,Spanish,Cuetos_Mitchell,ambi,sg,1,0,el caballo,del campesino,caballo,campesino,El turista fotografió el caballo del campesino que MASKTOKEN junto a la charca.,El turista fotografió el caballo del campesino que,$ES_SG,El turista fotografió el caballo del campesino que MASKTOKEN junto a la charca.,0.46760336489901455,0.5810550054432042
5,Spanish,Cuetos_Mitchell,low,sg,1,0,los caballos,del campesino,caballos,campesino,El turista fotografió los caballos del campesino que MASKTOKEN junto a la charca.,El turista fotografió los caballos del campesino que,$ES_SG,El turista fotografió los caballos del campesino que MASKTOKEN junto a la charca.,0.5103878135690216,0.06460730968829154
5,Spanish,Cuetos_Mitchell,high,sg,1,0,el caballo,de los campesinos,caballo,campesinos,El turista fotografió el caballo de los campesinos que MASKTOKEN junto a la charca.,El turista fotografió el caballo de los campesinos que,$ES_SG,El turista fotografió el caballo de los campesinos que MASKTOKEN junto a la charca.,0.024905770055579257,0.4232472581413731
5,Spanish,Cuetos_Mitchell,ambi,pl,1,0,los caballos,de los campesinos,caballos,campesinos,El turista fotografió los caballos de los campesinos que MASKTOKEN junto a la charca.,El turista fotografió los caballos de los campesinos que,$ES_PL,El turista fotografió los caballos de los campesinos que MASKTOKEN junto a la charca.,0.7718911617377753,0.7158794946630422
5,Spanish,Cuetos_Mitchell,low,pl,1,0,el caballo,de los campesinos,caballo,campesinos,El turista fotografió el caballo de los campesinos que MASKTOKEN junto a la charca.,El turista fotografió el caballo de los campesinos que,$ES_PL,El turista fotografió el caballo de los campesinos que MASKTOKEN junto a la charca.,0.7043755997982313,0.18825767282618244
5,Spanish,Cuetos_Mitchell,high,pl,1,0,los caballos,del campesino,caballos,campesino,El turista fotografió los caballos del campesino que MASKTOKEN junto a la charca.,El turista fotografió los caballos del campesino que,$ES_PL,El turista fotografió los caballos del campesino que MASKTOKEN junto a la charca.,0.09315466668134365,0.5945559315103992
6,Spanish,Cuetos_Mitchell,ambi,sg,0,1,a la hermana,del trabajador,hermana,trabajador,La policía detuvo a la hermana del trabajador que MASKTOKEN en Melilla.,La policía detuvo a la hermana del trabajador que,$ES_SG,La policía detuvo a la hermana del trabajador que MASKTOKEN en Melilla.,0.916023457313174,0.4137823116652726
