item,lang,expType,exp,contrast,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,model,prob,expCat,N2PropSource,N2Prop
1,Spanish,A2,quantity,noAdj,ambi,sg,0,1,el vaso,de jugo,vaso,jugo,Juan pidió el vaso de jugo que MASKTOKEN encima de la mesa.,Juan pidió el vaso de jugo que,$ES_SG,Juan pidió el vaso de jugo que MASKTOKEN encima de la mesa.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0129550230174915,A,human,0.03
2,Spanish,A2,quantity,noAdj,ambi,sg,0,1,la botella,de vino,botella,vino,A María le gustaba la botella de vino que MASKTOKEN en la bodega.,A María le gustaba la botella de vino que,$ES_SG,A María le gustaba la botella de vino que MASKTOKEN en la bodega.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.1029484748749611,A,human,0.07
3,Spanish,A2,quantity,noAdj,ambi,sg,1,1,la copa,de dulce,copa,dulce,Pedro se llevó la copa de dulce que MASKTOKEN al suelo.,Pedro se llevó la copa de dulce que,$ES_SG,Pedro se llevó la copa de dulce que MASKTOKEN al suelo.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0721552749223279,A,human,0.04
4,Spanish,A2,quantity,noAdj,ambi,sg,0,0,el saco,de arena,saco,arena,Andrés recogió el saco de arena que MASKTOKEN de la obra.,Andrés recogió el saco de arena que,$ES_SG,Andrés recogió el saco de arena que MASKTOKEN de la obra.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.055326208407493,A,human,0.15
5,Spanish,A2,quantity,noAdj,ambi,sg,0,1,el paquete,de carne,paquete,carne,El vendedor nos trajo el paquete de carne que MASKTOKEN en el mostrador.,El vendedor nos trajo el paquete de carne que,$ES_SG,El vendedor nos trajo el paquete de carne que MASKTOKEN en el mostrador.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0360096248180477,A,human,0.05
6,Spanish,A2,quantity,noAdj,ambi,sg,0,0,la maleta,de ropa,maleta,ropa,Cuando vamos de camping llevamos la maleta de ropa que MASKTOKEN en verano.,Cuando vamos de camping llevamos la maleta de ropa que,$ES_SG,Cuando vamos de camping llevamos la maleta de ropa que MASKTOKEN en verano.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.116235733728768,A,human,0.59
7,Spanish,A2,quantity,noAdj,ambi,sg,1,0,el caso,de manzana,caso,manzana,En el comedor encontrarás el caso de manzana que MASKTOKEN sobra la mesa.,En el comedor encontrarás el caso de manzana que,$ES_SG,En el comedor encontrarás el caso de manzana que MASKTOKEN sobra la mesa.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0395788610338874,A,human,0.3
8,Spanish,A2,quantity,noAdj,ambi,sg,1,1,el paquete,de color,paquete,color,Julia recogió el paquete de color que MASKTOKEN sobra la mesa.,Julia recogió el paquete de color que,$ES_SG,Julia recogió el paquete de color que MASKTOKEN sobra la mesa.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0414109788145653,A,human,0.13
9,Spanish,A2,quantity,noAdj,ambi,sg,1,1,la copa,de jugo,copa,jugo,Mi madre no vió la copa de jugo que MASKTOKEN de hormigas.,Mi madre no vió la copa de jugo que,$ES_SG,Mi madre no vió la copa de jugo que MASKTOKEN de hormigas.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0644963348834352,A,human,0.2
1,Spanish,B1,kinship,def,ambi,sg,0,1,la pariente,del chico,pariente,chico,La maestra estuvo hablando con la pariente del chico que MASKTOKEN en el hospital.,La maestra estuvo hablando con la pariente del chico que,$ES_SG,La maestra estuvo hablando con la pariente del chico que MASKTOKEN en el hospital.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0902660063505076,B,human,0.8
2,Spanish,B1,kinship,def,ambi,sg,0,1,la hija,del maestro,hija,maestro,Los periodistas entrevistaron a la hija del maestro que MASKTOKEN un accidente.,Los periodistas entrevistaron a la hija del maestro que,$ES_SG,Los periodistas entrevistaron a la hija del maestro que MASKTOKEN un accidente.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.2239599174341661,B,human,0.41
3,Spanish,B1,kinship,def,ambi,sg,1,1,la chica,del trabajador,chica,trabajador,Andrés estuvo cenando con la sobrina del portero que MASKTOKEN el verano pasado.,Andrés estuvo cenando con la sobrina del portero que,$ES_SG,Andrés estuvo cenando con la sobrina del portero que MASKTOKEN el verano pasado.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0621688916556228,B,human,0.57
4,Spanish,B1,kinship,def,ambi,sg,1,1,la hermana,del ingeniero,hermana,ingeniero,Esta mañana me econtré con la tía del mecánico que MASKTOKEN en mi bloque de pisos.,Esta mañana me econtré con la tía del mecánico que,$ES_SG,Esta mañana me econtré con la tía del mecánico que MASKTOKEN en mi bloque de pisos.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.1016960198284619,B,human,0.52
5,Spanish,B1,kinship,def,ambi,sg,0,0,la prima,del pintor,prima,pintor,La policía detuvo a la prima del pintor que MASKTOKEN en Marbella.,La policía detuvo a la prima del pintor que,$ES_SG,La policía detuvo a la prima del pintor que MASKTOKEN en Marbella.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0400670398396645,B,human,0.35
6,Spanish,B1,kinship,def,ambi,sg,0,0,la hermana,de la enfermera,hermana,enfermera,El portero conversaba con la hermana de la enfermera que MASKTOKEN amiga de mi madre.,El portero conversaba con la hermana de la enfermera que,$ES_SG,El portero conversaba con la hermana de la enfermera que MASKTOKEN amiga de mi madre.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.036277837890016,B,human,0.63
7,Spanish,B1,kinship,def,ambi,sg,1,0,de la hermana,del directivo,hermana,directivo,Todos en la oficina sintieron la muerta de la hermana del directivo que MASKTOKEN trabajado tanto tiempo en la empresa.,Todos en la oficina sintieron la muerta de la hermana del directivo que,$ES_SG,Todos en la oficina sintieron la muerta de la hermana del directivo que MASKTOKEN trabajado tanto tiempo en la empresa.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0361166688007142,B,human,0.39
8,Spanish,B1,kinship,def,ambi,sg,1,0,el hermano,del estudiante extranjero,hermano,extranjero,A todos nuestros amigos les gustaba el hermano del estudiante extranjero que MASKTOKEN el verano pasado.,A todos nuestros amigos les gustaba el hermano del estudiante extranjero que,$ES_SG,A todos nuestros amigos les gustaba el hermano del estudiante extranjero que MASKTOKEN el verano pasado.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.2617151049864901,B,human,0.45
9,Spanish,B1,kinship,def,ambi,sg,1,1,la madre,de la muchacha,madre,muchacha,Estábamos preocupados por la madre de la muchacha que MASKTOKEN al hospital.,Estábamos preocupados por la madre de la muchacha que,$ES_SG,Estábamos preocupados por la madre de la muchacha que MASKTOKEN al hospital.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0649325619331022,B,human,0.07
1,Spanish,B2,functional,def,ambi,sg,0,1,al ayudante,del ministro,ayudante,ministro,La explosión ensordeció al ayudante del ministro que MASKTOKEN junto al almaén.,La explosión ensordeció al ayudante del ministro que,$ES_SG,La explosión ensordeció al ayudante del ministro que MASKTOKEN junto al almaén.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.1431953205153431,B,human,0.11
2,Spanish,B2,functional,def,ambi,sg,1,0,al ayudante,del actor,ayudante,actor,La policía también detuvo al ayudante del actor que MASKTOKEN en la empresa. ,La policía también detuvo al ayudante del actor que,$ES_SG,La policía también detuvo al ayudante del actor que MASKTOKEN en la empresa. ,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.1541654120455049,B,human,0.55
3,Spanish,B2,functional,def,ambi,sg,1,1,al asistente,del director,asistente,director,El mes que viene envían al extranjero al asistente del director que MASKTOKEN un montón de horas en la oficina.,El mes que viene envían al extranjero al asistente del director que,$ES_SG,El mes que viene envían al extranjero al asistente del director que MASKTOKEN un montón de horas en la oficina.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0345388864116255,B,human,0.33
4,Spanish,B2,functional,def,ambi,sg,0,0,la enfermera,del doctor,enfermera,doctor,A la mayoría de los enfermos les gustaba la enfermera del doctor que MASKTOKEN de empezar a trabajar en el hospital.,A la mayoría de los enfermos les gustaba la enfermera del doctor que,$ES_SG,A la mayoría de los enfermos les gustaba la enfermera del doctor que MASKTOKEN de empezar a trabajar en el hospital.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.1619311775824812,B,human,0.25
5,Spanish,B2,functional,def,ambi,sg,1,1,el alumno,del artista,alumno,artista,Estuve conversando con el alumno del artista que MASKTOKEN en Paris durante un tiempo.,Estuve conversando con el alumno del artista que,$ES_SG,Estuve conversando con el alumno del artista que MASKTOKEN en Paris durante un tiempo.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0505237052776073,B,human,0.29
6,Spanish,B2,functional,def,ambi,sg,0,0,el asesor,del fiscal,asesor,fiscal,Mañana tengo una cita con el asesor del fiscal que MASKTOKEN en la fiesta de María.,Mañana tengo una cita con el asesor del fiscal que,$ES_SG,Mañana tengo una cita con el asesor del fiscal que MASKTOKEN en la fiesta de María.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0406596384036974,B,human,0.29
7,Spanish,B2,functional,def,ambi,sg,1,1,el consejero,de la adolescente,consejero,adolescente,Me dijeron que el consejero de la adolescente que MASKTOKEN en la televisión.,Me dijeron que el consejero de la adolescente que,$ES_SG,Me dijeron que el consejero de la adolescente que MASKTOKEN en la televisión.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0372428603951981,B,human,0.74
8,Spanish,B2,functional,def,ambi,sg,0,0,al consejero,del director,consejero,director,Ayer ví al consejero del director que MASKTOKEN en la oficina.,Ayer ví al consejero del director que,$ES_SG,Ayer ví al consejero del director que MASKTOKEN en la oficina.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0337684601445948,B,human,0.24
9,Spanish,B2,functional,def,ambi,sg,1,0,la analista,del embajador,analista,embajador,Durante la reunión el jefe de protocolo intentó hablar con la analista del embajador que MASKTOKEN en la fiesta.,Durante la reunión el jefe de protocolo intentó hablar con la analista del embajador que,$ES_SG,Durante la reunión el jefe de protocolo intentó hablar con la analista del embajador que MASKTOKEN en la fiesta.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0504884787476827,B,human,0.13
1,Spanish,B3,possessive,noAdj,ambi,sg,0,0,el museo,de la ciudad,museo,ciudad,Los turistas admiraban el museo de la ciudad que MASKTOKEN en agosto.,Los turistas admiraban el museo de la ciudad que,$ES_SG,Los turistas admiraban el museo de la ciudad que MASKTOKEN en agosto.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0834998823934556,B,human,0.59
2,Spanish,B3,possessive,noAdj,ambi,sg,0,1,el coche,de la empresa,coche,empresa,Juan se estrelló con el coche de la compañía que MASKTOKEN ayer.,Juan se estrelló con el coche de la compañía que,$ES_SG,Juan se estrelló con el coche de la compañía que MASKTOKEN ayer.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0481140811657995,B,human,0.63
3,Spanish,B3,possessive,noAdj,ambi,sg,1,1,el aparato,de la tela,aparato,tela,Varios hombres trasladaron el aparato de la tela que se MASKTOKEN incendiado.,Varios hombres trasladaron el aparato de la tela que se,$ES_SG,Varios hombres trasladaron el aparato de la tela que se MASKTOKEN incendiado.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0932645917249871,B,human,0.75
4,Spanish,B3,possessive,noAdj,ambi,sg,1,0,la demanda,de la empresa,demanda,empresa,Los consultores vendieron la demanda de la empresa que MASKTOKEN bajando la cotización.,Los consultores vendieron la demanda de la empresa que,$ES_SG,Los consultores vendieron la demanda de la empresa que MASKTOKEN bajando la cotización.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0454824799762778,B,human,0.3
5,Spanish,B3,possessive,noAdj,ambi,sg,0,0,la biblioteca,de la escuela,biblioteca,escuela,El gobernador compró libros para la biblioteca de la escuela que MASKTOKEN de construir.,El gobernador compró libros para la biblioteca de la escuela que,$ES_SG,El gobernador compró libros para la biblioteca de la escuela que MASKTOKEN de construir.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0638602953168417,B,human,0.61
6,Spanish,B3,possessive,noAdj,ambi,sg,1,1,la etiqueta,de la empresa,etiqueta,empresa,El columnista del periódico escribió sobre la mascota de la asociación que MASKTOKEN en agosto.,El columnista del periódico escribió sobre la mascota de la asociación que,$ES_SG,El columnista del periódico escribió sobre la mascota de la asociación que MASKTOKEN en agosto.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.078204374955396,B,human,0.08
1,Spanish,B4,inherentposs,noAdj,ambi,sg,1,1,la ventana,del barco,ventana,barco,El piloto contemplaba el aeropuerto desde la ventana del barco que MASKTOKEN limpiando.,El piloto contemplaba el aeropuerto desde la ventana del barco que,$ES_SG,El piloto contemplaba el aeropuerto desde la ventana del barco que MASKTOKEN limpiando.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0883520934881365,B,human,0.63
2,Spanish,B4,inherentposs,noAdj,ambi,sg,0,1,la rama,del arbusto,rama,arbusto,Los ájaros no podán anidar en la rama del arbusto que MASKTOKEN el ño pasado.,Los ájaros no podán anidar en la rama del arbusto que,$ES_SG,Los ájaros no podán anidar en la rama del arbusto que MASKTOKEN el ño pasado.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0557578380681661,B,human,0.25
3,Spanish,B4,inherentposs,noAdj,ambi,sg,0,0,la puerta,de la casa,puerta,casa,El coche se detuvo ante la puerta de la casa que MASKTOKEN claros signos de deterioro.,El coche se detuvo ante la puerta de la casa que,$ES_SG,El coche se detuvo ante la puerta de la casa que MASKTOKEN claros signos de deterioro.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0763191831092866,B,human,0.73
4,Spanish,B4,inherentposs,noAdj,ambi,sg,1,1,la llave,de la cocina,llave,cocina,El fontanero nos recomendó cambiar la llave de la cocina que MASKTOKEN el ño pasado.,El fontanero nos recomendó cambiar la llave de la cocina que,$ES_SG,El fontanero nos recomendó cambiar la llave de la cocina que MASKTOKEN el ño pasado.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0586530963272867,B,human,0.51
5,Spanish,B4,inherentposs,noAdj,ambi,sg,1,0,el verso,del libro,verso,libro,Me gustó mucho el verso del libro que MASKTOKEN ayer.,Me gustó mucho el verso del libro que,$ES_SG,Me gustó mucho el verso del libro que MASKTOKEN ayer.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0741515850095315,B,human,0.47
6,Spanish,B4,inherentposs,noAdj,ambi,sg,1,1,la marca,del contenedor,marca,contenedor,Silvia no econtraba la marca del contenedor que MASKTOKEN de limpiar.,Silvia no econtraba la marca del contenedor que,$ES_SG,Silvia no econtraba la marca del contenedor que MASKTOKEN de limpiar.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0172401437418532,B,human,0.65
7,Spanish,B4,inherentposs,noAdj,ambi,sg,1,0,la campana,de la bicicleta,campana,bicicleta,Tenemos que pintar la campana de la bicicleta que MASKTOKEN ayer.,Tenemos que pintar la campana de la bicicleta que,$ES_SG,Tenemos que pintar la campana de la bicicleta que MASKTOKEN ayer.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0203902217328005,B,human,0.71
8,Spanish,B4,inherentposs,noAdj,ambi,sg,0,0,la etiqueta,de la botella,etiqueta,botella,En la reunión nos mostraron la etiqueta de la botella que MASKTOKEN ayer.,En la reunión nos mostraron la etiqueta de la botella que,$ES_SG,En la reunión nos mostraron la etiqueta de la botella que MASKTOKEN ayer.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.058509408727024,B,human,0.31
9,Spanish,B4,inherentposs,noAdj,ambi,sg,0,1,el motor,del barco,motor,barco,El inspector de seguros fotografió el motor del barco que MASKTOKEN de agua.,El inspector de seguros fotografió el motor del barco que,$ES_SG,El inspector de seguros fotografió el motor del barco que MASKTOKEN de agua.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0820603129702277,B,human,0.63
1,Spanish,B5,rep,noAdj,ambi,sg,1,0,el dibujo,de la escultura,dibujo,escultura,Me sorprendió el dibujo de la escultura que MASKTOKEN en el ayuntamiento.,Me sorprendió el dibujo de la escultura que,$ES_SG,Me sorprendió el dibujo de la escultura que MASKTOKEN en el ayuntamiento.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0623638708279312,B,human,0.63
2,Spanish,B5,rep,noAdj,ambi,sg,0,0,el esquema,de la casa,esquema,casa,El diseñador accedió a mostrarnos el esquema de la casa que MASKTOKEN acabar antes del fin del verano.,El diseñador accedió a mostrarnos el esquema de la casa que,$ES_SG,El diseñador accedió a mostrarnos el esquema de la casa que MASKTOKEN acabar antes del fin del verano.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0632243583779395,B,human,0.63
3,Spanish,B5,rep,noAdj,ambi,sg,0,0,el dibujo,del edificio,dibujo,edificio,El arquitecto exhibió el dibujo del edificio que MASKTOKEN sobre la mesa.,El arquitecto exhibió el dibujo del edificio que,$ES_SG,El arquitecto exhibió el dibujo del edificio que MASKTOKEN sobre la mesa.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0556093417671133,B,human,0.36
4,Spanish,B5,rep,noAdj,ambi,sg,0,0,el retrato,de la mujer,retrato,mujer,A Carlos le gustó el retrato de la mujer que MASKTOKEN en tu casa.,A Carlos le gustó el retrato de la mujer que,$ES_SG,A Carlos le gustó el retrato de la mujer que MASKTOKEN en tu casa.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0615236003466549,B,human,0.09
5,Spanish,B5,rep,noAdj,ambi,sg,1,1,la foto,del chico,foto,chico,En todos los periódicos publicaron la foto del chico que MASKTOKEN mucho.,En todos los periódicos publicaron la foto del chico que,$ES_SG,En todos los periódicos publicaron la foto del chico que MASKTOKEN mucho.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0927954317251495,B,human,0.8
6,Spanish,B5,rep,noAdj,ambi,sg,0,0,el cuadro,de la cueva,cuadro,cueva,Sara pintó el cuadro de la cueva que MASKTOKEN cerca de la mesa.,Sara pintó el cuadro de la cueva que,$ES_SG,Sara pintó el cuadro de la cueva que MASKTOKEN cerca de la mesa.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0403662206657304,B,human,0.51
7,Spanish,B5,rep,noAdj,ambi,sg,1,0,la manta,de la casa,manta,casa,El coleccionista perdió la manta de la casa que MASKTOKEN cerca de la mesa.,El coleccionista perdió la manta de la casa que,$ES_SG,El coleccionista perdió la manta de la casa que MASKTOKEN cerca de la mesa.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0981784346859112,B,human,0.45
8,Spanish,B5,rep,noAdj,ambi,sg,0,0,la pintura,de la playa,pintura,playa,Susana vendió la pintura de la playa que MASKTOKEN cera de sus amigos.,Susana vendió la pintura de la playa que,$ES_SG,Susana vendió la pintura de la playa que MASKTOKEN cera de sus amigos.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0650576167708192,B,human,0.1
9,Spanish,B5,rep,noAdj,ambi,sg,1,0,la pintura,del parque,pintura,parque,La crítica juzgó duramente la pintura del parque que MASKTOKEN ayer.,La crítica juzgó duramente la pintura del parque que,$ES_SG,La crítica juzgó duramente la pintura del parque que MASKTOKEN ayer.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0859568989658323,B,human,0.56
1,Spanish,B’,inanimposs,noAdj,ambi,sg,0,0,el libro,del estudiante,libro,estudiante,El profesor leía el libro del estudiante que MASKTOKEN en el salón.,El profesor leía el libro del estudiante que,$ES_SG,El profesor leía el libro del estudiante que MASKTOKEN en el salón.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0614900572351388,B,human,0.53
2,Spanish,B’,inanimposs,noAdj,ambi,sg,0,0,la maleta,del viajero,maleta,viajero,El revisor observaba la maleta del viajero que MASKTOKEN en la estación.,El revisor observaba la maleta del viajero que,$ES_SG,El revisor observaba la maleta del viajero que MASKTOKEN en la estación.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0200623237044599,B,human,0.84
3,Spanish,B’,inanimposs,noAdj,ambi,sg,0,0,el coche,del piloto,coche,piloto,Los mecánicos revisaban el coche del piloto que MASKTOKEN en la carrera.,Los mecánicos revisaban el coche del piloto que,$ES_SG,Los mecánicos revisaban el coche del piloto que MASKTOKEN en la carrera.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.1453657627805488,B,human,0.72
4,Spanish,B’,inanimposs,noAdj,ambi,sg,0,1,el vestido,de la chica,vestido,chica,La modista cosía el vestido de la chica que MASKTOKEN en el suelo.,La modista cosía el vestido de la chica que,$ES_SG,La modista cosía el vestido de la chica que MASKTOKEN en el suelo.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0449191080975091,B,human,0.68
5,Spanish,B’,inanimposs,noAdj,ambi,sg,0,0,el coche,del vecino,coche,vecino,Pedimos prestado el coche del vecino que MASKTOKEN por allí cerca.,Pedimos prestado el coche del vecino que,$ES_SG,Pedimos prestado el coche del vecino que MASKTOKEN por allí cerca.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0571225249869873,B,human,0.56
6,Spanish,B’,inanimposs,noAdj,ambi,sg,0,1,el ordenador,del ministro,ordenador,ministro,Tuve que pedir prestado el ordenador del ministro que MASKTOKEN en el despacho al lado del mío.,Tuve que pedir prestado el ordenador del ministro que,$ES_SG,Tuve que pedir prestado el ordenador del ministro que MASKTOKEN en el despacho al lado del mío.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0496139691518023,B,human,0.54
1,Spanish,C,with,def,ambi,sg,1,1,la comida,con el tomate,comida,tomate,El conde pidió la comida con el tomate que MASKTOKEN especialmente bien.,El conde pidió la comida con el tomate que,$ES_SG,El conde pidió la comida con el tomate que MASKTOKEN especialmente bien.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0458871326670988,C,human,0.92
2,Spanish,C,with,def,ambi,sg,1,1,el libro,con la cinta,libro,cinta,Laura perdió el libro con la cinta que MASKTOKEN en el salón.,Laura perdió el libro con la cinta que,$ES_SG,Laura perdió el libro con la cinta que MASKTOKEN en el salón.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.1153442741782684,C,human,0.91
3,Spanish,C,with,def,ambi,sg,1,1,el sombrero,con la cuerda,sombrero,cuerda,Marta se puso el sombrero con la cuerda que MASKTOKEN en verano.,Marta se puso el sombrero con la cuerda que,$ES_SG,Marta se puso el sombrero con la cuerda que MASKTOKEN en verano.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0658980109310678,C,human,0.77
4,Spanish,C,with,def,ambi,sg,0,0,el ordenador,con la pantalla,ordenador,pantalla,Se decidió trasladar el ordenador con la pantalla que MASKTOKEN a otro edificio.,Se decidió trasladar el ordenador con la pantalla que,$ES_SG,Se decidió trasladar el ordenador con la pantalla que MASKTOKEN a otro edificio.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0355713893410405,C,human,0.78
5,Spanish,C,with,def,ambi,sg,0,1,la radio,con el cable,radio,cable,Quise llevarme la radio con el cable que MASKTOKEN por muy poco precio.,Quise llevarme la radio con el cable que,$ES_SG,Quise llevarme la radio con el cable que MASKTOKEN por muy poco precio.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0378569352138116,C,human,0.73
6,Spanish,C,with,def,ambi,sg,0,1,la caja,con la flor,caja,flor,En la estantería guardo la caja con la flor que MASKTOKEN en el salón.,En la estantería guardo la caja con la flor que,$ES_SG,En la estantería guardo la caja con la flor que MASKTOKEN en el salón.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0303609271927958,C,human,0.81
7,Spanish,C,with,def,ambi,sg,0,1,del buque,con el pilar,buque,pilar,El capitán autorizó la salida del buque con el pilar que MASKTOKEN.,El capitán autorizó la salida del buque con el pilar que,$ES_SG,El capitán autorizó la salida del buque con el pilar que MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0624768761448254,C,human,0.98
8,Spanish,C,with,def,ambi,sg,1,1,la banda,con el diamante,banda,diamante,Llevé al joyero la banda con el diamante que MASKTOKEN en Colombia.,Llevé al joyero la banda con el diamante que,$ES_SG,Llevé al joyero la banda con el diamante que MASKTOKEN en Colombia.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0232717446643374,C,human,0.71
9,Spanish,C,with,def,ambi,sg,0,0,la casa,con la piscina,casa,piscina,Al millonario se le mostró la casa con la piscina que MASKTOKEN en Colombia,Al millonario se le mostró la casa con la piscina que,$ES_SG,Al millonario se le mostró la casa con la piscina que MASKTOKEN en Colombia,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.1192491175070951,C,human,0.84
1,Spanish,A1,substance,def,ambi,sg,0,1,la mesa,de material,mesa,material,En el garaje guardamos la mesa de material que MASKTOKEN estas Navidades.,En el garaje guardamos la mesa de material que,$ES_SG,En el garaje guardamos la mesa de material que MASKTOKEN estas Navidades.,es_lstm_hidden650_batch64_dropout0.2_lr20_3.pt,0.3548624871174297,A,human,0.06
2,Spanish,A1,substance,def,ambi,sg,1,1,la vela,de mineral,vela,mineral,A mi hermana le regalaron la vela de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron la vela de mineral que,$ES_SG,A mi hermana le regalaron la vela de mineral que MASKTOKEN en la bodega. ,es_lstm_hidden650_batch64_dropout0.2_lr20_3.pt,0.2314648789987927,A,human,0.24
3,Spanish,A1,substance,def,ambi,sg,1,1,la camisa,de tela,camisa,tela,Ayer me regalaron la camisa de tela que MASKTOKEN de contrabando.,Ayer me regalaron la camisa de tela que,$ES_SG,Ayer me regalaron la camisa de tela que MASKTOKEN de contrabando.,es_lstm_hidden650_batch64_dropout0.2_lr20_3.pt,0.2544445320232285,A,human,0.1
4,Spanish,A1,substance,def,ambi,sg,0,1,la manta,de tela,manta,tela,Al final Tomás compró la manta de tela que MASKTOKEN muy cara.,Al final Tomás compró la manta de tela que,$ES_SG,Al final Tomás compró la manta de tela que MASKTOKEN muy cara.,es_lstm_hidden650_batch64_dropout0.2_lr20_3.pt,0.2624848581502306,A,human,0.0
5,Spanish,A1,substance,def,ambi,sg,1,0,la bolsa,de piel,bolsa,piel,María hizo la bolsa de piel que MASKTOKEN mucho.,María hizo la bolsa de piel que,$ES_SG,María hizo la bolsa de piel que MASKTOKEN mucho.,es_lstm_hidden650_batch64_dropout0.2_lr20_3.pt,0.2279845541517033,A,human,0.02
6,Spanish,A1,substance,def,ambi,sg,0,1,la campana,de metal,campana,metal,Por fin colocaron la campana de metal que MASKTOKEN de la fundición.,Por fin colocaron la campana de metal que,$ES_SG,Por fin colocaron la campana de metal que MASKTOKEN de la fundición.,es_lstm_hidden650_batch64_dropout0.2_lr20_3.pt,0.3065055604554914,A,human,0.06
7,Spanish,A1,substance,def,ambi,sg,0,1,el pastel,de grano,pastel,grano,Ayer nos comimos el pastel de grano que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos el pastel de grano que,$ES_SG,Ayer nos comimos el pastel de grano que MASKTOKEN en la tienda de productos orientales.,es_lstm_hidden650_batch64_dropout0.2_lr20_3.pt,0.252138322704468,A,human,0.04
