item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/bert-base-uncased_prob,/data/roberta-base_prob
17a,English,Fernandez,high,pl,0,0,the clients,of the lawyer,clients,lawyer,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,The receptionist greeted the clients of the lawyer that,$PL,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,0.8885103238066011,0.3957023003923429
18a,English,Fernandez,ambi,sg,1,0,the guard,of the ambassador,guard,ambassador,Nobody noticed the guard of the ambassador that MASKTOKEN hiding.,Nobody noticed the guard of the ambassador that,$SG,Nobody noticed the guard of the ambassador that MASKTOKEN hiding.,0.9669665176356688,0.9242679229659624
18a,English,Fernandez,low,sg,1,0,the guards,of the ambassador,guards,ambassador,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,Nobody noticed the guards of the ambassador that,$SG,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,0.05875216539658792,0.5204630062263681
18a,English,Fernandez,high,sg,1,0,the guard,of the ambassadors,guard,ambassadors,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,Nobody noticed the guard of the ambassadors that,$SG,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,0.1658724470131228,0.5184777692876767
18a,English,Fernandez,ambi,pl,1,0,the guards,of the ambassadors,guards,ambassadors,Nobody noticed the guards of the ambassadors that MASKTOKEN hiding.,Nobody noticed the guards of the ambassadors that,$PL,Nobody noticed the guards of the ambassadors that MASKTOKEN hiding.,0.9734821879289152,0.8497327318716809
18a,English,Fernandez,low,pl,1,0,the guard,of the ambassadors,guard,ambassadors,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,Nobody noticed the guard of the ambassadors that,$PL,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,0.807725398586141,0.44640205449871384
18a,English,Fernandez,high,pl,1,0,the guards,of the ambassador,guards,ambassador,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,Nobody noticed the guards of the ambassador that,$PL,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,0.9144016476020794,0.4399019677690482
19a,English,Fernandez,ambi,sg,0,0,the son,of the delegate,son,delegate,Ivana met the son of the delegate that MASKTOKEN smoking.,Ivana met the son of the delegate that,$SG,Ivana met the son of the delegate that MASKTOKEN smoking.,0.6770116961057722,0.8009516846218627
19a,English,Fernandez,low,sg,0,0,the sons,of the delegate,sons,delegate,Ivana met the sons of the delegate that MASKTOKEN smoking.,Ivana met the sons of the delegate that,$SG,Ivana met the sons of the delegate that MASKTOKEN smoking.,0.14232484738466655,0.5306638976252869
19a,English,Fernandez,high,sg,0,0,the son,of the delegates,son,delegates,Ivana met the son of the delegates that MASKTOKEN smoking.,Ivana met the son of the delegates that,$SG,Ivana met the son of the delegates that MASKTOKEN smoking.,0.20902978207772233,0.39082322464262487
19a,English,Fernandez,ambi,pl,0,0,the sons,of the delegates,sons,delegates,Ivana met the sons of the delegates that MASKTOKEN smoking.,Ivana met the sons of the delegates that,$PL,Ivana met the sons of the delegates that MASKTOKEN smoking.,0.7711000190630796,0.6760702723966895
19a,English,Fernandez,low,pl,0,0,the son,of the delegates,son,delegates,Ivana met the son of the delegates that MASKTOKEN smoking.,Ivana met the son of the delegates that,$PL,Ivana met the son of the delegates that MASKTOKEN smoking.,0.5891329763238942,0.3055389969527105
19a,English,Fernandez,high,pl,0,0,the sons,of the delegate,sons,delegate,Ivana met the sons of the delegate that MASKTOKEN smoking.,Ivana met the sons of the delegate that,$PL,Ivana met the sons of the delegate that MASKTOKEN smoking.,0.5705149030793686,0.29490409943599594
20a,English,Fernandez,ambi,sg,1,0,the replacement,of the pen,replacement,pen,Lisa couldn’t find the replacement of the pen that MASKTOKEN on sale.,Lisa couldn’t find the replacement of the pen that,$SG,Lisa couldn’t find the replacement of the pen that MASKTOKEN on sale.,0.951218018155171,0.9264936431872027
20a,English,Fernandez,low,sg,1,0,the replacements,of the pen,replacements,pen,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,Lisa couldn’t find the replacements of the pen that,$SG,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,0.7802411930919089,0.07201275125908352
20a,English,Fernandez,high,sg,1,0,the replacement,of the pens,replacement,pens,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,Lisa couldn’t find the replacement of the pens that,$SG,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,0.002514801449708663,0.1954051383087714
20a,English,Fernandez,ambi,pl,1,0,the replacements,of the pens,replacements,pens,Lisa couldn’t find the replacements of the pens that MASKTOKEN on sale.,Lisa couldn’t find the replacements of the pens that,$PL,Lisa couldn’t find the replacements of the pens that MASKTOKEN on sale.,0.9654689451919951,0.9498724816409239
20a,English,Fernandez,low,pl,1,0,the replacement,of the pens,replacement,pens,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,Lisa couldn’t find the replacement of the pens that,$PL,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,0.9559972262668439,0.7624202823275411
20a,English,Fernandez,high,pl,1,0,the replacements,of the pen,replacements,pen,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,Lisa couldn’t find the replacements of the pen that,$PL,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,0.16160131761192822,0.8616725177336637
21a,English,Fernandez,ambi,sg,0,0,the revision,of the manuscript,revision,manuscript,The student read the revision of the manuscript that MASKTOKEN on the test.,The student read the revision of the manuscript that,$SG,The student read the revision of the manuscript that MASKTOKEN on the test.,0.6303057355919786,0.22787665743569233
21a,English,Fernandez,low,sg,0,0,the revisions,of the manuscript,revisions,manuscript,The student read the revisions of the manuscript that MASKTOKEN on the test.,The student read the revisions of the manuscript that,$SG,The student read the revisions of the manuscript that MASKTOKEN on the test.,0.11795884068672485,0.05189013414644638
21a,English,Fernandez,high,sg,0,0,the revision,of the manuscripts,revision,manuscripts,The student read the revision of the manuscripts that MASKTOKEN on the test.,The student read the revision of the manuscripts that,$SG,The student read the revision of the manuscripts that MASKTOKEN on the test.,0.017758048725325576,0.024805961419441074
21a,English,Fernandez,ambi,pl,0,0,the revisions,of the manuscripts,revisions,manuscripts,The student read the revisions of the manuscripts that MASKTOKEN on the test.,The student read the revisions of the manuscripts that,$PL,The student read the revisions of the manuscripts that MASKTOKEN on the test.,0.5570651327427558,0.19160793313313376
21a,English,Fernandez,low,pl,0,0,the revision,of the manuscripts,revision,manuscripts,The student read the revision of the manuscripts that MASKTOKEN on the test.,The student read the revision of the manuscripts that,$PL,The student read the revision of the manuscripts that MASKTOKEN on the test.,0.6321042085496069,0.22245074803082843
21a,English,Fernandez,high,pl,0,0,the revisions,of the manuscript,revisions,manuscript,The student read the revisions of the manuscript that MASKTOKEN on the test.,The student read the revisions of the manuscript that,$PL,The student read the revisions of the manuscript that MASKTOKEN on the test.,0.4065716682801219,0.10146224877117895
22a,English,Fernandez,ambi,sg,0,0,the panel,of the box,panel,box,The archaeologists finally found the panel of the box that MASKTOKEN broken.,The archaeologists finally found the panel of the box that,$SG,The archaeologists finally found the panel of the box that MASKTOKEN broken.,0.9049885491950829,0.6901370037607998
22a,English,Fernandez,low,sg,0,0,the panels,of the box,panels,box,The archaeologists finally found the panels of the box that MASKTOKEN broken.,The archaeologists finally found the panels of the box that,$SG,The archaeologists finally found the panels of the box that MASKTOKEN broken.,0.023593085528724897,0.017731839210251565
22a,English,Fernandez,high,sg,0,0,the panel,of the boxes,panel,boxes,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,The archaeologists finally found the panel of the boxes that,$SG,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,0.5119488288113743,0.7135994454859944
22a,English,Fernandez,ambi,pl,0,0,the panels,of the boxes,panels,boxes,The archaeologists finally found the panels of the boxes that MASKTOKEN broken.,The archaeologists finally found the panels of the boxes that,$PL,The archaeologists finally found the panels of the boxes that MASKTOKEN broken.,0.8977026398418346,0.7599459389514489
22a,English,Fernandez,low,pl,0,0,the panel,of the boxes,panel,boxes,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,The archaeologists finally found the panel of the boxes that,$PL,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,0.3678786381234305,0.04390387872710274
22a,English,Fernandez,high,pl,0,0,the panels,of the box,panels,box,The archaeologists finally found the panels of the box that MASKTOKEN broken.,The archaeologists finally found the panels of the box that,$PL,The archaeologists finally found the panels of the box that MASKTOKEN broken.,0.878646397215698,0.692580294852551
23a,English,Fernandez,ambi,sg,0,0,the printer,of the computer,printer,computer,Harry had inspected the printer of the computer that MASKTOKEN stolen.,Harry had inspected the printer of the computer that,$SG,Harry had inspected the printer of the computer that MASKTOKEN stolen.,0.96118709791215,0.9585242305980516
23a,English,Fernandez,low,sg,0,0,the printers,of the computer,printers,computer,Harry had inspected the printers of the computer that MASKTOKEN stolen.,Harry had inspected the printers of the computer that,$SG,Harry had inspected the printers of the computer that MASKTOKEN stolen.,0.9638367662455818,0.9287284602985584
23a,English,Fernandez,high,sg,0,0,the printer,of the computers,printer,computers,Harry had inspected the printer of the computers that MASKTOKEN stolen.,Harry had inspected the printer of the computers that,$SG,Harry had inspected the printer of the computers that MASKTOKEN stolen.,0.014344174738358074,0.12726423060067868
23a,English,Fernandez,ambi,pl,0,0,the printers,of the computers,printers,computers,Harry had inspected the printers of the computers that MASKTOKEN stolen.,Harry had inspected the printers of the computers that,$PL,Harry had inspected the printers of the computers that MASKTOKEN stolen.,0.9657349390845507,0.9589764925847728
23a,English,Fernandez,low,pl,0,0,the printer,of the computers,printer,computers,Harry had inspected the printer of the computers that MASKTOKEN stolen.,Harry had inspected the printer of the computers that,$PL,Harry had inspected the printer of the computers that MASKTOKEN stolen.,0.9462791934795188,0.8352180009121599
23a,English,Fernandez,high,pl,0,0,the printers,of the computer,printers,computer,Harry had inspected the printers of the computer that MASKTOKEN stolen.,Harry had inspected the printers of the computer that,$PL,Harry had inspected the printers of the computer that MASKTOKEN stolen.,0.0073319534883099224,0.03097438295527573
24a,English,Fernandez,ambi,sg,0,0,the hall,of the apartment,hall,apartment,Susan admired the hall of the apartment that MASKTOKEN painted.,Susan admired the hall of the apartment that,$SG,Susan admired the hall of the apartment that MASKTOKEN painted.,0.47288918012048,0.3901648664556442
24a,English,Fernandez,low,sg,0,0,the halls,of the apartment,halls,apartment,Susan admired the halls of the apartment that MASKTOKEN painted.,Susan admired the halls of the apartment that,$SG,Susan admired the halls of the apartment that MASKTOKEN painted.,0.19432056907802076,0.36104965693865365
24a,English,Fernandez,high,sg,0,0,the hall,of the apartments,hall,apartments,Susan admired the hall of the apartments that MASKTOKEN painted.,Susan admired the hall of the apartments that,$SG,Susan admired the hall of the apartments that MASKTOKEN painted.,0.08977971373276916,0.35821486382177614
24a,English,Fernandez,ambi,pl,0,0,the halls,of the apartments,halls,apartments,Susan admired the halls of the apartments that MASKTOKEN painted.,Susan admired the halls of the apartments that,$PL,Susan admired the halls of the apartments that MASKTOKEN painted.,0.5741155685438537,0.5639357224139707
24a,English,Fernandez,low,pl,0,0,the hall,of the apartments,hall,apartments,Susan admired the hall of the apartments that MASKTOKEN painted.,Susan admired the hall of the apartments that,$PL,Susan admired the hall of the apartments that MASKTOKEN painted.,0.45997973906533396,0.2570891641681037
24a,English,Fernandez,high,pl,0,0,the halls,of the apartment,halls,apartment,Susan admired the halls of the apartment that MASKTOKEN painted.,Susan admired the halls of the apartment that,$PL,Susan admired the halls of the apartment that MASKTOKEN painted.,0.20768953856269334,0.07588122328772023
1,English,Cuetos_Mitchell,ambi,sg,0,0,the book,of the girl,book,girl,Peter was looking at the book of the girl that MASKTOKEN in the living room.,Peter was looking at the book of the girl that,$SG,Peter was looking at the book of the girl that MASKTOKEN in the living room.,0.20216093523292678,0.7323251624854806
1,English,Cuetos_Mitchell,low,sg,0,0,the books,of the girl,books,girl,Peter was looking at the books of the girl that MASKTOKEN in the living room.,Peter was looking at the books of the girl that,$SG,Peter was looking at the books of the girl that MASKTOKEN in the living room.,0.20147150559903942,0.25407332807595345
1,English,Cuetos_Mitchell,high,sg,0,0,the book,of the girls,book,girls,Peter was looking at the book of the girls that MASKTOKEN in the living room.,Peter was looking at the book of the girls that,$SG,Peter was looking at the book of the girls that MASKTOKEN in the living room.,0.1286775339401951,0.8271248859398787
1,English,Cuetos_Mitchell,ambi,pl,0,0,the books,of the girls,books,girls,Peter was looking at the books of the girls that MASKTOKEN in the living room.,Peter was looking at the books of the girls that,$PL,Peter was looking at the books of the girls that MASKTOKEN in the living room.,0.531357569884492,0.8587749314940925
1,English,Cuetos_Mitchell,low,pl,0,0,the book,of the girls,book,girls,Peter was looking at the book of the girls that MASKTOKEN in the living room.,Peter was looking at the book of the girls that,$PL,Peter was looking at the book of the girls that MASKTOKEN in the living room.,0.3100935595121763,0.040902818386144645
1,English,Cuetos_Mitchell,high,pl,0,0,the books,of the girl,books,girl,Peter was looking at the books of the girl that MASKTOKEN in the living room.,Peter was looking at the books of the girl that,$PL,Peter was looking at the books of the girl that MASKTOKEN in the living room.,0.016123257079565856,0.015284607312476488
2,English,Cuetos_Mitchell,ambi,sg,0,0,the servant,of the actress,servant,actress,Someone shot the servant of the actress who MASKTOKEN on the balcony.,Someone shot the servant of the actress who,$SG,Someone shot the servant of the actress who MASKTOKEN on the balcony.,0.7031913675755405,0.847325392577941
2,English,Cuetos_Mitchell,low,sg,0,0,the servants,of the actress,servants,actress,Someone shot the servants of the actress who MASKTOKEN on the balcony.,Someone shot the servants of the actress who,$SG,Someone shot the servants of the actress who MASKTOKEN on the balcony.,0.6492576419751724,0.20321037695962646
2,English,Cuetos_Mitchell,high,sg,0,0,the servant,of the actresses,servant,actresses,Someone shot the servant of the actresses who MASKTOKEN on the balcony.,Someone shot the servant of the actresses who,$SG,Someone shot the servant of the actresses who MASKTOKEN on the balcony.,0.019783449529319597,0.5167785550951352
2,English,Cuetos_Mitchell,ambi,pl,0,0,the servants,of the actresses,servants,actresses,Someone shot the servants of the actresses who MASKTOKEN on the balcony.,Someone shot the servants of the actresses who,$PL,Someone shot the servants of the actresses who MASKTOKEN on the balcony.,0.6290983470820878,0.8085587397203341
2,English,Cuetos_Mitchell,low,pl,0,0,the servant,of the actresses,servant,actresses,Someone shot the servant of the actresses who MASKTOKEN on the balcony.,Someone shot the servant of the actresses who,$PL,Someone shot the servant of the actresses who MASKTOKEN on the balcony.,0.7005403287098491,0.30938198218945967
2,English,Cuetos_Mitchell,high,pl,0,0,the servants,of the actress,servants,actress,Someone shot the servants of the actress who MASKTOKEN on the balcony.,Someone shot the servants of the actress who,$PL,Someone shot the servants of the actress who MASKTOKEN on the balcony.,0.01806604673016636,0.6311985981680364
3,English,Cuetos_Mitchell,ambi,sg,0,0,the friend,of the teacher,friend,teacher,John met the friend of the teacher who MASKTOKEN in Germany.,John met the friend of the teacher who,$SG,John met the friend of the teacher who MASKTOKEN in Germany.,0.376590484467714,0.5077502057143142
3,English,Cuetos_Mitchell,low,sg,0,0,the friends,of the teacher,friends,teacher,John met the friends of the teacher who MASKTOKEN in Germany.,John met the friends of the teacher who,$SG,John met the friends of the teacher who MASKTOKEN in Germany.,0.1692024593111725,0.045410296713615
3,English,Cuetos_Mitchell,high,sg,0,0,the friend,of the teachers,friend,teachers,John met the friend of the teachers who MASKTOKEN in Germany.,John met the friend of the teachers who,$SG,John met the friend of the teachers who MASKTOKEN in Germany.,0.018970819344972994,0.4435954016997344
3,English,Cuetos_Mitchell,ambi,pl,0,0,the friends,of the teachers,friends,teachers,John met the friends of the teachers who MASKTOKEN in Germany.,John met the friends of the teachers who,$PL,John met the friends of the teachers who MASKTOKEN in Germany.,0.16548323710743518,0.31988238503030847
3,English,Cuetos_Mitchell,low,pl,0,0,the friend,of the teachers,friend,teachers,John met the friend of the teachers who MASKTOKEN in Germany.,John met the friend of the teachers who,$PL,John met the friend of the teachers who MASKTOKEN in Germany.,0.24674326277576047,0.02748515827698948
3,English,Cuetos_Mitchell,high,pl,0,0,the friends,of the teacher,friends,teacher,John met the friends of the teacher who MASKTOKEN in Germany.,John met the friends of the teacher who,$PL,John met the friends of the teacher who MASKTOKEN in Germany.,0.07062243352837991,0.42328157256140037
4,English,Cuetos_Mitchell,ambi,sg,0,0,the case,of the tourist,case,tourist,A thief was keeping an eye on the case of the tourist that MASKTOKEN by the mailbox.,A thief was keeping an eye on the case of the tourist that,$SG,A thief was keeping an eye on the case of the tourist that MASKTOKEN by the mailbox.,0.031501000709564075,0.19289823464847716
4,English,Cuetos_Mitchell,low,sg,0,0,the cases,of the tourist,cases,tourist,A thief was keeping an eye on the cases of the tourist that MASKTOKEN by the mailbox.,A thief was keeping an eye on the cases of the tourist that,$SG,A thief was keeping an eye on the cases of the tourist that MASKTOKEN by the mailbox.,0.015248116431016562,0.09557113722554156
4,English,Cuetos_Mitchell,high,sg,0,0,the case,of the tourists,case,tourists,A thief was keeping an eye on the case of the tourists that MASKTOKEN by the mailbox.,A thief was keeping an eye on the case of the tourists that,$SG,A thief was keeping an eye on the case of the tourists that MASKTOKEN by the mailbox.,0.003601215372579958,0.007177642241063475
4,English,Cuetos_Mitchell,ambi,pl,0,0,the cases,of the tourists,cases,tourists,A thief was keeping an eye on the cases of the tourists that MASKTOKEN by the mailbox.,A thief was keeping an eye on the cases of the tourists that,$PL,A thief was keeping an eye on the cases of the tourists that MASKTOKEN by the mailbox.,0.02885794413716225,0.2946292581324692
4,English,Cuetos_Mitchell,low,pl,0,0,the case,of the tourists,case,tourists,A thief was keeping an eye on the case of the tourists that MASKTOKEN by the mailbox.,A thief was keeping an eye on the case of the tourists that,$PL,A thief was keeping an eye on the case of the tourists that MASKTOKEN by the mailbox.,0.04647279201116372,0.3845040252695118
4,English,Cuetos_Mitchell,high,pl,0,0,the cases,of the tourist,cases,tourist,A thief was keeping an eye on the cases of the tourist that MASKTOKEN by the mailbox.,A thief was keeping an eye on the cases of the tourist that,$PL,A thief was keeping an eye on the cases of the tourist that MASKTOKEN by the mailbox.,0.01621843074504903,0.20688103013900194
5,English,Cuetos_Mitchell,ambi,sg,1,0,the animal,of the peasant,animal,peasant,The tourist photographed the animal of the peasant that MASKTOKEN by the puddle.,The tourist photographed the animal of the peasant that,$SG,The tourist photographed the animal of the peasant that MASKTOKEN by the puddle.,0.08876016240173712,0.239755594737588
5,English,Cuetos_Mitchell,low,sg,1,0,the animals,of the peasant,animals,peasant,The tourist photographed the animals of the peasant that MASKTOKEN by the puddle.,The tourist photographed the animals of the peasant that,$SG,The tourist photographed the animals of the peasant that MASKTOKEN by the puddle.,0.024693360861236524,0.06589173790741701
5,English,Cuetos_Mitchell,high,sg,1,0,the animal,of the peasants,animal,peasants,The tourist photographed the animal of the peasants that MASKTOKEN by the puddle.,The tourist photographed the animal of the peasants that,$SG,The tourist photographed the animal of the peasants that MASKTOKEN by the puddle.,0.012107636408370537,0.12579574468913382
5,English,Cuetos_Mitchell,ambi,pl,1,0,the animals,of the peasants,animals,peasants,The tourist photographed the animals of the peasants that MASKTOKEN by the puddle.,The tourist photographed the animals of the peasants that,$PL,The tourist photographed the animals of the peasants that MASKTOKEN by the puddle.,0.06336462280276428,0.2622525590094196
5,English,Cuetos_Mitchell,low,pl,1,0,the animal,of the peasants,animal,peasants,The tourist photographed the animal of the peasants that MASKTOKEN by the puddle.,The tourist photographed the animal of the peasants that,$PL,The tourist photographed the animal of the peasants that MASKTOKEN by the puddle.,0.0844450138681051,0.15235746227122826
5,English,Cuetos_Mitchell,high,pl,1,0,the animals,of the peasant,animals,peasant,The tourist photographed the animals of the peasant that MASKTOKEN by the puddle.,The tourist photographed the animals of the peasant that,$PL,The tourist photographed the animals of the peasant that MASKTOKEN by the puddle.,0.11194620776748243,0.2354598884020899
6,English,Cuetos_Mitchell,ambi,sg,0,1,the sister,of the driver,sister,driver,The police arrested the sister of the driver who MASKTOKEN in Melilla.,The police arrested the sister of the driver who,$SG,The police arrested the sister of the driver who MASKTOKEN in Melilla.,0.6603327612052927,0.5101860933969782
6,English,Cuetos_Mitchell,low,sg,0,1,the sisters,of the driver,sisters,driver,The police arrested the sisters of the driver who MASKTOKEN in Melilla.,The police arrested the sisters of the driver who,$SG,The police arrested the sisters of the driver who MASKTOKEN in Melilla.,0.7330290220413518,0.49396889045825476
6,English,Cuetos_Mitchell,high,sg,0,1,the sister,of the driver,sister,driver,The police arrested the sister of the driver who MASKTOKEN in Melilla.,The police arrested the sister of the driver who,$SG,The police arrested the sister of the driver who MASKTOKEN in Melilla.,0.6603327612052927,0.5101860635946558
6,English,Cuetos_Mitchell,ambi,pl,0,1,the sisters,of the driver,sisters,driver,The police arrested the sisters of the driver who MASKTOKEN in Melilla.,The police arrested the sisters of the driver who,$PL,The police arrested the sisters of the driver who MASKTOKEN in Melilla.,0.004058210269581242,0.07274619532229655
6,English,Cuetos_Mitchell,low,pl,0,1,the sister,of the driver,sister,driver,The police arrested the sister of the driver who MASKTOKEN in Melilla.,The police arrested the sister of the driver who,$PL,The police arrested the sister of the driver who MASKTOKEN in Melilla.,0.00205602430432629,0.006153596450765139
6,English,Cuetos_Mitchell,high,pl,0,1,the sisters,of the driver,sisters,driver,The police arrested the sisters of the driver who MASKTOKEN in Melilla.,The police arrested the sisters of the driver who,$PL,The police arrested the sisters of the driver who MASKTOKEN in Melilla.,0.004058210269581242,0.07274620652224621
7,English,Cuetos_Mitchell,ambi,sg,1,0,the medicine,of the patient,medicine,patient,The nurse took the medicine of the patient that MASKTOKEN by the window.,The nurse took the medicine of the patient that,$SG,The nurse took the medicine of the patient that MASKTOKEN by the window.,0.12245281726644419,0.6541640631994493
7,English,Cuetos_Mitchell,low,sg,1,0,the medicines,of the patient,medicines,patient,The nurse took the medicines of the patient that MASKTOKEN by the window.,The nurse took the medicines of the patient that,$SG,The nurse took the medicines of the patient that MASKTOKEN by the window.,0.12779369607982966,0.6462031995303019
7,English,Cuetos_Mitchell,high,sg,1,0,the medicine,of the patients,medicine,patients,The nurse took the medicine of the patients that MASKTOKEN by the window.,The nurse took the medicine of the patients that,$SG,The nurse took the medicine of the patients that MASKTOKEN by the window.,0.006554109745439657,0.020217217710255593
7,English,Cuetos_Mitchell,ambi,pl,1,0,the medicines,of the patients,medicines,patients,The nurse took the medicines of the patients that MASKTOKEN by the window.,The nurse took the medicines of the patients that,$PL,The nurse took the medicines of the patients that MASKTOKEN by the window.,0.3445562427204105,0.5137684990399262
7,English,Cuetos_Mitchell,low,pl,1,0,the medicine,of the patients,medicine,patients,The nurse took the medicine of the patients that MASKTOKEN by the window.,The nurse took the medicine of the patients that,$PL,The nurse took the medicine of the patients that MASKTOKEN by the window.,0.33986036103538686,0.5643756155021992
7,English,Cuetos_Mitchell,high,pl,1,0,the medicines,of the patient,medicines,patient,The nurse took the medicines of the patient that MASKTOKEN by the window.,The nurse took the medicines of the patient that,$PL,The nurse took the medicines of the patient that MASKTOKEN by the window.,0.28948032365493,0.0962316769410538
8,English,Cuetos_Mitchell,ambi,sg,1,1,the sibling,of the farmer,sibling,farmer,Andrew was speaking with the sibling of the farmer who MASKTOKEN in Brazil.,Andrew was speaking with the sibling of the farmer who,$SG,Andrew was speaking with the sibling of the farmer who MASKTOKEN in Brazil.,0.2054623926543524,0.5353697024441458
8,English,Cuetos_Mitchell,low,sg,1,1,the siblings,of the farmer,siblings,farmer,Andrew was speaking with the siblings of the farmer who MASKTOKEN in Brazil.,Andrew was speaking with the siblings of the farmer who,$SG,Andrew was speaking with the siblings of the farmer who MASKTOKEN in Brazil.,0.19462509319870314,0.1920002723058779
8,English,Cuetos_Mitchell,high,sg,1,1,the sibling,of the farmers,sibling,farmers,Andrew was speaking with the sibling of the farmers who MASKTOKEN in Brazil.,Andrew was speaking with the sibling of the farmers who,$SG,Andrew was speaking with the sibling of the farmers who MASKTOKEN in Brazil.,0.003192534293560166,0.04587334926393701
8,English,Cuetos_Mitchell,ambi,pl,1,1,the siblings,of the farmers,siblings,farmers,Andrew was speaking with the siblings of the farmers who MASKTOKEN in Brazil.,Andrew was speaking with the siblings of the farmers who,$PL,Andrew was speaking with the siblings of the farmers who MASKTOKEN in Brazil.,0.15142096835657642,0.1567604917941565
8,English,Cuetos_Mitchell,low,pl,1,1,the sibling,of the farmers,sibling,farmers,Andrew was speaking with the sibling of the farmers who MASKTOKEN in Brazil.,Andrew was speaking with the sibling of the farmers who,$PL,Andrew was speaking with the sibling of the farmers who MASKTOKEN in Brazil.,0.1837877271846026,0.27471950660556843
8,English,Cuetos_Mitchell,high,pl,1,1,the siblings,of the farmer,siblings,farmer,Andrew was speaking with the siblings of the farmer who MASKTOKEN in Brazil.,Andrew was speaking with the siblings of the farmer who,$PL,Andrew was speaking with the siblings of the farmer who MASKTOKEN in Brazil.,0.004623874459557059,0.009747698334910015
9,English,Cuetos_Mitchell,ambi,sg,0,0,the shoe,of the guest,shoe,guest,The servant contemplated the shoe of the guest that MASKTOKEN close to the fireplace.,The servant contemplated the shoe of the guest that,$SG,The servant contemplated the shoe of the guest that MASKTOKEN close to the fireplace.,0.055486057829958885,0.5494993405287047
9,English,Cuetos_Mitchell,low,sg,0,0,the shoes,of the guest,shoes,guest,The servant contemplated the shoes of the guest that MASKTOKEN close to the fireplace.,The servant contemplated the shoes of the guest that,$SG,The servant contemplated the shoes of the guest that MASKTOKEN close to the fireplace.,0.027596955557027965,0.06554378951342348
9,English,Cuetos_Mitchell,high,sg,0,0,the shoe,of the guests,shoe,guests,The servant contemplated the shoe of the guests that MASKTOKEN close to the fireplace.,The servant contemplated the shoe of the guests that,$SG,The servant contemplated the shoe of the guests that MASKTOKEN close to the fireplace.,0.00242487705477383,0.08784263430882312
9,English,Cuetos_Mitchell,ambi,pl,0,0,the shoes,of the guests,shoes,guests,The servant contemplated the shoes of the guests that MASKTOKEN close to the fireplace.,The servant contemplated the shoes of the guests that,$PL,The servant contemplated the shoes of the guests that MASKTOKEN close to the fireplace.,0.06518229347497392,0.5379190171108434
9,English,Cuetos_Mitchell,low,pl,0,0,the shoe,of the guests,shoe,guests,The servant contemplated the shoe of the guests that MASKTOKEN close to the fireplace.,The servant contemplated the shoe of the guests that,$PL,The servant contemplated the shoe of the guests that MASKTOKEN close to the fireplace.,0.05461593000265349,0.48911124868187056
9,English,Cuetos_Mitchell,high,pl,0,0,the shoes,of the guest,shoes,guest,The servant contemplated the shoes of the guest that MASKTOKEN close to the fireplace.,The servant contemplated the shoes of the guest that,$PL,The servant contemplated the shoes of the guest that MASKTOKEN close to the fireplace.,0.03474887868300521,0.6092852838341885
10,English,Cuetos_Mitchell,ambi,sg,0,1,the girlfriend,of the town leader,girlfriend,leader,Yesterday I met with the girlfriend of the town leader who MASKTOKEN in Australia.,Yesterday I met with the girlfriend of the town leader who,$SG,Yesterday I met with the girlfriend of the town leader who MASKTOKEN in Australia.,0.9359011426485847,0.95717912782088
10,English,Cuetos_Mitchell,low,sg,0,1,the girlfriends,of the town leader,girlfriends,leader,Yesterday I met with the girlfriends of the town leader who MASKTOKEN in Australia.,Yesterday I met with the girlfriends of the town leader who,$SG,Yesterday I met with the girlfriends of the town leader who MASKTOKEN in Australia.,0.8859369738583066,0.4946839781888786
10,English,Cuetos_Mitchell,high,sg,0,1,the girlfriend,of the town leaders,girlfriend,leaders,Yesterday I met with the girlfriend of the town leaders who MASKTOKEN in Australia.,Yesterday I met with the girlfriend of the town leaders who,$SG,Yesterday I met with the girlfriend of the town leaders who MASKTOKEN in Australia.,0.03634329013689355,0.8412486617175875
