item,lang,expType,exp,contrast,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,model,prob,expCat,N2PropSource,N2Prop
5,English,B3,possessive,noAdj,ambi,sg,0,0,the library,of the elementary school,library,school,The governor bought some books for the library of the elementary school that MASKTOKEN built downtown.,The governor bought some books for the library of the elementary school that,$SG,The governor bought some books for the library of the elementary school that MASKTOKEN built downtown.,wikitext-103_LSTM_400_3-d0.2.pt,0.2184317248726308,B,human,0.44
6,English,B3,possessive,noAdj,ambi,sg,1,0,the representative,of the club,representative,club,The local newspaper columnist wrote about the representative of the club that MASKTOKEN found so ridiculous.,The local newspaper columnist wrote about the representative of the club that,$SG,The local newspaper columnist wrote about the representative of the club that MASKTOKEN found so ridiculous.,wikitext-103_LSTM_400_3-d0.2.pt,0.0344485716209896,B,human,0.25
1,English,B4,inherentposs,noAdj,ambi,sg,0,0,the side window,of the plane,window,plane,The pilot was looking at the airport through the side window of the plane that MASKTOKEN fixed.,The pilot was looking at the airport through the side window of the plane that,$SG,The pilot was looking at the airport through the side window of the plane that MASKTOKEN fixed.,wikitext-103_LSTM_400_3-d0.2.pt,0.2702524520763301,B,human,0.81
2,English,B4,inherentposs,noAdj,ambi,sg,0,0,the branch,of the tree,branch,tree,Birds won’t be able to nest in the branch of the tree that MASKTOKEN cut last year.,Birds won’t be able to nest in the branch of the tree that,$SG,Birds won’t be able to nest in the branch of the tree that MASKTOKEN cut last year.,wikitext-103_LSTM_400_3-d0.2.pt,0.2240432982805149,B,human,0.5
3,English,B4,inherentposs,noAdj,ambi,sg,0,0,the door,of the house,door,house,The car stopped in front of the door of the house that MASKTOKEN damaged.,The car stopped in front of the door of the house that,$SG,The car stopped in front of the door of the house that MASKTOKEN damaged.,wikitext-103_LSTM_400_3-d0.2.pt,0.2311929271628718,B,human,0.58
4,English,B4,inherentposs,noAdj,ambi,sg,1,0,the valve,of the sink,valve,sink,The plumber suggested to us to change the valve of the sink that MASKTOKEN installed last year.,The plumber suggested to us to change the valve of the sink that,$SG,The plumber suggested to us to change the valve of the sink that MASKTOKEN installed last year.,wikitext-103_LSTM_400_3-d0.2.pt,0.1893878553140542,B,human,0.68
5,English,B4,inherentposs,noAdj,ambi,sg,1,0,the chapter,of the book,chapter,book,I really liked the chapter of the book MASKTOKEN read yesterday.,I really liked the chapter of the book,$SG,I really liked the chapter of the book MASKTOKEN read yesterday.,wikitext-103_LSTM_400_3-d0.2.pt,0.009792411998303,B,human,0.63
6,English,B4,inherentposs,noAdj,ambi,sg,0,0,the cover,of the pot,cover,pot,Silvia didn’t find the cover of the pot that MASKTOKEN just cleaned.,Silvia didn’t find the cover of the pot that,$SG,Silvia didn’t find the cover of the pot that MASKTOKEN just cleaned.,wikitext-103_LSTM_400_3-d0.2.pt,0.2497630999599129,B,human,0.82
7,English,B4,inherentposs,noAdj,ambi,sg,1,0,the bar,of the bicycle,bar,bicycle,We have to paint the bar of the bicycle that MASKTOKEN fixed yesterday.,We have to paint the bar of the bicycle that,$SG,We have to paint the bar of the bicycle that MASKTOKEN fixed yesterday.,wikitext-103_LSTM_400_3-d0.2.pt,0.3182467434088725,B,human,0.7
8,English,B4,inherentposs,noAdj,ambi,sg,0,0,the label,of the bottle,label,bottle,In the meeting they showed us the label of the bottle that MASKTOKEN designed by the artist.,In the meeting they showed us the label of the bottle that,$SG,In the meeting they showed us the label of the bottle that MASKTOKEN designed by the artist.,wikitext-103_LSTM_400_3-d0.2.pt,0.1873386409734081,B,human,0.25
9,English,B4,inherentposs,noAdj,ambi,sg,0,0,the engine,of the boat,engine,boat,The insurance inspector photographed the engine of the boat that MASKTOKEN covered with water.,The insurance inspector photographed the engine of the boat that,$SG,The insurance inspector photographed the engine of the boat that MASKTOKEN covered with water.,wikitext-103_LSTM_400_3-d0.2.pt,0.2475952855813314,B,human,0.58
1,English,B5,rep,noAdj,ambi,sg,1,0,the sketch,of the sculpture,sketch,sculpture,I was surprised by the sketch of the sculpture that MASKTOKEN in the town hall.,I was surprised by the sketch of the sculpture that,$SG,I was surprised by the sketch of the sculpture that MASKTOKEN in the town hall.,wikitext-103_LSTM_400_3-d0.2.pt,0.1057630123774924,B,human,0.65
2,English,B5,rep,noAdj,ambi,sg,1,0,the sketch,of the house,sketch,house,The designer agreed to show us the sketch of the house that MASKTOKEN finished before the end of the summer.,The designer agreed to show us the sketch of the house that,$SG,The designer agreed to show us the sketch of the house that MASKTOKEN finished before the end of the summer.,wikitext-103_LSTM_400_3-d0.2.pt,0.1653942400964858,B,human,0.66
3,English,B5,rep,noAdj,ambi,sg,0,0,the drawing,of the building,drawing,building,The architect exhibited the drawing of the building that MASKTOKEN commissioned.,The architect exhibited the drawing of the building that,$SG,The architect exhibited the drawing of the building that MASKTOKEN commissioned.,wikitext-103_LSTM_400_3-d0.2.pt,0.3269702836580297,B,human,0.61
4,English,B5,rep,noAdj,ambi,sg,0,0,the portrait,of the woman,portrait,woman,Charles liked the portrait of the woman that MASKTOKEN at your house.,Charles liked the portrait of the woman that,$SG,Charles liked the portrait of the woman that MASKTOKEN at your house.,wikitext-103_LSTM_400_3-d0.2.pt,0.2105783198615469,B,human,0.12
5,English,B5,rep,noAdj,ambi,sg,0,0,the photograph,of the boy,photograph,boy,All the newspapers published the photograph of the boy that MASKTOKEN liked so much.,All the newspapers published the photograph of the boy that,$SG,All the newspapers published the photograph of the boy that MASKTOKEN liked so much.,wikitext-103_LSTM_400_3-d0.2.pt,0.235511656881669,B,human,0.87
6,English,B5,rep,noAdj,ambi,sg,0,0,the painting,of the cave,painting,cave,Sara did the painting of the cave that MASKTOKEN so gloomy.,Sara did the painting of the cave that,$SG,Sara did the painting of the cave that MASKTOKEN so gloomy.,wikitext-103_LSTM_400_3-d0.2.pt,0.2897712834979336,B,human,0.36
7,English,B5,rep,noAdj,ambi,sg,0,0,the picture,of the house,picture,house,The collector lost the picture of the house that MASKTOKEN so dark.,The collector lost the picture of the house that,$SG,The collector lost the picture of the house that MASKTOKEN so dark.,wikitext-103_LSTM_400_3-d0.2.pt,0.1611129393331243,B,human,0.62
8,English,B5,rep,noAdj,ambi,sg,0,0,the painting,of the beach,painting,beach,Suzanne sold the painting of the beach that MASKTOKEN liked by her friends,Suzanne sold the painting of the beach that,$SG,Suzanne sold the painting of the beach that MASKTOKEN liked by her friends,wikitext-103_LSTM_400_3-d0.2.pt,0.2568058419565826,B,human,0.15
9,English,B5,rep,noAdj,ambi,sg,1,0,the print,of the park,print,park,The critics judged very harshly the print of the park that MASKTOKEN attracting the most visitors.,The critics judged very harshly the print of the park that,$SG,The critics judged very harshly the print of the park that MASKTOKEN attracting the most visitors.,wikitext-103_LSTM_400_3-d0.2.pt,0.1280512594348959,B,human,0.45
1,English,B’,inanimposs,noAdj,ambi,sg,0,0,the book,of the student,book,student,The professor read the book of the student that MASKTOKEN in the dining-room.,The professor read the book of the student that,$SG,The professor read the book of the student that MASKTOKEN in the dining-room.,wikitext-103_LSTM_400_3-d0.2.pt,0.2540096680848771,B,human,0.43
2,English,B’,inanimposs,noAdj,ambi,sg,1,0,the case,of the traveler,case,traveler,The inspector observed the case of the traveler that MASKTOKEN in the station.,The inspector observed the case of the traveler that,$SG,The inspector observed the case of the traveler that MASKTOKEN in the station.,wikitext-103_LSTM_400_3-d0.2.pt,0.0600592277896301,B,human,0.55
3,English,B’,inanimposs,noAdj,ambi,sg,0,0,the car,of the driver,car,driver,The mechanics were modifying the car of the driver that MASKTOKEN in the race.,The mechanics were modifying the car of the driver that,$SG,The mechanics were modifying the car of the driver that MASKTOKEN in the race.,wikitext-103_LSTM_400_3-d0.2.pt,0.1955375950516735,B,human,0.48
4,English,B’,inanimposs,noAdj,ambi,sg,0,0,the dress,of the girl,dress,girl,The dressmaker was sewing the dress of the girl that MASKTOKEN on the floor.,The dressmaker was sewing the dress of the girl that,$SG,The dressmaker was sewing the dress of the girl that MASKTOKEN on the floor.,wikitext-103_LSTM_400_3-d0.2.pt,0.221721873871155,B,human,0.5
5,English,B’,inanimposs,noAdj,ambi,sg,0,0,the car,of the neighbor,car,neighbor,We borrowed the car of the neighbor that MASKTOKEN nearby.,We borrowed the car of the neighbor that,$SG,We borrowed the car of the neighbor that MASKTOKEN nearby.,wikitext-103_LSTM_400_3-d0.2.pt,0.1959699835844333,B,human,0.55
6,English,B’,inanimposs,noAdj,ambi,sg,0,0,the computer,of the secretary,computer,secretary,I had to borrow the computer of the secretary that MASKTOKEN in the office close to mine.,I had to borrow the computer of the secretary that,$SG,I had to borrow the computer of the secretary that MASKTOKEN in the office close to mine.,wikitext-103_LSTM_400_3-d0.2.pt,0.1340901381669468,B,human,0.55
1,English,C,with,def,ambi,sg,1,1,the sandwich,with the side,sandwich,side,The count ordered the sandwich with the side that MASKTOKEN prepared especially well.,The count ordered the sandwich with the side that,$SG,The count ordered the sandwich with the side that MASKTOKEN prepared especially well.,wikitext-103_LSTM_400_3-d0.2.pt,0.2793561536860274,C,human,0.74
2,English,C,with,def,ambi,sg,1,1,the book,with the label,book,label,Laura lost the book with the label that MASKTOKEN given to her.,Laura lost the book with the label that,$SG,Laura lost the book with the label that MASKTOKEN given to her.,wikitext-103_LSTM_400_3-d0.2.pt,0.20657779995582,C,human,0.85
3,English,C,with,def,ambi,sg,1,1,the hat,with the dress,hat,dress,Marta was wearing the hat with the dress that MASKTOKEN worn in summer.,Marta was wearing the hat with the dress that,$SG,Marta was wearing the hat with the dress that MASKTOKEN worn in summer.,wikitext-103_LSTM_400_3-d0.2.pt,0.2893187624437423,C,human,0.56
4,English,C,with,def,ambi,sg,0,0,the computer,with the screen,computer,screen,It was agreed to move the computer with the screen that MASKTOKEN brought recently to another building.,It was agreed to move the computer with the screen that,$SG,It was agreed to move the computer with the screen that MASKTOKEN brought recently to another building.,wikitext-103_LSTM_400_3-d0.2.pt,0.2171205841088017,C,human,0.42
5,English,C,with,def,ambi,sg,0,1,the radio,with the speaker,radio,speaker,I wanted to take the radio with the speaker that MASKTOKEN bought for a very low price.,I wanted to take the radio with the speaker that,$SG,I wanted to take the radio with the speaker that MASKTOKEN bought for a very low price.,wikitext-103_LSTM_400_3-d0.2.pt,0.1848820320755702,C,human,0.38
6,English,C,with,def,ambi,sg,0,0,the box,with the cover,box,cover,On the shelf I keep the box with the cover that MASKTOKEN varnished. ,On the shelf I keep the box with the cover that,$SG,On the shelf I keep the box with the cover that MASKTOKEN varnished. ,wikitext-103_LSTM_400_3-d0.2.pt,0.4411150996260771,C,human,0.59
7,English,C,with,def,ambi,sg,0,1,the ship,with the pole,ship,pole,The captain authorized the departure of the ship with the pole that MASKTOKEN repaired.,The captain authorized the departure of the ship with the pole that,$SG,The captain authorized the departure of the ship with the pole that MASKTOKEN repaired.,wikitext-103_LSTM_400_3-d0.2.pt,0.2280853882210176,C,human,0.95
8,English,C,with,def,ambi,sg,1,1,the plate,with the candle,plate,candle,Yesterday I dropped the plate with the candle that MASKTOKEN made in Barcelona.,Yesterday I dropped the plate with the candle that,$SG,Yesterday I dropped the plate with the candle that MASKTOKEN made in Barcelona.,wikitext-103_LSTM_400_3-d0.2.pt,0.2729154044854152,C,human,0.82
9,English,C,with,def,ambi,sg,0,0,the house,with the pool,house,pool,The millionaire was shown the house with the pool that MASKTOKEN as big as half a football field.,The millionaire was shown the house with the pool that,$SG,The millionaire was shown the house with the pool that MASKTOKEN as big as half a football field.,wikitext-103_LSTM_400_3-d0.2.pt,0.2755622847950345,C,human,0.91
1,English,A1,substance,def,ambi,sg,0,0,the table,of wood,table,wood,In the garage we keep the table of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of wood that,$SG,In the garage we keep the table of wood that MASKTOKEN carved this Christmas holiday.,wikitext-103_LSTM_400_4-d0.2.pt,0.2610459282962987,A,human,0.39
2,English,A1,substance,def,ambi,sg,0,1,the lamp,of material,lamp,material,To my sister they gave the lamp of material that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamp of material that,$SG,To my sister they gave the lamp of material that MASKTOKEN polished until it looked like marble.,wikitext-103_LSTM_400_4-d0.2.pt,0.2342816307382005,A,human,0.13
3,English,A1,substance,def,ambi,sg,1,1,the shirt,of fabric,shirt,fabric,Yesterday they gave me the shirt of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me the shirt of fabric that,$SG,Yesterday they gave me the shirt of fabric that MASKTOKEN illegally imported. ,wikitext-103_LSTM_400_4-d0.2.pt,0.3016413431282485,A,human,0.3
4,English,A1,substance,def,ambi,sg,1,0,the blanket,of material,blanket,material,In the end Tomas brought the blanket of material that MASKTOKEN very expensive.,In the end Tomas brought the blanket of material that,$SG,In the end Tomas brought the blanket of material that MASKTOKEN very expensive.,wikitext-103_LSTM_400_4-d0.2.pt,0.1668324458158689,A,human,0.21
5,English,A1,substance,def,ambi,sg,0,1,the belt,of hide,belt,hide,Maria made the belt of hide that MASKTOKEN liked a lot.,Maria made the belt of hide that,$SG,Maria made the belt of hide that MASKTOKEN liked a lot.,wikitext-103_LSTM_400_4-d0.2.pt,0.2023910413957423,A,human,0.12
6,English,A1,substance,def,ambi,sg,0,1,the bell,of medal,bell,medal,Finally they placed the bell of medal that MASKTOKEN brought from the foundry.,Finally they placed the bell of medal that,$SG,Finally they placed the bell of medal that MASKTOKEN brought from the foundry.,wikitext-103_LSTM_400_4-d0.2.pt,0.2472423345879484,A,human,0.09
7,English,A1,substance,def,ambi,sg,0,1,the cake,of grain,cake,grain,Yesterday we ate the cake of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cake of grain that,$SG,Yesterday we ate the cake of grain that MASKTOKEN sold in the oriental shop.,wikitext-103_LSTM_400_4-d0.2.pt,0.2623371532309928,A,human,0.29
8,English,A1,substance,def,ambi,sg,1,1,the dress,of thread,dress,thread,The young actress admired the dress of thread that MASKTOKEN so beautiful.,The young actress admired the dress of thread that,$SG,The young actress admired the dress of thread that MASKTOKEN so beautiful.,wikitext-103_LSTM_400_4-d0.2.pt,0.2173692428825244,A,human,0.12
1,English,A2,quantity,noAdj,ambi,sg,0,0,the glass,of water,glass,water,John asked for the glass of water that MASKTOKEN on the table.,John asked for the glass of water that,$SG,John asked for the glass of water that MASKTOKEN on the table.,wikitext-103_LSTM_400_4-d0.2.pt,0.1089074361219069,A,human,0.16
2,English,A2,quantity,noAdj,ambi,sg,0,1,the bottle,of spirit,bottle,spirit,Mary liked the bottle of spirit that MASKTOKEN in the wine cellar.,Mary liked the bottle of spirit that,$SG,Mary liked the bottle of spirit that MASKTOKEN in the wine cellar.,wikitext-103_LSTM_400_4-d0.2.pt,0.2032344343982792,A,human,0.54
4,English,A2,quantity,noAdj,ambi,sg,0,0,the sack,of sand,sack,sand,Andres picked up the sack of sand that MASKTOKEN brought from the construction site.,Andres picked up the sack of sand that,$SG,Andres picked up the sack of sand that MASKTOKEN brought from the construction site.,wikitext-103_LSTM_400_4-d0.2.pt,0.2299426651154892,A,human,0.56
5,English,A2,quantity,noAdj,ambi,sg,0,1,the package,of food,package,food,The clerk brought us the package of food that MASKTOKEN on the counter.,The clerk brought us the package of food that,$SG,The clerk brought us the package of food that MASKTOKEN on the counter.,wikitext-103_LSTM_400_4-d0.2.pt,0.2150551549732782,A,human,0.28
7,English,A2,quantity,noAdj,ambi,sg,0,1,the basket,of fruit,basket,fruit,In the dining-room you will find the basket of fruit that MASKTOKEN on the table.,In the dining-room you will find the basket of fruit that,$SG,In the dining-room you will find the basket of fruit that MASKTOKEN on the table.,wikitext-103_LSTM_400_4-d0.2.pt,0.3605311975700624,A,human,0.7
8,English,A2,quantity,noAdj,ambi,sg,0,1,the can,of oil,can,oil,Julia picked up the can of oil that MASKTOKEN oily.,Julia picked up the can of oil that,$SG,Julia picked up the can of oil that MASKTOKEN oily.,wikitext-103_LSTM_400_4-d0.2.pt,0.1999641802551668,A,human,0.34
9,English,A2,quantity,noAdj,ambi,sg,0,1,the jar,of preserve,jar,preserve,My mother didn’t see the jar of preserve that MASKTOKEN crawling with ants.,My mother didn’t see the jar of preserve that,$SG,My mother didn’t see the jar of preserve that MASKTOKEN crawling with ants.,wikitext-103_LSTM_400_4-d0.2.pt,0.3324820692700143,A,human,0.38
1,English,B1,kinship,def,ambi,sg,0,0,the relative,of the boy,relative,boy,The teacher was talking with the relative of the boy who MASKTOKEN in the hospital.,The teacher was talking with the relative of the boy who,$SG,The teacher was talking with the relative of the boy who MASKTOKEN in the hospital.,wikitext-103_LSTM_400_4-d0.2.pt,0.2599711162023848,B,human,0.89
2,English,B1,kinship,def,ambi,sg,0,1,the daughter,of the captain,daughter,captain,The journalist had interviewed the daughter of the captain who MASKTOKEN in an accident.,The journalist had interviewed the daughter of the captain who,$SG,The journalist had interviewed the daughter of the captain who MASKTOKEN in an accident.,wikitext-103_LSTM_400_4-d0.2.pt,0.2227414385460577,B,human,0.7
3,English,B1,kinship,def,ambi,sg,1,0,the relative,of the servant,relative,servant,Andres had dinner with the relative of the servant who MASKTOKEN happy last summer.,Andres had dinner with the relative of the servant who,$SG,Andres had dinner with the relative of the servant who MASKTOKEN happy last summer.,wikitext-103_LSTM_400_4-d0.2.pt,0.1883312654540261,B,human,0.53
4,English,B1,kinship,def,ambi,sg,1,0,the mother,of the mechanic,mother,mechanic,This morning I met the mother of the mechanic who MASKTOKEN in the building where I live.,This morning I met the mother of the mechanic who,$SG,This morning I met the mother of the mechanic who MASKTOKEN in the building where I live.,wikitext-103_LSTM_400_4-d0.2.pt,0.3003165338334552,B,human,0.7
5,English,B1,kinship,def,ambi,sg,0,0,the cousin,of the artist,cousin,artist,The police arrested the cousin of the artist who MASKTOKEN in Marbella.,The police arrested the cousin of the artist who,$SG,The police arrested the cousin of the artist who MASKTOKEN in Marbella.,wikitext-103_LSTM_400_4-d0.2.pt,0.2490410376756753,B,human,0.49
6,English,B1,kinship,def,ambi,sg,0,0,the sister,of the nurse,sister,nurse,The doorman was talking to the sister of the nurse who MASKTOKEN my mother’s friend.,The doorman was talking to the sister of the nurse who,$SG,The doorman was talking to the sister of the nurse who MASKTOKEN my mother’s friend.,wikitext-103_LSTM_400_4-d0.2.pt,0.2614731397974759,B,human,0.72
7,English,B1,kinship,def,ambi,sg,1,0,the brother,of the director,brother,director,Everybody in the office felt sorry about the death of the brother of the director who MASKTOKEN in the corporation.,Everybody in the office felt sorry about the death of the brother of the director who,$SG,Everybody in the office felt sorry about the death of the brother of the director who MASKTOKEN in the corporation.,wikitext-103_LSTM_400_4-d0.2.pt,0.2115549654156103,B,human,0.65
8,English,B1,kinship,def,ambi,sg,1,0,the friend,of the exchange student,friend,student,All of our friends liked the friend of the exchange student who MASKTOKEN visiting us.,All of our friends liked the friend of the exchange student who,$SG,All of our friends liked the friend of the exchange student who MASKTOKEN visiting us.,wikitext-103_LSTM_400_4-d0.2.pt,0.1925609579020775,B,human,0.71
9,English,B1,kinship,def,ambi,sg,1,1,the mother,of the au pair,mother,pair,We were worried about the mother of the au pair who MASKTOKEN ill.,We were worried about the mother of the au pair who,$SG,We were worried about the mother of the au pair who MASKTOKEN ill.,wikitext-103_LSTM_400_4-d0.2.pt,0.0708008052236939,B,human,0.2
1,English,B2,functional,def,ambi,sg,0,0,the assistant,of the inspector,assistant,inspector,The explosion deafened the assistant of the inspector who MASKTOKEN near the warehouse.,The explosion deafened the assistant of the inspector who,$SG,The explosion deafened the assistant of the inspector who MASKTOKEN near the warehouse.,wikitext-103_LSTM_400_4-d0.2.pt,0.267604087740275,B,human,0.26
2,English,B2,functional,def,ambi,sg,1,0,the driver,of the actor,driver,actor,The police arrested the driver of the actor who MASKTOKEN accused of dealing drugs.,The police arrested the driver of the actor who,$SG,The police arrested the driver of the actor who MASKTOKEN accused of dealing drugs.,wikitext-103_LSTM_400_4-d0.2.pt,0.2325172848290934,B,human,0.44
3,English,B2,functional,def,ambi,sg,0,0,the secretary,of the manager,secretary,manager,Next month they will assign to the foreigner the secretary of the manager who MASKTOKEN long hours in the office.,Next month they will assign to the foreigner the secretary of the manager who,$SG,Next month they will assign to the foreigner the secretary of the manager who MASKTOKEN long hours in the office.,wikitext-103_LSTM_400_4-d0.2.pt,0.2365574662626806,B,human,0.36
4,English,B2,functional,def,ambi,sg,0,0,the nurse,of the surgeon,nurse,surgeon,Most of the patients like the nurse of the surgeon who MASKTOKEN in the hospital.,Most of the patients like the nurse of the surgeon who,$SG,Most of the patients like the nurse of the surgeon who MASKTOKEN in the hospital.,wikitext-103_LSTM_400_4-d0.2.pt,0.0802670425732574,B,human,0.45
5,English,B2,functional,def,ambi,sg,1,1,the pupil,of the dress maker,pupil,maker,I was talking to the pupil of the dress maker who MASKTOKEN in Paris for a while.,I was talking to the pupil of the dress maker who,$SG,I was talking to the pupil of the dress maker who MASKTOKEN in Paris for a while.,wikitext-103_LSTM_400_4-d0.2.pt,0.2270874621047953,B,human,0.4
6,English,B2,functional,def,ambi,sg,0,0,the advisor,of the assistant district attorney,advisor,attorney,Tomorrow I have a date with the advisor of the assistant district attorney that MASKTOKEN at Mary’s party.,Tomorrow I have a date with the advisor of the assistant district attorney that,$SG,Tomorrow I have a date with the advisor of the assistant district attorney that MASKTOKEN at Mary’s party.,wikitext-103_LSTM_400_4-d0.2.pt,0.2595034260936728,B,human,0.28
7,English,B2,functional,def,ambi,sg,1,1,the doctor,of the performer,doctor,performer,I was told that the doctor of the performer who MASKTOKEN on tv yesterday had been fired.,I was told that the doctor of the performer who,$SG,I was told that the doctor of the performer who MASKTOKEN on tv yesterday had been fired.,wikitext-103_LSTM_400_4-d0.2.pt,0.2080606211624687,B,human,0.4
8,English,B2,functional,def,ambi,sg,0,0,the consultant,of the director,consultant,director,Yesterday I saw the consultant of the director who MASKTOKEN upset because of the pitiful response to the latest sales promotion.,Yesterday I saw the consultant of the director who,$SG,Yesterday I saw the consultant of the director who MASKTOKEN upset because of the pitiful response to the latest sales promotion.,wikitext-103_LSTM_400_4-d0.2.pt,0.1753012277185925,B,human,0.39
9,English,B2,functional,def,ambi,sg,1,0,the employee,of the ambassador,employee,ambassador,During the meeting the chief of protocol tried to talk to the employee of the ambassador who MASKTOKEN at the party.,During the meeting the chief of protocol tried to talk to the employee of the ambassador who,$SG,During the meeting the chief of protocol tried to talk to the employee of the ambassador who MASKTOKEN at the party.,wikitext-103_LSTM_400_4-d0.2.pt,0.1552527845361164,B,human,0.37
1,English,B3,possessive,noAdj,ambi,sg,0,0,the museum,of the city,museum,city,The tourists admired the museum of the city that MASKTOKEN beautiful.,The tourists admired the museum of the city that,$SG,The tourists admired the museum of the city that MASKTOKEN beautiful.,wikitext-103_LSTM_400_4-d0.2.pt,0.1401011819031126,B,human,0.62
2,English,B3,possessive,noAdj,ambi,sg,0,0,the car,of the company,car,company,John smashed the car of the company that MASKTOKEN hated so much.,John smashed the car of the company that,$SG,John smashed the car of the company that MASKTOKEN hated so much.,wikitext-103_LSTM_400_4-d0.2.pt,0.2165907424595339,B,human,0.51
3,English,B3,possessive,noAdj,ambi,sg,0,0,the machine,of the company,machine,company,Several men moved the machine of the company that MASKTOKEN on fire.,Several men moved the machine of the company that,$SG,Several men moved the machine of the company that MASKTOKEN on fire.,wikitext-103_LSTM_400_4-d0.2.pt,0.106692558391586,B,human,0.6
4,English,B3,possessive,noAdj,ambi,sg,0,0,the stock,of the investment club,stock,club,The brokers sold the stock of the investment club that MASKTOKEN losing money.,The brokers sold the stock of the investment club that,$SG,The brokers sold the stock of the investment club that MASKTOKEN losing money.,wikitext-103_LSTM_400_4-d0.2.pt,0.1883483844258409,B,human,0.59
5,English,B3,possessive,noAdj,ambi,sg,0,0,the library,of the elementary school,library,school,The governor bought some books for the library of the elementary school that MASKTOKEN built downtown.,The governor bought some books for the library of the elementary school that,$SG,The governor bought some books for the library of the elementary school that MASKTOKEN built downtown.,wikitext-103_LSTM_400_4-d0.2.pt,0.1529621888441266,B,human,0.44
6,English,B3,possessive,noAdj,ambi,sg,1,0,the representative,of the club,representative,club,The local newspaper columnist wrote about the representative of the club that MASKTOKEN found so ridiculous.,The local newspaper columnist wrote about the representative of the club that,$SG,The local newspaper columnist wrote about the representative of the club that MASKTOKEN found so ridiculous.,wikitext-103_LSTM_400_4-d0.2.pt,0.0271113354838155,B,human,0.25
1,English,B4,inherentposs,noAdj,ambi,sg,0,0,the side window,of the plane,window,plane,The pilot was looking at the airport through the side window of the plane that MASKTOKEN fixed.,The pilot was looking at the airport through the side window of the plane that,$SG,The pilot was looking at the airport through the side window of the plane that MASKTOKEN fixed.,wikitext-103_LSTM_400_4-d0.2.pt,0.275876959487187,B,human,0.81
2,English,B4,inherentposs,noAdj,ambi,sg,0,0,the branch,of the tree,branch,tree,Birds won’t be able to nest in the branch of the tree that MASKTOKEN cut last year.,Birds won’t be able to nest in the branch of the tree that,$SG,Birds won’t be able to nest in the branch of the tree that MASKTOKEN cut last year.,wikitext-103_LSTM_400_4-d0.2.pt,0.1763315044681586,B,human,0.5
3,English,B4,inherentposs,noAdj,ambi,sg,0,0,the door,of the house,door,house,The car stopped in front of the door of the house that MASKTOKEN damaged.,The car stopped in front of the door of the house that,$SG,The car stopped in front of the door of the house that MASKTOKEN damaged.,wikitext-103_LSTM_400_4-d0.2.pt,0.2417336506984613,B,human,0.58
4,English,B4,inherentposs,noAdj,ambi,sg,1,0,the valve,of the sink,valve,sink,The plumber suggested to us to change the valve of the sink that MASKTOKEN installed last year.,The plumber suggested to us to change the valve of the sink that,$SG,The plumber suggested to us to change the valve of the sink that MASKTOKEN installed last year.,wikitext-103_LSTM_400_4-d0.2.pt,0.1588835842701481,B,human,0.68
5,English,B4,inherentposs,noAdj,ambi,sg,1,0,the chapter,of the book,chapter,book,I really liked the chapter of the book MASKTOKEN read yesterday.,I really liked the chapter of the book,$SG,I really liked the chapter of the book MASKTOKEN read yesterday.,wikitext-103_LSTM_400_4-d0.2.pt,0.0041388505376991,B,human,0.63
6,English,B4,inherentposs,noAdj,ambi,sg,0,0,the cover,of the pot,cover,pot,Silvia didn’t find the cover of the pot that MASKTOKEN just cleaned.,Silvia didn’t find the cover of the pot that,$SG,Silvia didn’t find the cover of the pot that MASKTOKEN just cleaned.,wikitext-103_LSTM_400_4-d0.2.pt,0.2234774596476132,B,human,0.82
7,English,B4,inherentposs,noAdj,ambi,sg,1,0,the bar,of the bicycle,bar,bicycle,We have to paint the bar of the bicycle that MASKTOKEN fixed yesterday.,We have to paint the bar of the bicycle that,$SG,We have to paint the bar of the bicycle that MASKTOKEN fixed yesterday.,wikitext-103_LSTM_400_4-d0.2.pt,0.2479185621720452,B,human,0.7
8,English,B4,inherentposs,noAdj,ambi,sg,0,0,the label,of the bottle,label,bottle,In the meeting they showed us the label of the bottle that MASKTOKEN designed by the artist.,In the meeting they showed us the label of the bottle that,$SG,In the meeting they showed us the label of the bottle that MASKTOKEN designed by the artist.,wikitext-103_LSTM_400_4-d0.2.pt,0.1629511292924128,B,human,0.25
9,English,B4,inherentposs,noAdj,ambi,sg,0,0,the engine,of the boat,engine,boat,The insurance inspector photographed the engine of the boat that MASKTOKEN covered with water.,The insurance inspector photographed the engine of the boat that,$SG,The insurance inspector photographed the engine of the boat that MASKTOKEN covered with water.,wikitext-103_LSTM_400_4-d0.2.pt,0.2834352792521759,B,human,0.58
1,English,B5,rep,noAdj,ambi,sg,1,0,the sketch,of the sculpture,sketch,sculpture,I was surprised by the sketch of the sculpture that MASKTOKEN in the town hall.,I was surprised by the sketch of the sculpture that,$SG,I was surprised by the sketch of the sculpture that MASKTOKEN in the town hall.,wikitext-103_LSTM_400_4-d0.2.pt,0.1908590002557133,B,human,0.65
