item,lang,exp,AttachType,gender,N1_changed,N2_changed,N1,N2,mask_sents,auto_sents,target,sent,model,prob
15,Spanish,5,high,m,0,0,del nieto,de la campesina,El turista hizo un dibujo del nieto de la campesina que estaba MASKTOKEN.,El turista hizo un dibujo del nieto de la campesina que estaba,$ES_Adj_m,El turista hizo un dibujo del nieto de la campesina que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0057092154361557
15,Spanish,5,low,f,0,0,del nieto,de la campesina,El turista hizo un dibujo del nieto de la campesina que estaba MASKTOKEN.,El turista hizo un dibujo del nieto de la campesina que estaba,$ES_Adj_f,El turista hizo un dibujo del nieto de la campesina que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0019095889580673
15,Spanish,5,high,f,0,0,de la nieta,del campesino,El turista hizo un dibujo de la nieta del campesino que estaba MASKTOKEN.,El turista hizo un dibujo de la nieta del campesino que estaba,$ES_Adj_f,El turista hizo un dibujo de la nieta del campesino que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0016079307959731
16,Spanish,5,low,m,0,0,la visitante,del paciente,La enfermera tropezó con la visitante del paciente que estaba MASKTOKEN.,La enfermera tropezó con la visitante del paciente que estaba,$ES_Adj_m,La enfermera tropezó con la visitante del paciente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0091095446695906
16,Spanish,5,high,m,0,0,el visitante,de la paciente,La enfermera tropezó con el visitante de la paciente que estaba MASKTOKEN.,La enfermera tropezó con el visitante de la paciente que estaba,$ES_Adj_m,La enfermera tropezó con el visitante de la paciente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.006463115919293
16,Spanish,5,low,f,0,0,el visitante,de la paciente,La enfermera tropezó con el visitante de la paciente que estaba MASKTOKEN.,La enfermera tropezó con el visitante de la paciente que estaba,$ES_Adj_f,La enfermera tropezó con el visitante de la paciente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0018812644132099
16,Spanish,5,high,f,0,0,la visitante,del paciente,La enfermera tropezó con la visitante del paciente que estaba MASKTOKEN.,La enfermera tropezó con la visitante del paciente que estaba,$ES_Adj_f,La enfermera tropezó con la visitante del paciente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0035733330742001
17,Spanish,5,low,m,0,1,a la hija,del inmigrante,El alguacil encerró a la hija del inmigrante que estaba MASKTOKEN pidiendo limosna.,El alguacil encerró a la hija del inmigrante que estaba,$ES_Adj_m,El alguacil encerró a la hija del inmigrante que estaba MASKTOKEN pidiendo limosna.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0144824779695935
17,Spanish,5,high,m,0,1,al hijo,de la inmigrante,El alguacil encerró al hijo de la inmigrante que estaba MASKTOKEN pidiendo limosna.,El alguacil encerró al hijo de la inmigrante que estaba,$ES_Adj_m,El alguacil encerró al hijo de la inmigrante que estaba MASKTOKEN pidiendo limosna.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0066865143290061
17,Spanish,5,low,f,0,1,al hijo,de la inmigrante,El alguacil encerró al hijo de la inmigrante que estaba MASKTOKEN pidiendo limosna.,El alguacil encerró al hijo de la inmigrante que estaba,$ES_Adj_f,El alguacil encerró al hijo de la inmigrante que estaba MASKTOKEN pidiendo limosna.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0017129978220657
17,Spanish,5,high,f,0,1,a la hija,del inmigrante,El alguacil encerró a la hija del inmigrante que estaba MASKTOKEN pidiendo limosna.,El alguacil encerró a la hija del inmigrante que estaba,$ES_Adj_f,El alguacil encerró a la hija del inmigrante que estaba MASKTOKEN pidiendo limosna.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0050678301640332
18,Spanish,5,low,m,0,1,a la hermana,del propietario,Los rumores acusaban a la hermana del propietario que estaba MASKTOKEN.,Los rumores acusaban a la hermana del propietario que estaba,$ES_Adj_m,Los rumores acusaban a la hermana del propietario que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0253613163268871
18,Spanish,5,high,m,0,1,al hermano,de la propietaria,Los rumores acusaban al hermano de la propietaria que estaba MASKTOKEN.,Los rumores acusaban al hermano de la propietaria que estaba,$ES_Adj_m,Los rumores acusaban al hermano de la propietaria que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0067175195329919
18,Spanish,5,low,f,0,1,al hermano,de la propietaria,Los rumores acusaban al hermano de la propietaria que estaba MASKTOKEN.,Los rumores acusaban al hermano de la propietaria que estaba,$ES_Adj_f,Los rumores acusaban al hermano de la propietaria que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0032355558532602
18,Spanish,5,high,f,0,1,a la hermana,del propietario,Los rumores acusaban a la hermana del propietario que estaba MASKTOKEN.,Los rumores acusaban a la hermana del propietario que estaba,$ES_Adj_f,Los rumores acusaban a la hermana del propietario que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0099436202541072
19,Spanish,5,low,m,0,0,a la amiga,del estudiante,El detective hizo una foto a la amiga del estudiante que estaba MASKTOKEN.,El detective hizo una foto a la amiga del estudiante que estaba,$ES_Adj_m,El detective hizo una foto a la amiga del estudiante que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0188466101659166
19,Spanish,5,high,m,0,0,al amigo,de la estudiante,El detective hizo una foto al amigo de la estudiante que estaba MASKTOKEN.,El detective hizo una foto al amigo de la estudiante que estaba,$ES_Adj_m,El detective hizo una foto al amigo de la estudiante que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0055429146978043
19,Spanish,5,low,f,0,0,al amigo,de la estudiante,El detective hizo una foto al amigo de la estudiante que estaba MASKTOKEN.,El detective hizo una foto al amigo de la estudiante que estaba,$ES_Adj_f,El detective hizo una foto al amigo de la estudiante que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.002612381148385
19,Spanish,5,high,f,0,0,a la amiga,del estudiante,El detective hizo una foto a la amiga del estudiante que estaba MASKTOKEN.,El detective hizo una foto a la amiga del estudiante que estaba,$ES_Adj_f,El detective hizo una foto a la amiga del estudiante que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0066738667485022
20,Spanish,5,low,m,0,0,a la hermana,del ministro,María saludó a la hermana del ministro que estaba MASKTOKEN de volver a su pueblo.,María saludó a la hermana del ministro que estaba,$ES_Adj_m,María saludó a la hermana del ministro que estaba MASKTOKEN de volver a su pueblo.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0095537069730215
20,Spanish,5,high,m,0,0,al hermano,de la ministra,María saludó al hermano de la ministra que estaba MASKTOKEN de volver a su pueblo.,María saludó al hermano de la ministra que estaba,$ES_Adj_m,María saludó al hermano de la ministra que estaba MASKTOKEN de volver a su pueblo.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0078374968900233
20,Spanish,5,low,f,0,0,al hermano,de la ministra,María saludó al hermano de la ministra que estaba MASKTOKEN de volver a su pueblo.,María saludó al hermano de la ministra que estaba,$ES_Adj_f,María saludó al hermano de la ministra que estaba MASKTOKEN de volver a su pueblo.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.002393943151807
20,Spanish,5,high,f,0,0,a la hermana,del ministro,María saludó a la hermana del ministro que estaba MASKTOKEN de volver a su pueblo.,María saludó a la hermana del ministro que estaba,$ES_Adj_f,María saludó a la hermana del ministro que estaba MASKTOKEN de volver a su pueblo.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0021649611465773
21,Spanish,5,low,m,0,1,la amiga,del jefe,Ayer me encontré con la amiga del jefe que fue MASKTOKEN de nuestra empresa.,Ayer me encontré con la amiga del jefe que fue,$ES_Adj_m,Ayer me encontré con la amiga del jefe que fue MASKTOKEN de nuestra empresa.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0230098053553721
21,Spanish,5,high,m,0,1,el amigo,de la jefa,Ayer me encontré con el amigo de la jefa que fue MASKTOKEN de nuestra empresa.,Ayer me encontré con el amigo de la jefa que fue,$ES_Adj_m,Ayer me encontré con el amigo de la jefa que fue MASKTOKEN de nuestra empresa.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0069267988282762
21,Spanish,5,low,f,0,1,el amigo,de la jefa,Ayer me encontré con el amigo de la jefa que fue MASKTOKEN de nuestra empresa.,Ayer me encontré con el amigo de la jefa que fue,$ES_Adj_f,Ayer me encontré con el amigo de la jefa que fue MASKTOKEN de nuestra empresa.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0017762248481865
21,Spanish,5,high,f,0,1,la amiga,del jefe,Ayer me encontré con la amiga del jefe que fue MASKTOKEN de nuestra empresa.,Ayer me encontré con la amiga del jefe que fue,$ES_Adj_f,Ayer me encontré con la amiga del jefe que fue MASKTOKEN de nuestra empresa.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0133409045345393
22,Spanish,5,low,m,0,1,a la secretaria,del gerente,El periodista entrevistó a la secretaria del gerente que estaba MASKTOKEN.,El periodista entrevistó a la secretaria del gerente que estaba,$ES_Adj_m,El periodista entrevistó a la secretaria del gerente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0094766978303416
22,Spanish,5,high,m,0,1,al secretario,de la gerente,El periodista entrevistó al secretario de la gerente que estaba MASKTOKEN.,El periodista entrevistó al secretario de la gerente que estaba,$ES_Adj_m,El periodista entrevistó al secretario de la gerente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0072573473400964
22,Spanish,5,low,f,0,1,al secretario,de la gerente,El periodista entrevistó al secretario de la gerente que estaba MASKTOKEN.,El periodista entrevistó al secretario de la gerente que estaba,$ES_Adj_f,El periodista entrevistó al secretario de la gerente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0025866852962995
22,Spanish,5,high,f,0,1,a la secretaria,del gerente,El periodista entrevistó a la secretaria del gerente que estaba MASKTOKEN.,El periodista entrevistó a la secretaria del gerente que estaba,$ES_Adj_f,El periodista entrevistó a la secretaria del gerente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.00592173583384
23,Spanish,5,low,m,0,0,a la hermana,del chico,Pedro se divertía con a la hermana del chico que estaba MASKTOKEN.,Pedro se divertía con a la hermana del chico que estaba,$ES_Adj_m,Pedro se divertía con a la hermana del chico que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0130921298338345
23,Spanish,5,high,m,0,0,el hermano,de la chica,Pedro se divertía con el hermano de la chica que estaba MASKTOKEN.,Pedro se divertía con el hermano de la chica que estaba,$ES_Adj_m,Pedro se divertía con el hermano de la chica que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0063505241150128
23,Spanish,5,low,f,0,0,el hermano,de la chica,Pedro se divertía con el hermano de la chica que estaba MASKTOKEN.,Pedro se divertía con el hermano de la chica que estaba,$ES_Adj_f,Pedro se divertía con el hermano de la chica que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0049215176563602
23,Spanish,5,high,f,0,0,a la hermana,del chico,Pedro se divertía con a la hermana del chico que estaba MASKTOKEN.,Pedro se divertía con a la hermana del chico que estaba,$ES_Adj_f,Pedro se divertía con a la hermana del chico que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0048859544060331
24,Spanish,5,low,m,0,1,a la ayudante,del diputado,La explosión alcanzó a la ayudante del diputado que fue ascendido por sus MASKTOKEN.,La explosión alcanzó a la ayudante del diputado que fue ascendido por sus,$ES_Adj_m,La explosión alcanzó a la ayudante del diputado que fue ascendido por sus MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0039615794524596
24,Spanish,5,high,m,0,1,al ayudante,de la diputada,La explosión alcanzó al ayudante de la diputada que fue ascendido por sus MASKTOKEN.,La explosión alcanzó al ayudante de la diputada que fue ascendido por sus,$ES_Adj_m,La explosión alcanzó al ayudante de la diputada que fue ascendido por sus MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0061072970493057
24,Spanish,5,low,f,0,1,al ayudante,de la diputada,La explosión alcanzó al ayudante de la diputada que fue ascendido por sus MASKTOKEN.,La explosión alcanzó al ayudante de la diputada que fue ascendido por sus,$ES_Adj_f,La explosión alcanzó al ayudante de la diputada que fue ascendido por sus MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.002388784405904
24,Spanish,5,high,f,0,1,a la ayudante,del diputado,La explosión alcanzó a la ayudante del diputado que fue ascendido por sus MASKTOKEN.,La explosión alcanzó a la ayudante del diputado que fue ascendido por sus,$ES_Adj_f,La explosión alcanzó a la ayudante del diputado que fue ascendido por sus MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt,0.0010990951216983
1,Spanish,5,low,m,0,0,la criada,del actor,Alguien disparó contra la criada del actor que estaba MASKTOKEN.,Alguien disparó contra la criada del actor que estaba,$ES_Adj_m,Alguien disparó contra la criada del actor que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0209011969570213
1,Spanish,5,high,m,0,0,el criado,de la actriz,Alguien disparó contra el criado de la actriz que estaba MASKTOKEN.,Alguien disparó contra el criado de la actriz que estaba,$ES_Adj_m,Alguien disparó contra el criado de la actriz que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0115732521468898
1,Spanish,5,low,f,0,0,el criado,de la actriz,Alguien disparó contra el criado de la actriz que estaba MASKTOKEN.,Alguien disparó contra el criado de la actriz que estaba,$ES_Adj_f,Alguien disparó contra el criado de la actriz que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0036902699809734
1,Spanish,5,high,f,0,0,la criada,del actor,Alguien disparó contra la criada del actor que estaba MASKTOKEN.,Alguien disparó contra la criada del actor que estaba,$ES_Adj_f,Alguien disparó contra la criada del actor que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0032338817767214
2,Spanish,5,low,m,0,0,a la amiga,del maestro,Pedro conoció a la amiga del maestro que estuvo MASKTOKEN por el Ministerio.,Pedro conoció a la amiga del maestro que estuvo,$ES_Adj_m,Pedro conoció a la amiga del maestro que estuvo MASKTOKEN por el Ministerio.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0195402575957551
2,Spanish,5,high,m,0,0,al amigo,de la maestra,Pedro conoció al amigo de la maestra que estuvo MASKTOKEN por el Ministerio.,Pedro conoció al amigo de la maestra que estuvo,$ES_Adj_m,Pedro conoció al amigo de la maestra que estuvo MASKTOKEN por el Ministerio.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0181315891160525
2,Spanish,5,low,f,0,0,al amigo,de la maestra,Pedro conoció al amigo de la maestra que estuvo MASKTOKEN por el Ministerio.,Pedro conoció al amigo de la maestra que estuvo,$ES_Adj_f,Pedro conoció al amigo de la maestra que estuvo MASKTOKEN por el Ministerio.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0126213635180523
2,Spanish,5,high,f,0,0,a la amiga,del maestro,Pedro conoció a la amiga del maestro que estuvo MASKTOKEN por el Ministerio.,Pedro conoció a la amiga del maestro que estuvo,$ES_Adj_f,Pedro conoció a la amiga del maestro que estuvo MASKTOKEN por el Ministerio.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0117321933391263
3,Spanish,5,low,m,0,1,a la hermana,del trabajador,La policía detuvo a la hermana del trabajador que estuvo MASKTOKEN de hurto.,La policía detuvo a la hermana del trabajador que estuvo,$ES_Adj_m,La policía detuvo a la hermana del trabajador que estuvo MASKTOKEN de hurto.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0225046411931089
3,Spanish,5,high,m,0,1,al hermano,de la trabajadora,La policía detuvo al hermano de la trabajadora que estuvo MASKTOKEN de hurto.,La policía detuvo al hermano de la trabajadora que estuvo,$ES_Adj_m,La policía detuvo al hermano de la trabajadora que estuvo MASKTOKEN de hurto.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0160389894340118
3,Spanish,5,low,f,0,1,al hermano,de la trabajadora,La policía detuvo al hermano de la trabajadora que estuvo MASKTOKEN de hurto.,La policía detuvo al hermano de la trabajadora que estuvo,$ES_Adj_f,La policía detuvo al hermano de la trabajadora que estuvo MASKTOKEN de hurto.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.010430035903465
3,Spanish,5,high,f,0,1,a la hermana,del trabajador,La policía detuvo a la hermana del trabajador que estuvo MASKTOKEN de hurto.,La policía detuvo a la hermana del trabajador que estuvo,$ES_Adj_f,La policía detuvo a la hermana del trabajador que estuvo MASKTOKEN de hurto.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.011288224213163
4,Spanish,5,low,m,0,0,a la amiga,del abogado,Un alumno apedreó a la amiga del abogado que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó a la amiga del abogado que estuvo como,$ES_Adj_m,Un alumno apedreó a la amiga del abogado que estuvo como MASKTOKEN en el Parlamento.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0121518653271471
4,Spanish,5,high,m,0,0,al amigo,de la abogada,Un alumno apedreó al amigo de la abogada que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó al amigo de la abogada que estuvo como,$ES_Adj_m,Un alumno apedreó al amigo de la abogada que estuvo como MASKTOKEN en el Parlamento.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0142786934416822
4,Spanish,5,low,f,0,0,al amigo,de la abogada,Un alumno apedreó al amigo de la abogada que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó al amigo de la abogada que estuvo como,$ES_Adj_f,Un alumno apedreó al amigo de la abogada que estuvo como MASKTOKEN en el Parlamento.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0096943003554632
4,Spanish,5,high,f,0,0,a la amiga,del abogado,Un alumno apedreó a la amiga del abogado que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó a la amiga del abogado que estuvo como,$ES_Adj_f,Un alumno apedreó a la amiga del abogado que estuvo como MASKTOKEN en el Parlamento.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0081327287410713
5,Spanish,5,low,m,0,0,la novia,del cantante,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con la novia del cantante que estuvo,$ES_Adj_m,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0209581207712116
5,Spanish,5,high,m,0,0,el novio,de la cantante,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con el novio de la cantante que estuvo,$ES_Adj_m,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0156244325805517
5,Spanish,5,low,f,0,0,el novio,de la cantante,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con el novio de la cantante que estuvo,$ES_Adj_f,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0102205646297075
5,Spanish,5,high,f,0,0,la novia,del cantante,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con la novia del cantante que estuvo,$ES_Adj_f,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0140024897573768
6,Spanish,5,low,m,0,0,a la hija,del diputado,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,El periodista entrevistó a la hija del diputado que se quedó,$ES_Adj_m,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0065870983748639
6,Spanish,5,high,m,0,0,al hijo,de la diputada,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,El periodista entrevistó al hijo de la diputada que se quedó,$ES_Adj_m,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0102169591516422
6,Spanish,5,low,f,0,0,al hijo,de la diputada,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,El periodista entrevistó al hijo de la diputada que se quedó,$ES_Adj_f,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0019013199969997
6,Spanish,5,high,f,0,0,a la hija,del diputado,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,El periodista entrevistó a la hija del diputado que se quedó,$ES_Adj_f,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0013010012615104
7,Spanish,5,low,m,0,0,la sobrina,del conserje,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con la sobrina del conserje que trabajó de,$ES_Adj_m,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.012864541101529
7,Spanish,5,high,m,0,0,el sobrino,de la conserje,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con el sobrino de la conserje que trabajó de,$ES_Adj_m,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0062737278079737
7,Spanish,5,low,f,0,0,el sobrino,de la conserje,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con el sobrino de la conserje que trabajó de,$ES_Adj_f,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0031558683938716
7,Spanish,5,high,f,0,0,la sobrina,del conserje,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con la sobrina del conserje que trabajó de,$ES_Adj_f,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0062854435690156
8,Spanish,5,low,m,0,1,la hija,del obrero,María salió al cine con la hija del obrero que estaba MASKTOKEN.,María salió al cine con la hija del obrero que estaba,$ES_Adj_m,María salió al cine con la hija del obrero que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0144492546606986
8,Spanish,5,high,m,0,1,el hijo,de la obrera,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,María salió al cine con el hijo de la obrera que estaba,$ES_Adj_m,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0076712798662412
8,Spanish,5,low,f,0,1,el hijo,de la obrera,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,María salió al cine con el hijo de la obrera que estaba,$ES_Adj_f,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.001676792891986
8,Spanish,5,high,f,0,1,la hija,del obrero,María salió al cine con la hija del obrero que estaba MASKTOKEN.,María salió al cine con la hija del obrero que estaba,$ES_Adj_f,María salió al cine con la hija del obrero que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0038024372588018
9,Spanish,5,low,m,0,0,de la sobrina,del maestro,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,Los chicos se burlaron de la sobrina del maestro que estaba,$ES_Adj_m,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0102315292737911
9,Spanish,5,high,m,0,0,del sobrino,de la maestra,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,Los chicos se burlaron del sobrino de la maestra que estaba,$ES_Adj_m,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0084241693665128
9,Spanish,5,low,f,0,0,del sobrino,de la maestra,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,Los chicos se burlaron del sobrino de la maestra que estaba,$ES_Adj_f,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0022421475469118
9,Spanish,5,high,f,0,0,de la sobrina,del maestro,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,Los chicos se burlaron de la sobrina del maestro que estaba,$ES_Adj_f,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0043349682547705
10,Spanish,5,low,m,0,1,la sirvienta,del rey,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con la sirvienta del rey que estuvo,$ES_Adj_m,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0180310415932385
10,Spanish,5,high,m,0,1,el sirviente,de la reina,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con el sirviente de la reina que estuvo,$ES_Adj_m,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0169804351819947
10,Spanish,5,low,f,0,1,el sirviente,de la reina,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con el sirviente de la reina que estuvo,$ES_Adj_f,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0071916833376705
10,Spanish,5,high,f,0,1,la sirvienta,del rey,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con la sirvienta del rey que estuvo,$ES_Adj_f,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.011773804311432
11,Spanish,5,low,m,0,1,a la criada,del emperador,La policía detuvo a la criada del emperador que estuvo MASKTOKEN antes por escandalo.,La policía detuvo a la criada del emperador que estuvo,$ES_Adj_m,La policía detuvo a la criada del emperador que estuvo MASKTOKEN antes por escandalo.,es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt,0.0197875952496716
