item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target,/data/bert-base-uncased_surp,/data/roberta-base_surp
19,CATAMARAN2-FIN-Match,No Constraint,Match,her,"Before a chaperon took her kids on the roller coaster, Victoria calmly reassured Andrea that the loop wasn't dangerous at all.","Before a chaperon took her kids on the roller coaster, the MASKTOKEN calmly reassured Andrea that the loop wasn't dangerous at all.","Before a chaperon took her kids on the roller coaster, the MASKTOKEN calmly reassured Andrea that the loop wasn't dangerous at all.","Before a chaperon took her kids on the roller coaster, the",woman,3.441925287246704,2.6037375926971436
19,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,his,"Before a chaperon took his kids on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before a chaperon took his kids on the roller coaster, the MASKTOKEN calmly reassured Lucas that the loop wasn't dangerous at all.","Before a chaperon took his kids on the roller coaster, the MASKTOKEN calmly reassured Lucas that the loop wasn't dangerous at all.","Before a chaperon took his kids on the roller coaster, the",woman,6.500686168670654,6.45942497253418
19,CATAMARAN2-OBJ-Match,Constraint,Match,her,"Before taking her on the roller coaster, Victoria calmly reassured Andrea that the loop wasn't dangerous at all.","Before taking her on the roller coaster, the MASKTOKEN calmly reassured Andrea that the loop wasn't dangerous at all.","Before taking her on the roller coaster, the MASKTOKEN calmly reassured Andrea that the loop wasn't dangerous at all.","Before taking her on the roller coaster, the",woman,5.858266830444336,5.201320171356201
19,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"Before taking him on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking him on the roller coaster, the MASKTOKEN calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking him on the roller coaster, the MASKTOKEN calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking him on the roller coaster, the",woman,4.492297172546387,4.566673278808594
20,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After anyone took her to a social event, Rebecca always checked with Julia to see whether they actually had a good time.","After anyone took her to a social event, the MASKTOKEN always checked with Julia to see whether they actually had a good time.","After anyone took her to a social event, the MASKTOKEN always checked with Julia to see whether they actually had a good time.","After anyone took her to a social event, the",woman,4.58225154876709,10.240067481994629
20,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After anyone took him to a social event, Rebecca always checked with Elijah to see whether they actually had a good time.","After anyone took him to a social event, the MASKTOKEN always checked with Elijah to see whether they actually had a good time.","After anyone took him to a social event, the MASKTOKEN always checked with Elijah to see whether they actually had a good time.","After anyone took him to a social event, the",woman,6.1288604736328125,10.734264373779297
20,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After taking her to a social event, Rebecca always checked with Julia to see whether she actually had a good time.","After taking her to a social event, the MASKTOKEN always checked with Julia to see whether she actually had a good time.","After taking her to a social event, the MASKTOKEN always checked with Julia to see whether she actually had a good time.","After taking her to a social event, the",woman,4.806164741516113,11.291045188903809
20,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After taking him to a social event, Rebecca always checked with Elijah to see whether he actually had a good time.","After taking him to a social event, the MASKTOKEN always checked with Elijah to see whether he actually had a good time.","After taking him to a social event, the MASKTOKEN always checked with Elijah to see whether he actually had a good time.","After taking him to a social event, the",woman,5.502629280090332,9.201043128967285
21,CATAMARAN2-FIN-Match,No Constraint,Match,her,"Before auctioneers showed her any new paintings, Catherine typically consulted Kelly to see which pieces were the best.","Before auctioneers showed her any new paintings, the MASKTOKEN typically consulted Kelly to see which pieces were the best.","Before auctioneers showed her any new paintings, the MASKTOKEN typically consulted Kelly to see which pieces were the best.","Before auctioneers showed her any new paintings, the",woman,8.261698722839355,10.255919456481934
21,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"Before auctioneers showed him any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before auctioneers showed him any new paintings, the MASKTOKEN typically consulted Shawn to see which pieces were the best.","Before auctioneers showed him any new paintings, the MASKTOKEN typically consulted Shawn to see which pieces were the best.","Before auctioneers showed him any new paintings, the",woman,10.834373474121094,13.387677192687988
21,CATAMARAN2-OBJ-Match,Constraint,Match,her,"Before showing her any new paintings, Catherine typically consulted Kelly to see which pieces were the best.","Before showing her any new paintings, the MASKTOKEN typically consulted Kelly to see which pieces were the best.","Before showing her any new paintings, the MASKTOKEN typically consulted Kelly to see which pieces were the best.","Before showing her any new paintings, the",woman,7.6677350997924805,12.378807067871094
21,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"Before showing him any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before showing him any new paintings, the MASKTOKEN typically consulted Shawn to see which pieces were the best.","Before showing him any new paintings, the MASKTOKEN typically consulted Shawn to see which pieces were the best.","Before showing him any new paintings, the",woman,8.001827239990234,14.652763366699219
22,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a student nominated her for class president, Nicole publicly humiliated Destiny by sharing a private conversation all over social media.","After a student nominated her for class president, the MASKTOKEN publicly humiliated Destiny by sharing a private conversation all over social media.","After a student nominated her for class president, the MASKTOKEN publicly humiliated Destiny by sharing a private conversation all over social media.","After a student nominated her for class president, the",woman,12.066003799438477,4.10727596282959
22,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a student nominated him for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After a student nominated him for class president, the MASKTOKEN publicly humiliated Jerome by sharing a private conversation all over social media.","After a student nominated him for class president, the MASKTOKEN publicly humiliated Jerome by sharing a private conversation all over social media.","After a student nominated him for class president, the",woman,12.092416763305664,9.515483856201172
22,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After nominating her for class president, Nicole publicly humiliated Destiny by sharing a private conversation all over social media.","After nominating her for class president, the MASKTOKEN publicly humiliated Destiny by sharing a private conversation all over social media.","After nominating her for class president, the MASKTOKEN publicly humiliated Destiny by sharing a private conversation all over social media.","After nominating her for class president, the",woman,13.026636123657227,10.30439567565918
22,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After nominating him for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating him for class president, the MASKTOKEN publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating him for class president, the MASKTOKEN publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating him for class president, the",woman,11.83463191986084,9.089864730834961
23,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After everyone watched her on the Voice, Kimberly immediately called up Selena to discuss some of the highlights of the performance.","After everyone watched her on the Voice, the MASKTOKEN immediately called up Selena to discuss some of the highlights of the performance.","After everyone watched her on the Voice, the MASKTOKEN immediately called up Selena to discuss some of the highlights of the performance.","After everyone watched her on the Voice, the",woman,7.516507148742676,15.730040550231934
23,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After everyone watched him on the Voice, Kimberly immediately called up Francisco to discuss some of the highlights of the performance.","After everyone watched him on the Voice, the MASKTOKEN immediately called up Francisco to discuss some of the highlights of the performance.","After everyone watched him on the Voice, the MASKTOKEN immediately called up Francisco to discuss some of the highlights of the performance.","After everyone watched him on the Voice, the",woman,9.653080940246582,15.250252723693848
23,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After watching her on the Voice, Kimberly immediately called up Selena to discuss some of the highlights of the performance.","After watching her on the Voice, the MASKTOKEN immediately called up Selena to discuss some of the highlights of the performance.","After watching her on the Voice, the MASKTOKEN immediately called up Selena to discuss some of the highlights of the performance.","After watching her on the Voice, the",woman,7.52655553817749,14.311397552490234
23,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After watching him on the Voice, Kimberly immediately called up Francisco to discuss some of the highlights of the performance.","After watching him on the Voice, the MASKTOKEN immediately called up Francisco to discuss some of the highlights of the performance.","After watching him on the Voice, the MASKTOKEN immediately called up Francisco to discuss some of the highlights of the performance.","After watching him on the Voice, the",woman,9.987525939941406,12.817940711975098
24,CATAMARAN2-FIN-Match,No Constraint,Match,her,"Before a secretary sent her the secret contract, Rachel repeatedly made Crystal promise not to disclose the terms to anyone.","Before a secretary sent her the secret contract, the MASKTOKEN repeatedly made Crystal promise not to disclose the terms to anyone.","Before a secretary sent her the secret contract, the MASKTOKEN repeatedly made Crystal promise not to disclose the terms to anyone.","Before a secretary sent her the secret contract, the",woman,7.541538238525391,5.47282075881958
24,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"Before a secretary sent him the secret contract, Rachel repeatedly made Raymond promise not to disclose the terms to anyone.","Before a secretary sent him the secret contract, the MASKTOKEN repeatedly made Raymond promise not to disclose the terms to anyone.","Before a secretary sent him the secret contract, the MASKTOKEN repeatedly made Raymond promise not to disclose the terms to anyone.","Before a secretary sent him the secret contract, the",woman,10.598052978515625,7.830657482147217
24,CATAMARAN2-OBJ-Match,Constraint,Match,her,"Before sending her the secret contract, Rachel repeatedly made Crystal promise not to disclose the terms to anyone.","Before sending her the secret contract, the MASKTOKEN repeatedly made Crystal promise not to disclose the terms to anyone.","Before sending her the secret contract, the MASKTOKEN repeatedly made Crystal promise not to disclose the terms to anyone.","Before sending her the secret contract, the",woman,8.200628280639648,8.152092933654785
24,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"Before sending him the secret contract, Rachel repeatedly made Raymond promise not to disclose the terms to anyone.","Before sending him the secret contract, the MASKTOKEN repeatedly made Raymond promise not to disclose the terms to anyone.","Before sending him the secret contract, the MASKTOKEN repeatedly made Raymond promise not to disclose the terms to anyone.","Before sending him the secret contract, the",woman,10.680636405944824,10.18050479888916
