item,exp,contrast,top,middle,bottom,N1,N2,N3,N1_gender,N2_gender,N3_gender,mask_sents,auto_sents,target,sent,/data/bert-base-uncased_surp,/data/roberta-base_surp
12,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,mother,bachelor,business woman,f,m,m,the mother warned the bachelor that the business woman would blame MASKTOKEN for the high cost of tests.,the mother warned the bachelor that the business woman would blame,him,the mother warned the bachelor that the business woman would blame MASKTOKEN for the high cost of tests.,0.8520078063011169,0.858568012714386
12,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,mother,widow,businessman,f,f,f,the mother warned the widow that the businessman would blame MASKTOKEN for the high cost of tests.,the mother warned the widow that the businessman would blame,him,the mother warned the widow that the businessman would blame MASKTOKEN for the high cost of tests.,3.807530641555786,8.131792068481445
12,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,mother,widow,business woman,f,f,f,the mother warned the widow that the business woman would blame MASKTOKEN for the high cost of tests.,the mother warned the widow that the business woman would blame,him,the mother warned the widow that the business woman would blame MASKTOKEN for the high cost of tests.,4.280553340911865,4.583772659301758
13,1,Match_Match_Match,Match,Match,Match,groom,wizard,boyfriend,m,m,m,the groom convinced the wizard that the boyfriend should give MASKTOKEN a raise in pay.,the groom convinced the wizard that the boyfriend should give,him,the groom convinced the wizard that the boyfriend should give MASKTOKEN a raise in pay.,1.2300857305526733,0.8001931309700012
13,1,Match_Match_Mismatch,Match,Match,Mismatch,groom,wizard,girlfriend,m,m,m,the groom convinced the wizard that the girlfriend should give MASKTOKEN a raise in pay.,the groom convinced the wizard that the girlfriend should give,him,the groom convinced the wizard that the girlfriend should give MASKTOKEN a raise in pay.,0.09570172429084778,0.04963487386703491
13,1,Match_Mismatch_Match,Match,Mismatch,Match,groom,witch,boyfriend,m,f,f,the groom convinced the witch that the boyfriend should give MASKTOKEN a raise in pay.,the groom convinced the witch that the boyfriend should give,him,the groom convinced the witch that the boyfriend should give MASKTOKEN a raise in pay.,2.106602668762207,2.495206594467163
13,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,groom,witch,girlfriend,m,f,f,the groom convinced the witch that the girlfriend should give MASKTOKEN a raise in pay.,the groom convinced the witch that the girlfriend should give,him,the groom convinced the witch that the girlfriend should give MASKTOKEN a raise in pay.,0.2658752501010895,0.0709625855088234
13,1,Mismatch_Match_Match,Mismatch,Match,Match,bride,wizard,boyfriend,f,m,m,the bride convinced the wizard that the boyfriend should give MASKTOKEN a raise in pay.,the bride convinced the wizard that the boyfriend should give,him,the bride convinced the wizard that the boyfriend should give MASKTOKEN a raise in pay.,2.247457981109619,4.262980937957764
13,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,bride,wizard,girlfriend,f,m,m,the bride convinced the wizard that the girlfriend should give MASKTOKEN a raise in pay.,the bride convinced the wizard that the girlfriend should give,him,the bride convinced the wizard that the girlfriend should give MASKTOKEN a raise in pay.,0.28304383158683777,0.21834640204906464
13,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,bride,witch,boyfriend,f,f,f,the bride convinced the witch that the boyfriend should give MASKTOKEN a raise in pay.,the bride convinced the witch that the boyfriend should give,him,the bride convinced the witch that the boyfriend should give MASKTOKEN a raise in pay.,3.4888901710510254,6.9205851554870605
13,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,bride,witch,girlfriend,f,f,f,the bride convinced the witch that the girlfriend should give MASKTOKEN a raise in pay.,the bride convinced the witch that the girlfriend should give,him,the bride convinced the witch that the girlfriend should give MASKTOKEN a raise in pay.,2.355760097503662,1.198107361793518
14,1,Match_Match_Match,Match,Match,Match,priest,sorcerer,congressman,m,m,m,the priest told the sorcerer that the congressman would probably not protect MASKTOKEN under the circumstances.,the priest told the sorcerer that the congressman would probably not protect,him,the priest told the sorcerer that the congressman would probably not protect MASKTOKEN under the circumstances.,1.1711273193359375,0.7524915933609009
14,1,Match_Match_Mismatch,Match,Match,Mismatch,priest,sorcerer,congress woman,m,m,m,the priest told the sorcerer that the congress woman would probably not protect MASKTOKEN under the circumstances.,the priest told the sorcerer that the congress woman would probably not protect,him,the priest told the sorcerer that the congress woman would probably not protect MASKTOKEN under the circumstances.,0.7782890796661377,0.5881827473640442
14,1,Match_Mismatch_Match,Match,Mismatch,Match,priest,witch,congressman,m,f,f,the priest told the witch that the congressman would probably not protect MASKTOKEN under the circumstances.,the priest told the witch that the congressman would probably not protect,him,the priest told the witch that the congressman would probably not protect MASKTOKEN under the circumstances.,2.2416274547576904,3.9077258110046387
14,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,priest,witch,congress woman,m,f,f,the priest told the witch that the congress woman would probably not protect MASKTOKEN under the circumstances.,the priest told the witch that the congress woman would probably not protect,him,the priest told the witch that the congress woman would probably not protect MASKTOKEN under the circumstances.,1.397476077079773,1.194037675857544
14,1,Mismatch_Match_Match,Mismatch,Match,Match,nun,sorcerer,congressman,f,m,m,the nun told the sorcerer that the congressman would probably not protect MASKTOKEN under the circumstances.,the nun told the sorcerer that the congressman would probably not protect,him,the nun told the sorcerer that the congressman would probably not protect MASKTOKEN under the circumstances.,2.997014045715332,2.271674394607544
14,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,nun,sorcerer,congress woman,f,m,m,the nun told the sorcerer that the congress woman would probably not protect MASKTOKEN under the circumstances.,the nun told the sorcerer that the congress woman would probably not protect,him,the nun told the sorcerer that the congress woman would probably not protect MASKTOKEN under the circumstances.,2.004004716873169,0.8237791657447815
14,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,nun,witch,congressman,f,f,f,the nun told the witch that the congressman would probably not protect MASKTOKEN under the circumstances.,the nun told the witch that the congressman would probably not protect,him,the nun told the witch that the congressman would probably not protect MASKTOKEN under the circumstances.,4.477883815765381,3.953223466873169
14,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,nun,witch,congress woman,f,f,f,the nun told the witch that the congress woman would probably not protect MASKTOKEN under the circumstances.,the nun told the witch that the congress woman would probably not protect,him,the nun told the witch that the congress woman would probably not protect MASKTOKEN under the circumstances.,4.971307277679443,2.0500967502593994
15,1,Match_Match_Match,Match,Match,Match,driver,chairman,council man,m,m,m,the driver told the chairman that the council man would introduce  MASKTOKEN to the famous diplomat.,the driver told the chairman that the council man would introduce,him,the driver told the chairman that the council man would introduce  MASKTOKEN to the famous diplomat.,0.4522424638271332,0.36057597398757935
15,1,Match_Match_Mismatch,Match,Match,Mismatch,driver,chairman,council woman,m,m,m,the driver told the chairman that the council woman would introduce  MASKTOKEN to the famous diplomat.,the driver told the chairman that the council woman would introduce,him,the driver told the chairman that the council woman would introduce  MASKTOKEN to the famous diplomat.,0.14704200625419617,0.2700648605823517
15,1,Match_Mismatch_Match,Match,Mismatch,Match,driver,chair woman,council man,m,f,f,the driver told the chair woman that the council man would introduce  MASKTOKEN to the famous diplomat.,the driver told the chair woman that the council man would introduce,him,the driver told the chair woman that the council man would introduce  MASKTOKEN to the famous diplomat.,2.6975603103637695,5.037972450256348
15,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,driver,chair woman,council woman,m,f,f,the driver told the chair woman that the council woman would introduce  MASKTOKEN to the famous diplomat.,the driver told the chair woman that the council woman would introduce,him,the driver told the chair woman that the council woman would introduce  MASKTOKEN to the famous diplomat.,0.5270877480506897,1.572097897529602
15,1,Mismatch_Match_Match,Mismatch,Match,Match,maid,chairman,council man,f,m,m,the maid told the chairman that the council man would introduce  MASKTOKEN to the famous diplomat.,the maid told the chairman that the council man would introduce,him,the maid told the chairman that the council man would introduce  MASKTOKEN to the famous diplomat.,1.327219843864441,1.4762418270111084
15,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,maid,chairman,council woman,f,m,m,the maid told the chairman that the council woman would introduce  MASKTOKEN to the famous diplomat.,the maid told the chairman that the council woman would introduce,him,the maid told the chairman that the council woman would introduce  MASKTOKEN to the famous diplomat.,0.22132058441638947,0.4699596166610718
15,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,maid,chair woman,council man,f,f,f,the maid told the chair woman that the council man would introduce  MASKTOKEN to the famous diplomat.,the maid told the chair woman that the council man would introduce,him,the maid told the chair woman that the council man would introduce  MASKTOKEN to the famous diplomat.,5.355748653411865,6.47845983505249
15,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,maid,chair woman,council woman,f,f,f,the maid told the chair woman that the council woman would introduce  MASKTOKEN to the famous diplomat.,the maid told the chair woman that the council woman would introduce,him,the maid told the chair woman that the council woman would introduce  MASKTOKEN to the famous diplomat.,2.5010766983032227,3.106051445007324
16,1,Match_Match_Match,Match,Match,Match,professor,boy,granddaughter,m,m,m,the professor warned the boy that the granddaughter would be angry with MASKTOKEN for forgetting about the show.,the professor warned the boy that the granddaughter would be angry with,him,the professor warned the boy that the granddaughter would be angry with MASKTOKEN for forgetting about the show.,0.0482369028031826,0.22629590332508087
16,1,Match_Match_Mismatch,Match,Match,Mismatch,professor,boy,grandson,m,m,m,the professor warned the boy that the grandson would be angry with MASKTOKEN for forgetting about the show.,the professor warned the boy that the grandson would be angry with,him,the professor warned the boy that the grandson would be angry with MASKTOKEN for forgetting about the show.,0.06643249839544296,0.13635988533496857
16,1,Match_Mismatch_Match,Match,Mismatch,Match,professor,girl,granddaughter,m,f,f,the professor warned the girl that the granddaughter would be angry with MASKTOKEN for forgetting about the show.,the professor warned the girl that the granddaughter would be angry with,him,the professor warned the girl that the granddaughter would be angry with MASKTOKEN for forgetting about the show.,3.089129686355591,4.538451194763184
16,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,professor,girl,grandson,m,f,f,the professor warned the girl that the grandson would be angry with MASKTOKEN for forgetting about the show.,the professor warned the girl that the grandson would be angry with,him,the professor warned the girl that the grandson would be angry with MASKTOKEN for forgetting about the show.,4.367462158203125,4.393101215362549
16,1,Mismatch_Match_Match,Mismatch,Match,Match,secretary,boy,granddaughter,f,m,m,the secretary warned the boy that the granddaughter would be angry with MASKTOKEN for forgetting about the show.,the secretary warned the boy that the granddaughter would be angry with,him,the secretary warned the boy that the granddaughter would be angry with MASKTOKEN for forgetting about the show.,0.07156269252300262,0.29917922616004944
16,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,secretary,boy,grandson,f,m,m,the secretary warned the boy that the grandson would be angry with MASKTOKEN for forgetting about the show.,the secretary warned the boy that the grandson would be angry with,him,the secretary warned the boy that the grandson would be angry with MASKTOKEN for forgetting about the show.,0.101251982152462,0.3031499981880188
16,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,secretary,girl,granddaughter,f,f,f,the secretary warned the girl that the granddaughter would be angry with MASKTOKEN for forgetting about the show.,the secretary warned the girl that the granddaughter would be angry with,him,the secretary warned the girl that the granddaughter would be angry with MASKTOKEN for forgetting about the show.,5.177298069000244,4.576015472412109
16,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,secretary,girl,grandson,f,f,f,the secretary warned the girl that the grandson would be angry with MASKTOKEN for forgetting about the show.,the secretary warned the girl that the grandson would be angry with,him,the secretary warned the girl that the grandson would be angry with MASKTOKEN for forgetting about the show.,5.316893577575684,4.417881488800049
17,1,Match_Match_Match,Match,Match,Match,brother,boy,wizard,m,m,m,the brother told the boy that the wizard might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the brother told the boy that the wizard might treat,him,the brother told the boy that the wizard might treat MASKTOKEN to an expensive dinner in a nice restaurant.,0.06083971634507179,0.22116655111312866
17,1,Match_Match_Mismatch,Match,Match,Mismatch,brother,boy,witch,m,m,m,the brother told the boy that the witch might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the brother told the boy that the witch might treat,him,the brother told the boy that the witch might treat MASKTOKEN to an expensive dinner in a nice restaurant.,0.058790769428014755,0.14488287270069122
17,1,Match_Mismatch_Match,Match,Mismatch,Match,brother,girl,wizard,m,f,f,the brother told the girl that the wizard might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the brother told the girl that the wizard might treat,him,the brother told the girl that the wizard might treat MASKTOKEN to an expensive dinner in a nice restaurant.,5.020172595977783,5.318361282348633
17,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,brother,girl,witch,m,f,f,the brother told the girl that the witch might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the brother told the girl that the witch might treat,him,the brother told the girl that the witch might treat MASKTOKEN to an expensive dinner in a nice restaurant.,2.173219919204712,4.927009582519531
17,1,Mismatch_Match_Match,Mismatch,Match,Match,sister,boy,wizard,f,m,m,the sister told the boy that the wizard might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the sister told the boy that the wizard might treat,him,the sister told the boy that the wizard might treat MASKTOKEN to an expensive dinner in a nice restaurant.,0.1786590814590454,0.47930166125297546
17,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,sister,boy,witch,f,m,m,the sister told the boy that the witch might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the sister told the boy that the witch might treat,him,the sister told the boy that the witch might treat MASKTOKEN to an expensive dinner in a nice restaurant.,0.08344994485378265,0.1732565462589264
17,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,sister,girl,wizard,f,f,f,the sister told the girl that the wizard might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the sister told the girl that the wizard might treat,him,the sister told the girl that the wizard might treat MASKTOKEN to an expensive dinner in a nice restaurant.,8.624455451965332,7.446615695953369
17,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,sister,girl,witch,f,f,f,the sister told the girl that the witch might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the sister told the girl that the witch might treat,him,the sister told the girl that the witch might treat MASKTOKEN to an expensive dinner in a nice restaurant.,8.110467910766602,8.178205490112305
18,1,Match_Match_Match,Match,Match,Match,son,man,lord,m,m,m,the son told the man that the lord would introduce MASKTOKEN to the band leader.,the son told the man that the lord would introduce,him,the son told the man that the lord would introduce MASKTOKEN to the band leader.,0.02256186120212078,0.12870237231254578
18,1,Match_Match_Mismatch,Match,Match,Mismatch,son,man,lady,m,m,m,the son told the man that the lady would introduce MASKTOKEN to the band leader.,the son told the man that the lady would introduce,him,the son told the man that the lady would introduce MASKTOKEN to the band leader.,0.019689807668328285,0.09986432641744614
18,1,Match_Mismatch_Match,Match,Mismatch,Match,son,woman,lord,m,f,f,the son told the woman that the lord would introduce MASKTOKEN to the band leader.,the son told the woman that the lord would introduce,him,the son told the woman that the lord would introduce MASKTOKEN to the band leader.,3.0572099685668945,1.7307977676391602
18,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,son,woman,lady,m,f,f,the son told the woman that the lady would introduce MASKTOKEN to the band leader.,the son told the woman that the lady would introduce,him,the son told the woman that the lady would introduce MASKTOKEN to the band leader.,0.1894603818655014,0.19836470484733582
18,1,Mismatch_Match_Match,Mismatch,Match,Match,daughter,man,lord,f,m,m,the daughter told the man that the lord would introduce MASKTOKEN to the band leader.,the daughter told the man that the lord would introduce,him,the daughter told the man that the lord would introduce MASKTOKEN to the band leader.,2.647916316986084,2.488865375518799
18,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,daughter,man,lady,f,m,m,the daughter told the man that the lady would introduce MASKTOKEN to the band leader.,the daughter told the man that the lady would introduce,him,the daughter told the man that the lady would introduce MASKTOKEN to the band leader.,0.23271441459655762,0.3024166226387024
18,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,daughter,woman,lord,f,f,f,the daughter told the woman that the lord would introduce MASKTOKEN to the band leader.,the daughter told the woman that the lord would introduce,him,the daughter told the woman that the lord would introduce MASKTOKEN to the band leader.,10.938189506530762,4.867824077606201
18,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,daughter,woman,lady,f,f,f,the daughter told the woman that the lady would introduce MASKTOKEN to the band leader.,the daughter told the woman that the lady would introduce,him,the daughter told the woman that the lady would introduce MASKTOKEN to the band leader.,8.599350929260254,2.29960036277771
19,1,Match_Match_Match,Match,Match,Match,husband,doctor,god,m,m,m,the husband told the doctor that the god would get MASKTOKEN some lunch after the event.,the husband told the doctor that the god would get,him,the husband told the doctor that the god would get MASKTOKEN some lunch after the event.,2.3925552368164062,0.6774283647537231
19,1,Match_Match_Mismatch,Match,Match,Mismatch,husband,doctor,goddess,m,m,m,the husband told the doctor that the goddess would get MASKTOKEN some lunch after the event.,the husband told the doctor that the goddess would get,him,the husband told the doctor that the goddess would get MASKTOKEN some lunch after the event.,1.6304484605789185,0.6416749358177185
19,1,Match_Mismatch_Match,Match,Mismatch,Match,husband,nurse,god,m,f,f,the husband told the nurse that the god would get MASKTOKEN some lunch after the event.,the husband told the nurse that the god would get,him,the husband told the nurse that the god would get MASKTOKEN some lunch after the event.,3.6278889179229736,0.9181535243988037
19,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,husband,nurse,goddess,m,f,f,the husband told the nurse that the goddess would get MASKTOKEN some lunch after the event.,the husband told the nurse that the goddess would get,him,the husband told the nurse that the goddess would get MASKTOKEN some lunch after the event.,2.650454044342041,0.8807587623596191
19,1,Mismatch_Match_Match,Mismatch,Match,Match,wife,doctor,god,f,m,m,the wife told the doctor that the god would get MASKTOKEN some lunch after the event.,the wife told the doctor that the god would get,him,the wife told the doctor that the god would get MASKTOKEN some lunch after the event.,1.782562017440796,3.0131969451904297
19,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,wife,doctor,goddess,f,m,m,the wife told the doctor that the goddess would get MASKTOKEN some lunch after the event.,the wife told the doctor that the goddess would get,him,the wife told the doctor that the goddess would get MASKTOKEN some lunch after the event.,1.5321648120880127,2.030538558959961
19,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,wife,nurse,god,f,f,f,the wife told the nurse that the god would get MASKTOKEN some lunch after the event.,the wife told the nurse that the god would get,him,the wife told the nurse that the god would get MASKTOKEN some lunch after the event.,3.414008378982544,3.0262563228607178
19,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,wife,nurse,goddess,f,f,f,the wife told the nurse that the goddess would get MASKTOKEN some lunch after the event.,the wife told the nurse that the goddess would get,him,the wife told the nurse that the goddess would get MASKTOKEN some lunch after the event.,4.70803165435791,2.712203025817871
20,1,Match_Match_Match,Match,Match,Match,businessman,actor,hero,m,m,m,the businessman told the actor that the hero would buy MASKTOKEN twenty yards ot fine silk.,the businessman told the actor that the hero would buy,him,the businessman told the actor that the hero would buy MASKTOKEN twenty yards ot fine silk.,2.0137648582458496,0.14624935388565063
20,1,Match_Match_Mismatch,Match,Match,Mismatch,businessman,actor,heroine,m,m,m,the businessman told the actor that the heroine would buy MASKTOKEN twenty yards ot fine silk.,the businessman told the actor that the heroine would buy,him,the businessman told the actor that the heroine would buy MASKTOKEN twenty yards ot fine silk.,2.3708150386810303,0.20762625336647034
20,1,Match_Mismatch_Match,Match,Mismatch,Match,businessman,actress,hero,m,f,f,the businessman told the actress that the hero would buy MASKTOKEN twenty yards ot fine silk.,the businessman told the actress that the hero would buy,him,the businessman told the actress that the hero would buy MASKTOKEN twenty yards ot fine silk.,3.485102415084839,2.264392137527466
20,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,businessman,actress,heroine,m,f,f,the businessman told the actress that the heroine would buy MASKTOKEN twenty yards ot fine silk.,the businessman told the actress that the heroine would buy,him,the businessman told the actress that the heroine would buy MASKTOKEN twenty yards ot fine silk.,3.696936845779419,0.46581795811653137
20,1,Mismatch_Match_Match,Mismatch,Match,Match,business woman,actor,hero,f,m,m,the business woman told the actor that the hero would buy MASKTOKEN twenty yards ot fine silk.,the business woman told the actor that the hero would buy,him,the business woman told the actor that the hero would buy MASKTOKEN twenty yards ot fine silk.,2.87909197807312,1.29343581199646
20,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,business woman,actor,heroine,f,m,m,the business woman told the actor that the heroine would buy MASKTOKEN twenty yards ot fine silk.,the business woman told the actor that the heroine would buy,him,the business woman told the actor that the heroine would buy MASKTOKEN twenty yards ot fine silk.,3.60345721244812,0.41285961866378784
20,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,business woman,actress,hero,f,f,f,the business woman told the actress that the hero would buy MASKTOKEN twenty yards ot fine silk.,the business woman told the actress that the hero would buy,him,the business woman told the actress that the hero would buy MASKTOKEN twenty yards ot fine silk.,5.1505279541015625,4.21300745010376
20,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,business woman,actress,heroine,f,f,f,the business woman told the actress that the heroine would buy MASKTOKEN twenty yards ot fine silk.,the business woman told the actress that the heroine would buy,him,the business woman told the actress that the heroine would buy MASKTOKEN twenty yards ot fine silk.,6.19458532333374,2.54306960105896
21,1,Match_Match_Match,Match,Match,Match,boyfriend,prince,policeman,m,m,m,the boyfriend told the prince that the policeman would supply MASKTOKEN with the stolen equipment.,the boyfriend told the prince that the policeman would supply,him,the boyfriend told the prince that the policeman would supply MASKTOKEN with the stolen equipment.,0.18168823421001434,0.285881370306015
21,1,Match_Match_Mismatch,Match,Match,Mismatch,boyfriend,prince,police woman,m,m,m,the boyfriend told the prince that the police woman would supply MASKTOKEN with the stolen equipment.,the boyfriend told the prince that the police woman would supply,him,the boyfriend told the prince that the police woman would supply MASKTOKEN with the stolen equipment.,0.1060708686709404,0.2980149984359741
21,1,Match_Mismatch_Match,Match,Mismatch,Match,boyfriend,princess,policeman,m,f,f,the boyfriend told the princess that the policeman would supply MASKTOKEN with the stolen equipment.,the boyfriend told the princess that the policeman would supply,him,the boyfriend told the princess that the policeman would supply MASKTOKEN with the stolen equipment.,1.357666015625,2.129862070083618
21,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,boyfriend,princess,police woman,m,f,f,the boyfriend told the princess that the police woman would supply MASKTOKEN with the stolen equipment.,the boyfriend told the princess that the police woman would supply,him,the boyfriend told the princess that the police woman would supply MASKTOKEN with the stolen equipment.,0.3839000165462494,0.661296546459198
21,1,Mismatch_Match_Match,Mismatch,Match,Match,girlfriend,prince,policeman,f,m,m,the girlfriend told the prince that the policeman would supply MASKTOKEN with the stolen equipment.,the girlfriend told the prince that the policeman would supply,him,the girlfriend told the prince that the policeman would supply MASKTOKEN with the stolen equipment.,1.5136523246765137,1.1007413864135742
21,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,girlfriend,prince,police woman,f,m,m,the girlfriend told the prince that the police woman would supply MASKTOKEN with the stolen equipment.,the girlfriend told the prince that the police woman would supply,him,the girlfriend told the prince that the police woman would supply MASKTOKEN with the stolen equipment.,0.38041985034942627,0.47112035751342773
21,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,girlfriend,princess,policeman,f,f,f,the girlfriend told the princess that the policeman would supply MASKTOKEN with the stolen equipment.,the girlfriend told the princess that the policeman would supply,him,the girlfriend told the princess that the policeman would supply MASKTOKEN with the stolen equipment.,5.344873905181885,3.8225796222686768
21,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,girlfriend,princess,police woman,f,f,f,the girlfriend told the princess that the police woman would supply MASKTOKEN with the stolen equipment.,the girlfriend told the princess that the police woman would supply,him,the girlfriend told the princess that the police woman would supply MASKTOKEN with the stolen equipment.,3.804462194442749,1.241639256477356
22,1,Match_Match_Match,Match,Match,Match,grandfather,lord,hunter,m,m,m,the grandfather told the lord that the hunter would be proud of MASKTOKEN for saving the child's life.,the grandfather told the lord that the hunter would be proud of,him,the grandfather told the lord that the hunter would be proud of MASKTOKEN for saving the child's life.,0.18370291590690613,0.2357911765575409
22,1,Match_Match_Mismatch,Match,Match,Mismatch,grandfather,lord,female hunter,m,m,m,the grandfather told the lord that the female hunter would be proud of MASKTOKEN for saving the child's life.,the grandfather told the lord that the female hunter would be proud of,him,the grandfather told the lord that the female hunter would be proud of MASKTOKEN for saving the child's life.,0.508715033531189,0.8905026912689209
22,1,Match_Mismatch_Match,Match,Mismatch,Match,grandfather,lady,hunter,m,f,f,the grandfather told the lady that the hunter would be proud of MASKTOKEN for saving the child's life.,the grandfather told the lady that the hunter would be proud of,him,the grandfather told the lady that the hunter would be proud of MASKTOKEN for saving the child's life.,1.4289313554763794,1.259210228919983
22,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,grandfather,lady,female hunter,m,f,f,the grandfather told the lady that the female hunter would be proud of MASKTOKEN for saving the child's life.,the grandfather told the lady that the female hunter would be proud of,him,the grandfather told the lady that the female hunter would be proud of MASKTOKEN for saving the child's life.,1.3761013746261597,1.1708765029907227
22,1,Mismatch_Match_Match,Mismatch,Match,Match,grandmother,lord,hunter,f,m,m,the grandmother told the lord that the hunter would be proud of MASKTOKEN for saving the child's life.,the grandmother told the lord that the hunter would be proud of,him,the grandmother told the lord that the hunter would be proud of MASKTOKEN for saving the child's life.,1.9825847148895264,2.001042604446411
22,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,grandmother,lord,female hunter,f,m,m,the grandmother told the lord that the female hunter would be proud of MASKTOKEN for saving the child's life.,the grandmother told the lord that the female hunter would be proud of,him,the grandmother told the lord that the female hunter would be proud of MASKTOKEN for saving the child's life.,2.456435441970825,2.2591001987457275
22,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,grandmother,lady,hunter,f,f,f,the grandmother told the lady that the hunter would be proud of MASKTOKEN for saving the child's life.,the grandmother told the lady that the hunter would be proud of,him,the grandmother told the lady that the hunter would be proud of MASKTOKEN for saving the child's life.,5.509443283081055,2.9747021198272705
22,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,grandmother,lady,female hunter,f,f,f,the grandmother told the lady that the female hunter would be proud of MASKTOKEN for saving the child's life.,the grandmother told the lady that the female hunter would be proud of,him,the grandmother told the lady that the female hunter would be proud of MASKTOKEN for saving the child's life.,5.679808616638184,3.529208183288574
23,1,Match_Match_Match,Match,Match,Match,council man,king,lord,m,m,m,the council man told the king that the lord would be upset with MASKTOKEN when the news became known.,the council man told the king that the lord would be upset with,him,the council man told the king that the lord would be upset with MASKTOKEN when the news became known.,0.3216736912727356,0.28078266978263855
23,1,Match_Match_Mismatch,Match,Match,Mismatch,council man,king,lady,m,m,m,the council man told the king that the lady would be upset with MASKTOKEN when the news became known.,the council man told the king that the lady would be upset with,him,the council man told the king that the lady would be upset with MASKTOKEN when the news became known.,0.10605232417583466,0.15747754275798798
23,1,Match_Mismatch_Match,Match,Mismatch,Match,council man,queen,lord,m,f,f,the council man told the queen that the lord would be upset with MASKTOKEN when the news became known.,the council man told the queen that the lord would be upset with,him,the council man told the queen that the lord would be upset with MASKTOKEN when the news became known.,2.5492539405822754,2.625875234603882
23,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,council man,queen,lady,m,f,f,the council man told the queen that the lady would be upset with MASKTOKEN when the news became known.,the council man told the queen that the lady would be upset with,him,the council man told the queen that the lady would be upset with MASKTOKEN when the news became known.,0.3675311207771301,0.43901321291923523
23,1,Mismatch_Match_Match,Mismatch,Match,Match,council woman,king,lord,f,m,m,the council woman told the king that the lord would be upset with MASKTOKEN when the news became known.,the council woman told the king that the lord would be upset with,him,the council woman told the king that the lord would be upset with MASKTOKEN when the news became known.,2.5596978664398193,1.7131454944610596
23,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,council woman,king,lady,f,m,m,the council woman told the king that the lady would be upset with MASKTOKEN when the news became known.,the council woman told the king that the lady would be upset with,him,the council woman told the king that the lady would be upset with MASKTOKEN when the news became known.,0.5414435863494873,0.29554614424705505
