item,exp,cond,contrast,matrix,embedded,pronoun,N1,N2,N1_gender,N2_gender,mask_sents,auto_sents,target
18,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,choir girl,m,f,the man feared that the choir girl would disappoint MASKTOKEN audience eventually by hitting a false note in a difficult part.,the man feared that the choir girl would disappoint,his
18,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,choir boy,f,m,the woman feared that the choir boy would disappoint MASKTOKEN audience eventually by hitting a false note in a difficult part.,the woman feared that the choir boy would disappoint,his
18,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,choir girl,f,f,the woman feared that the choir girl would disappoint MASKTOKEN audience eventually by hitting a false note in a difficult part.,the woman feared that the choir girl would disappoint,his
19,1,Common Nouns,Match_Match,Match,Match,him,man,wrestling coach,m,m,the man claimed that the wrestling coach had pushed MASKTOKEN constantly for the sake of improving performance.,the man claimed that the wrestling coach had pushed,him
19,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,dance instructor,m,f,the man claimed that the dance instructor had pushed MASKTOKEN constantly for the sake of improving performance.,the man claimed that the dance instructor had pushed,him
19,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,wrestling coach,f,m,the woman claimed that the wrestling coach had pushed MASKTOKEN constantly for the sake of improving performance.,the woman claimed that the wrestling coach had pushed,him
19,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,dance instructor,f,f,the woman claimed that the dance instructor had pushed MASKTOKEN constantly for the sake of improving performance.,the woman claimed that the dance instructor had pushed,him
19,1,Common Nouns,Match_Match,Match,Match,his,man,wrestling coach,m,m,the man claimed that the wrestling coach had pushed MASKTOKEN team constantly for the sake of improving performance.,the man claimed that the wrestling coach had pushed,his
19,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,dance instructor,m,f,the man claimed that the dance instructor had pushed MASKTOKEN team constantly for the sake of improving performance.,the man claimed that the dance instructor had pushed,his
19,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,wrestling coach,f,m,the woman claimed that the wrestling coach had pushed MASKTOKEN team constantly for the sake of improving performance.,the woman claimed that the wrestling coach had pushed,his
19,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,dance instructor,f,f,the woman claimed that the dance instructor had pushed MASKTOKEN team constantly for the sake of improving performance.,the woman claimed that the dance instructor had pushed,his
20,1,Common Nouns,Match_Match,Match,Match,him,man,sports fan,m,m,the man hoped that the sports fan would nominate MASKTOKEN promptly for the quality service award.,the man hoped that the sports fan would nominate,him
20,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,actress,m,f,the man hoped that the actress would nominate MASKTOKEN promptly for the quality service award.,the man hoped that the actress would nominate,him
20,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,sports fan,f,m,the woman hoped that the sports fan would nominate MASKTOKEN promptly for the quality service award.,the woman hoped that the sports fan would nominate,him
20,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,actress,f,f,the woman hoped that the actress would nominate MASKTOKEN promptly for the quality service award.,the woman hoped that the actress would nominate,him
20,1,Common Nouns,Match_Match,Match,Match,his,man,sports fan,m,m,the man hoped that the sports fan would nominate MASKTOKEN cashier promptly for the quality service award.,the man hoped that the sports fan would nominate,his
20,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,actress,m,f,the man hoped that the actress would nominate MASKTOKEN cashier promptly for the quality service award.,the man hoped that the actress would nominate,his
20,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,sports fan,f,m,the woman hoped that the sports fan would nominate MASKTOKEN cashier promptly for the quality service award.,the woman hoped that the sports fan would nominate,his
20,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,actress,f,f,the woman hoped that the actress would nominate MASKTOKEN cashier promptly for the quality service award.,the woman hoped that the actress would nominate,his
21,1,Common Nouns,Match_Match,Match,Match,him,man,bartender,m,m,the man knew that the bartender would protect MASKTOKEN despite public pressure to expose philandering politicians.,the man knew that the bartender would protect,him
21,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,dancer,m,f,the man knew that the dancer would protect MASKTOKEN despite public pressure to expose philandering politicians.,the man knew that the dancer would protect,him
21,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,bartender,f,m,the woman knew that the bartender would protect MASKTOKEN despite public pressure to expose philandering politicians.,the woman knew that the bartender would protect,him
21,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,dancer,f,f,the woman knew that the dancer would protect MASKTOKEN despite public pressure to expose philandering politicians.,the woman knew that the dancer would protect,him
21,1,Common Nouns,Match_Match,Match,Match,his,man,bartender,m,m,the man knew that the bartender would protect MASKTOKEN friend despite public pressure to expose philandering politicians.,the man knew that the bartender would protect,his
21,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,dancer,m,f,the man knew that the dancer would protect MASKTOKEN friend despite public pressure to expose philandering politicians.,the man knew that the dancer would protect,his
21,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,bartender,f,m,the woman knew that the bartender would protect MASKTOKEN friend despite public pressure to expose philandering politicians.,the woman knew that the bartender would protect,his
21,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,dancer,f,f,the woman knew that the dancer would protect MASKTOKEN friend despite public pressure to expose philandering politicians.,the woman knew that the dancer would protect,his
22,1,Common Nouns,Match_Match,Match,Match,him,man,hip hop dancer,m,m,the man hoped that the hip hop dancer would teach MASKTOKEN amazing moves for any kind of music.,the man hoped that the hip hop dancer would teach,him
22,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,ballet dancer,m,f,the man hoped that the ballet dancer would teach MASKTOKEN amazing moves for any kind of music.,the man hoped that the ballet dancer would teach,him
22,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,hip hop dancer,f,m,the woman hoped that the hip hop dancer would teach MASKTOKEN amazing moves for any kind of music.,the woman hoped that the hip hop dancer would teach,him
22,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,ballet dancer,f,f,the woman hoped that the ballet dancer would teach MASKTOKEN amazing moves for any kind of music.,the woman hoped that the ballet dancer would teach,him
22,1,Common Nouns,Match_Match,Match,Match,his,man,hip hop dancer,m,m,the man hoped that the hip hop dancer would teach MASKTOKEN students amazing moves for any kind of music.,the man hoped that the hip hop dancer would teach,his
22,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,ballet dancer,m,f,the man hoped that the ballet dancer would teach MASKTOKEN students amazing moves for any kind of music.,the man hoped that the ballet dancer would teach,his
22,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,hip hop dancer,f,m,the woman hoped that the hip hop dancer would teach MASKTOKEN students amazing moves for any kind of music.,the woman hoped that the hip hop dancer would teach,his
22,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,ballet dancer,f,f,the woman hoped that the ballet dancer would teach MASKTOKEN students amazing moves for any kind of music.,the woman hoped that the ballet dancer would teach,his
23,1,Common Nouns,Match_Match,Match,Match,him,man,pilot,m,m,the man expected that the pilot would congratulate MASKTOKEN fully for having saved so many lives.,the man expected that the pilot would congratulate,him
23,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,flight attendant,m,f,the man expected that the flight attendant would congratulate MASKTOKEN fully for having saved so many lives.,the man expected that the flight attendant would congratulate,him
23,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,pilot,f,m,the woman expected that the pilot would congratulate MASKTOKEN fully for having saved so many lives.,the woman expected that the pilot would congratulate,him
23,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,flight attendant,f,f,the woman expected that the flight attendant would congratulate MASKTOKEN fully for having saved so many lives.,the woman expected that the flight attendant would congratulate,him
23,1,Common Nouns,Match_Match,Match,Match,his,man,pilot,m,m,the man expected that the pilot would congratulate MASKTOKEN crew fully for having saved so many lives.,the man expected that the pilot would congratulate,his
23,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,flight attendant,m,f,the man expected that the flight attendant would congratulate MASKTOKEN crew fully for having saved so many lives.,the man expected that the flight attendant would congratulate,his
23,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,pilot,f,m,the woman expected that the pilot would congratulate MASKTOKEN crew fully for having saved so many lives.,the woman expected that the pilot would congratulate,his
23,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,flight attendant,f,f,the woman expected that the flight attendant would congratulate MASKTOKEN crew fully for having saved so many lives.,the woman expected that the flight attendant would congratulate,his
24,1,Common Nouns,Match_Match,Match,Match,him,man,garden worker,m,m,the man wished that the garden worker had asked MASKTOKEN beforehand whether it was worth the money.,the man wished that the garden worker had asked,him
24,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,secretary,m,f,the man wished that the secretary had asked MASKTOKEN beforehand whether it was worth the money.,the man wished that the secretary had asked,him
24,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,garden worker,f,m,the woman wished that the garden worker had asked MASKTOKEN beforehand whether it was worth the money.,the woman wished that the garden worker had asked,him
24,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,secretary,f,f,the woman wished that the secretary had asked MASKTOKEN beforehand whether it was worth the money.,the woman wished that the secretary had asked,him
24,1,Common Nouns,Match_Match,Match,Match,his,man,garden worker,m,m,the man wished that the garden worker had asked MASKTOKEN accounant beforehand whether it was worth the money.,the man wished that the garden worker had asked,his
24,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,secretary,m,f,the man wished that the secretary had asked MASKTOKEN accounant beforehand whether it was worth the money.,the man wished that the secretary had asked,his
24,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,garden worker,f,m,the woman wished that the garden worker had asked MASKTOKEN accounant beforehand whether it was worth the money.,the woman wished that the garden worker had asked,his
24,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,secretary,f,f,the woman wished that the secretary had asked MASKTOKEN accounant beforehand whether it was worth the money.,the woman wished that the secretary had asked,his
25,1,Common Nouns,Match_Match,Match,Match,him,man,hockey player,m,m,the man said that the hockey player had defended MASKTOKEN fully despite the constant criticism from the media.,the man said that the hockey player had defended,him
25,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,fashion model,m,f,the man said that the fashion model had defended MASKTOKEN fully despite the constant criticism from the media.,the man said that the fashion model had defended,him
25,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,hockey player,f,m,the woman said that the hockey player had defended MASKTOKEN fully despite the constant criticism from the media.,the woman said that the hockey player had defended,him
25,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,fashion model,f,f,the woman said that the fashion model had defended MASKTOKEN fully despite the constant criticism from the media.,the woman said that the fashion model had defended,him
25,1,Common Nouns,Match_Match,Match,Match,his,man,hockey player,m,m,the man said that the hockey player had defended MASKTOKEN friend fully despite the constant criticism from the media.,the man said that the hockey player had defended,his
25,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,fashion model,m,f,the man said that the fashion model had defended MASKTOKEN friend fully despite the constant criticism from the media.,the man said that the fashion model had defended,his
25,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,hockey player,f,m,the woman said that the hockey player had defended MASKTOKEN friend fully despite the constant criticism from the media.,the woman said that the hockey player had defended,his
25,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,fashion model,f,f,the woman said that the fashion model had defended MASKTOKEN friend fully despite the constant criticism from the media.,the woman said that the fashion model had defended,his
26,1,Common Nouns,Match_Match,Match,Match,him,man,director,m,m,the man thought that the director had considered MASKTOKEN extremely important to the success of the film.,the man thought that the director had considered,him
26,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,costume designer,m,f,the man thought that the costume designer had considered MASKTOKEN extremely important to the success of the film.,the man thought that the costume designer had considered,him
26,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,director,f,m,the woman thought that the director had considered MASKTOKEN extremely important to the success of the film.,the woman thought that the director had considered,him
26,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,costume designer,f,f,the woman thought that the costume designer had considered MASKTOKEN extremely important to the success of the film.,the woman thought that the costume designer had considered,him
26,1,Common Nouns,Match_Match,Match,Match,his,man,director,m,m,the man thought that the director had considered MASKTOKEN work extremely important to the success of the film.,the man thought that the director had considered,his
26,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,costume designer,m,f,the man thought that the costume designer had considered MASKTOKEN work extremely important to the success of the film.,the man thought that the costume designer had considered,his
26,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,director,f,m,the woman thought that the director had considered MASKTOKEN work extremely important to the success of the film.,the woman thought that the director had considered,his
26,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,costume designer,f,f,the woman thought that the costume designer had considered MASKTOKEN work extremely important to the success of the film.,the woman thought that the costume designer had considered,his
27,1,Common Nouns,Match_Match,Match,Match,him,man,manager,m,m,the man claimed that the manager had undermined MASKTOKEN constantly in an attempt to climb the corporate ladder.,the man claimed that the manager had undermined,him
27,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,assistant,m,f,the man claimed that the assistant had undermined MASKTOKEN constantly in an attempt to climb the corporate ladder.,the man claimed that the assistant had undermined,him
27,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,manager,f,m,the woman claimed that the manager had undermined MASKTOKEN constantly in an attempt to climb the corporate ladder.,the woman claimed that the manager had undermined,him
27,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,assistant,f,f,the woman claimed that the assistant had undermined MASKTOKEN constantly in an attempt to climb the corporate ladder.,the woman claimed that the assistant had undermined,him
27,1,Common Nouns,Match_Match,Match,Match,his,man,manager,m,m,the man claimed that the manager had undermined MASKTOKEN coworkers constantly in an attempt to climb the corporate ladder.,the man claimed that the manager had undermined,his
27,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,assistant,m,f,the man claimed that the assistant had undermined MASKTOKEN coworkers constantly in an attempt to climb the corporate ladder.,the man claimed that the assistant had undermined,his
27,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,manager,f,m,the woman claimed that the manager had undermined MASKTOKEN coworkers constantly in an attempt to climb the corporate ladder.,the woman claimed that the manager had undermined,his
27,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,assistant,f,f,the woman claimed that the assistant had undermined MASKTOKEN coworkers constantly in an attempt to climb the corporate ladder.,the woman claimed that the assistant had undermined,his
28,1,Common Nouns,Match_Match,Match,Match,him,man,programmer,m,m,the man announced that the programmer had embarrassed MASKTOKEN deeply by failing to notice the glitch ahead of time.,the man announced that the programmer had embarrassed,him
28,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,secretary,m,f,the man announced that the secretary had embarrassed MASKTOKEN deeply by failing to notice the glitch ahead of time.,the man announced that the secretary had embarrassed,him
28,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,programmer,f,m,the woman announced that the programmer had embarrassed MASKTOKEN deeply by failing to notice the glitch ahead of time.,the woman announced that the programmer had embarrassed,him
28,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,secretary,f,f,the woman announced that the secretary had embarrassed MASKTOKEN deeply by failing to notice the glitch ahead of time.,the woman announced that the secretary had embarrassed,him
28,1,Common Nouns,Match_Match,Match,Match,his,man,programmer,m,m,the man announced that the programmer had embarrassed MASKTOKEN colleagues deeply by failing to notice the glitch ahead of time.,the man announced that the programmer had embarrassed,his
28,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,secretary,m,f,the man announced that the secretary had embarrassed MASKTOKEN colleagues deeply by failing to notice the glitch ahead of time.,the man announced that the secretary had embarrassed,his
28,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,programmer,f,m,the woman announced that the programmer had embarrassed MASKTOKEN colleagues deeply by failing to notice the glitch ahead of time.,the woman announced that the programmer had embarrassed,his
28,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,secretary,f,f,the woman announced that the secretary had embarrassed MASKTOKEN colleagues deeply by failing to notice the glitch ahead of time.,the woman announced that the secretary had embarrassed,his
29,1,Common Nouns,Match_Match,Match,Match,him,man,personal trainer,m,m,the man claimed that the personal trainer had pushed MASKTOKEN reasonably hard during the intense training sessions.,the man claimed that the personal trainer had pushed,him
29,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,massage therapist,m,f,the man claimed that the massage therapist had pushed MASKTOKEN reasonably hard during the intense training sessions.,the man claimed that the massage therapist had pushed,him
29,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,personal trainer,f,m,the woman claimed that the personal trainer had pushed MASKTOKEN reasonably hard during the intense training sessions.,the woman claimed that the personal trainer had pushed,him
29,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,massage therapist,f,f,the woman claimed that the massage therapist had pushed MASKTOKEN reasonably hard during the intense training sessions.,the woman claimed that the massage therapist had pushed,him
29,1,Common Nouns,Match_Match,Match,Match,his,man,personal trainer,m,m,the man claimed that the personal trainer had pushed MASKTOKEN body reasonably hard during the intense training sessions.,the man claimed that the personal trainer had pushed,his
29,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,massage therapist,m,f,the man claimed that the massage therapist had pushed MASKTOKEN body reasonably hard during the intense training sessions.,the man claimed that the massage therapist had pushed,his
29,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,personal trainer,f,m,the woman claimed that the personal trainer had pushed MASKTOKEN body reasonably hard during the intense training sessions.,the woman claimed that the personal trainer had pushed,his
29,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,massage therapist,f,f,the woman claimed that the massage therapist had pushed MASKTOKEN body reasonably hard during the intense training sessions.,the woman claimed that the massage therapist had pushed,his
30,1,Common Nouns,Match_Match,Match,Match,him,man,drummer,m,m,the man emphasized that the drummer should observe MASKTOKEN carefully during rehearsals to keep a more consistent rhythm.,the man emphasized that the drummer should observe,him
30,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,violin player,m,f,the man emphasized that the violin player should observe MASKTOKEN carefully during rehearsals to keep a more consistent rhythm.,the man emphasized that the violin player should observe,him
30,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,drummer,f,m,the woman emphasized that the drummer should observe MASKTOKEN carefully during rehearsals to keep a more consistent rhythm.,the woman emphasized that the drummer should observe,him
30,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,violin player,f,f,the woman emphasized that the violin player should observe MASKTOKEN carefully during rehearsals to keep a more consistent rhythm.,the woman emphasized that the violin player should observe,him
30,1,Common Nouns,Match_Match,Match,Match,his,man,drummer,m,m,the man emphasized that the drummer should observe MASKTOKEN instrument carefully during rehearsals to keep a more consistent rhythm.,the man emphasized that the drummer should observe,his
30,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,violin player,m,f,the man emphasized that the violin player should observe MASKTOKEN instrument carefully during rehearsals to keep a more consistent rhythm.,the man emphasized that the violin player should observe,his
30,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,drummer,f,m,the woman emphasized that the drummer should observe MASKTOKEN instrument carefully during rehearsals to keep a more consistent rhythm.,the woman emphasized that the drummer should observe,his
30,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,violin player,f,f,the woman emphasized that the violin player should observe MASKTOKEN instrument carefully during rehearsals to keep a more consistent rhythm.,the woman emphasized that the violin player should observe,his
31,1,Common Nouns,Match_Match,Match,Match,him,man,store owner,m,m,the man thought that the store owner should thank MASKTOKEN openly for helping to make the necessary changes and cutbacks.,the man thought that the store owner should thank,him
31,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,boutique owner,m,f,the man thought that the boutique owner should thank MASKTOKEN openly for helping to make the necessary changes and cutbacks.,the man thought that the boutique owner should thank,him
31,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,store owner,f,m,the woman thought that the store owner should thank MASKTOKEN openly for helping to make the necessary changes and cutbacks.,the woman thought that the store owner should thank,him
31,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,boutique owner,f,f,the woman thought that the boutique owner should thank MASKTOKEN openly for helping to make the necessary changes and cutbacks.,the woman thought that the boutique owner should thank,him
31,1,Common Nouns,Match_Match,Match,Match,his,man,store owner,m,m,the man thought that the store owner should thank MASKTOKEN boss openly for helping to make the necessary changes and cutbacks.,the man thought that the store owner should thank,his
31,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,boutique owner,m,f,the man thought that the boutique owner should thank MASKTOKEN boss openly for helping to make the necessary changes and cutbacks.,the man thought that the boutique owner should thank,his
31,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,store owner,f,m,the woman thought that the store owner should thank MASKTOKEN boss openly for helping to make the necessary changes and cutbacks.,the woman thought that the store owner should thank,his
31,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,boutique owner,f,f,the woman thought that the boutique owner should thank MASKTOKEN boss openly for helping to make the necessary changes and cutbacks.,the woman thought that the boutique owner should thank,his
32,1,Common Nouns,Match_Match,Match,Match,him,man,priest,m,m,the man suspected that the priest would doubt MASKTOKEN privately while defending the church publicly.,the man suspected that the priest would doubt,him
32,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,nun,m,f,the man suspected that the nun would doubt MASKTOKEN privately while defending the church publicly.,the man suspected that the nun would doubt,him
32,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,priest,f,m,the woman suspected that the priest would doubt MASKTOKEN privately while defending the church publicly.,the woman suspected that the priest would doubt,him
32,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,nun,f,f,the woman suspected that the nun would doubt MASKTOKEN privately while defending the church publicly.,the woman suspected that the nun would doubt,him
32,1,Common Nouns,Match_Match,Match,Match,his,man,priest,m,m,the man suspected that the priest would doubt MASKTOKEN beliefs privately while defending the church publicly.,the man suspected that the priest would doubt,his
32,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,nun,m,f,the man suspected that the nun would doubt MASKTOKEN beliefs privately while defending the church publicly.,the man suspected that the nun would doubt,his
32,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,priest,f,m,the woman suspected that the priest would doubt MASKTOKEN beliefs privately while defending the church publicly.,the woman suspected that the priest would doubt,his
32,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,nun,f,f,the woman suspected that the nun would doubt MASKTOKEN beliefs privately while defending the church publicly.,the woman suspected that the nun would doubt,his
33,1,Common Nouns,Match_Match,Match,Match,him,man,soldier,m,m,the man hoped that the soldier could trust MASKTOKEN completely for survival in the ever worsening situation.,the man hoped that the soldier could trust,him
33,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,nurse,m,f,the man hoped that the nurse could trust MASKTOKEN completely for survival in the ever worsening situation.,the man hoped that the nurse could trust,him
33,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,soldier,f,m,the woman hoped that the soldier could trust MASKTOKEN completely for survival in the ever worsening situation.,the woman hoped that the soldier could trust,him
33,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,nurse,f,f,the woman hoped that the nurse could trust MASKTOKEN completely for survival in the ever worsening situation.,the woman hoped that the nurse could trust,him
33,1,Common Nouns,Match_Match,Match,Match,his,man,soldier,m,m,the man hoped that the soldier could trust MASKTOKEN process completely for survival in the ever worsening situation.,the man hoped that the soldier could trust,his
33,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,nurse,m,f,the man hoped that the nurse could trust MASKTOKEN process completely for survival in the ever worsening situation.,the man hoped that the nurse could trust,his
33,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,soldier,f,m,the woman hoped that the soldier could trust MASKTOKEN process completely for survival in the ever worsening situation.,the woman hoped that the soldier could trust,his
33,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,nurse,f,f,the woman hoped that the nurse could trust MASKTOKEN process completely for survival in the ever worsening situation.,the woman hoped that the nurse could trust,his
34,1,Common Nouns,Match_Match,Match,Match,him,man,union worker,m,m,the man knew that the union worker would defend MASKTOKEN fully in the face of political and social pressures.,the man knew that the union worker would defend,him
34,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,feminist,m,f,the man knew that the feminist would defend MASKTOKEN fully in the face of political and social pressures.,the man knew that the feminist would defend,him
34,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,union worker,f,m,the woman knew that the union worker would defend MASKTOKEN fully in the face of political and social pressures.,the woman knew that the union worker would defend,him
34,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,feminist,f,f,the woman knew that the feminist would defend MASKTOKEN fully in the face of political and social pressures.,the woman knew that the feminist would defend,him
34,1,Common Nouns,Match_Match,Match,Match,his,man,union worker,m,m,the man knew that the union worker would defend MASKTOKEN strategy fully in the face of political and social pressures.,the man knew that the union worker would defend,his
34,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,feminist,m,f,the man knew that the feminist would defend MASKTOKEN strategy fully in the face of political and social pressures.,the man knew that the feminist would defend,his
34,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,union worker,f,m,the woman knew that the union worker would defend MASKTOKEN strategy fully in the face of political and social pressures.,the woman knew that the union worker would defend,his
34,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,feminist,f,f,the woman knew that the feminist would defend MASKTOKEN strategy fully in the face of political and social pressures.,the woman knew that the feminist would defend,his
35,1,Common Nouns,Match_Match,Match,Match,him,man,congressman,m,m,the man lamented that the congressman had humiliated MASKTOKEN intentionally at the international summit last year.,the man lamented that the congressman had humiliated,him
35,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,event planner,m,f,the man lamented that the event planner had humiliated MASKTOKEN intentionally at the international summit last year.,the man lamented that the event planner had humiliated,him
35,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,congressman,f,m,the woman lamented that the congressman had humiliated MASKTOKEN intentionally at the international summit last year.,the woman lamented that the congressman had humiliated,him
35,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,event planner,f,f,the woman lamented that the event planner had humiliated MASKTOKEN intentionally at the international summit last year.,the woman lamented that the event planner had humiliated,him
35,1,Common Nouns,Match_Match,Match,Match,his,man,congressman,m,m,the man lamented that the congressman had humiliated MASKTOKEN ideas intentionally at the international summit last year.,the man lamented that the congressman had humiliated,his
35,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,event planner,m,f,the man lamented that the event planner had humiliated MASKTOKEN ideas intentionally at the international summit last year.,the man lamented that the event planner had humiliated,his
35,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,congressman,f,m,the woman lamented that the congressman had humiliated MASKTOKEN ideas intentionally at the international summit last year.,the woman lamented that the congressman had humiliated,his
35,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,event planner,f,f,the woman lamented that the event planner had humiliated MASKTOKEN ideas intentionally at the international summit last year.,the woman lamented that the event planner had humiliated,his
36,1,Common Nouns,Match_Match,Match,Match,him,man,consultant,m,m,the man said that the consultant had prepared MASKTOKEN sufficiently to make a statement at the press meeting.,the man said that the consultant had prepared,him
36,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,assistant,m,f,the man said that the assistant had prepared MASKTOKEN sufficiently to make a statement at the press meeting.,the man said that the assistant had prepared,him
