item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target
21,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"Before showing him any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before showing him any new paintings, the MASKTOKEN typically consulted Shawn to see which pieces were the best.","Before showing him any new paintings, the MASKTOKEN typically consulted Shawn to see which pieces were the best.","Before showing him any new paintings, the",woman
21,CATAMARAN-OBJ-Match,Constraint,Match,her,"Before showing her any new paintings, Catherine typically consulted Kelly to see which pieces were the best.","Before showing her any new paintings, the MASKTOKEN typically consulted Kelly to see which pieces were the best.","Before showing her any new paintings, the MASKTOKEN typically consulted Kelly to see which pieces were the best.","Before showing her any new paintings, the",woman
21,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"Before showing his patron any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before showing his patron any new paintings, the MASKTOKEN typically consulted Shawn to see which pieces were the best.","Before showing his patron any new paintings, the MASKTOKEN typically consulted Shawn to see which pieces were the best.","Before showing his patron any new paintings, the",woman
21,CATAMARAN-GEN-Match,No Constraint,Match,her,"Before showing her patron any new paintings, Catherine typically consulted Kelly to see which pieces were the best.","Before showing her patron any new paintings, the MASKTOKEN typically consulted Kelly to see which pieces were the best.","Before showing her patron any new paintings, the MASKTOKEN typically consulted Kelly to see which pieces were the best.","Before showing her patron any new paintings, the",woman
22,CATAMARAN-GEN-Match,No Constraint,Match,her,"After nominating her roommate for class president, Nicole publicly humiliated Destiny by sharing a private conversation all over social media.","After nominating her roommate for class president, the MASKTOKEN publicly humiliated Destiny by sharing a private conversation all over social media.","After nominating her roommate for class president, the MASKTOKEN publicly humiliated Destiny by sharing a private conversation all over social media.","After nominating her roommate for class president, the",woman
22,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"After nominating him for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating him for class president, the MASKTOKEN publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating him for class president, the MASKTOKEN publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating him for class president, the",woman
22,CATAMARAN-OBJ-Match,Constraint,Match,her,"After nominating her for class president, Nicole publicly humiliated Destiny by sharing a private conversation all over social media.","After nominating her for class president, the MASKTOKEN publicly humiliated Destiny by sharing a private conversation all over social media.","After nominating her for class president, the MASKTOKEN publicly humiliated Destiny by sharing a private conversation all over social media.","After nominating her for class president, the",woman
22,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"After nominating his roommate for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating his roommate for class president, the MASKTOKEN publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating his roommate for class president, the MASKTOKEN publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating his roommate for class president, the",woman
23,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"After watching his idol on the Voice, Kimberly immediately called up Francisco to discuss some of the highlights of the performance.","After watching his idol on the Voice, the MASKTOKEN immediately called up Francisco to discuss some of the highlights of the performance.","After watching his idol on the Voice, the MASKTOKEN immediately called up Francisco to discuss some of the highlights of the performance.","After watching his idol on the Voice, the",woman
23,CATAMARAN-GEN-Match,No Constraint,Match,her,"After watching her idol on the Voice, Kimberly immediately called up Selena to discuss some of the highlights of the performance.","After watching her idol on the Voice, the MASKTOKEN immediately called up Selena to discuss some of the highlights of the performance.","After watching her idol on the Voice, the MASKTOKEN immediately called up Selena to discuss some of the highlights of the performance.","After watching her idol on the Voice, the",woman
23,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"After watching him on the Voice, Kimberly immediately called up Francisco to discuss some of the highlights of the performance.","After watching him on the Voice, the MASKTOKEN immediately called up Francisco to discuss some of the highlights of the performance.","After watching him on the Voice, the MASKTOKEN immediately called up Francisco to discuss some of the highlights of the performance.","After watching him on the Voice, the",woman
23,CATAMARAN-OBJ-Match,Constraint,Match,her,"After watching her on the Voice, Kimberly immediately called up Selena to discuss some of the highlights of the performance.","After watching her on the Voice, the MASKTOKEN immediately called up Selena to discuss some of the highlights of the performance.","After watching her on the Voice, the MASKTOKEN immediately called up Selena to discuss some of the highlights of the performance.","After watching her on the Voice, the",woman
24,CATAMARAN-OBJ-Match,Constraint,Match,her,"Before sending her the secret contract, Rachel repeatedly made Crystal promise not to disclose the terms to anyone.","Before sending her the secret contract, the MASKTOKEN repeatedly made Crystal promise not to disclose the terms to anyone.","Before sending her the secret contract, the MASKTOKEN repeatedly made Crystal promise not to disclose the terms to anyone.","Before sending her the secret contract, the",woman
24,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"Before sending his associate the secret contract, Rachel repeatedly made Raymond promise not to disclose the terms to anyone.","Before sending his associate the secret contract, the MASKTOKEN repeatedly made Raymond promise not to disclose the terms to anyone.","Before sending his associate the secret contract, the MASKTOKEN repeatedly made Raymond promise not to disclose the terms to anyone.","Before sending his associate the secret contract, the",woman
24,CATAMARAN-GEN-Match,No Constraint,Match,her,"Before sending her associate the secret contract, Rachel repeatedly made Crystal promise not to disclose the terms to anyone.","Before sending her associate the secret contract, the MASKTOKEN repeatedly made Crystal promise not to disclose the terms to anyone.","Before sending her associate the secret contract, the MASKTOKEN repeatedly made Crystal promise not to disclose the terms to anyone.","Before sending her associate the secret contract, the",woman
24,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"Before sending him the secret contract, Rachel repeatedly made Raymond promise not to disclose the terms to anyone.","Before sending him the secret contract, the MASKTOKEN repeatedly made Raymond promise not to disclose the terms to anyone.","Before sending him the secret contract, the MASKTOKEN repeatedly made Raymond promise not to disclose the terms to anyone.","Before sending him the secret contract, the",woman
